clusterName,onTarget
Adaptive / Maladaptive / Repairing Fibroblast,0.056806374
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,0.7620443
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,0.18244801
Afferent / Efferent Arteriole Endothelial Cell,0.04302815
Ascending Thin Limb Cell,0.19403261
Ascending Vasa Recta Endothelial Cell,1.0
B Cell,0.02765484
Classical Dendritic Cell,1.0
Connecting Tubule Cell,0.5289337
Connecting Tubule Intercalated Cell Type A,0.1178131
Connecting Tubule Principal Cell,0.020728288
Cortical Collecting Duct Intercalated Cell Type A,0.112253234
Cortical Collecting Duct Principal Cell,0.27719003
Cortical Thick Ascending Limb Cell,0.030974213
Cycling Connecting Tubule Cell,0.19467011
Cycling Distal Convoluted Tubule Cell,1.0
Cycling Endothelial Cell,0.050752845
Cycling Mononuclear Phagocyte,0.06944295
Cycling Myofibroblast,0.53139704
Cycling Natural Killer Cell / Natural Killer T Cell,1.0
Cycling Proximal Tubule Epithelial Cell,0.025018701
Degenerative Ascending Thin Limb Cell,0.13729869
Degenerative Connecting Tubule Cell,0.09442904
Degenerative Cortical Intercalated Cell Type A,0.60067654
Degenerative Descending Thin Limb Cell Type 3,1.0
Degenerative Distal Convoluted Tubule Cell,0.7710952
Degenerative Inner Medullary Collecting Duct Cell,0.43898308
Degenerative Medullary Thick Ascending Limb Cell,0.043159313
Degenerative Outer Medullary Collecting Duct Principal Cell,0.04785262
Degenerative Peritubular Capilary Endothelial Cell,0.04615047
Degenerative Proximal Tubule Epithelial Cell,0.49324548
Degenerative Vascular Smooth Muscle Cell,0.07137832
Descending Thin Limb Cell Type 1,0.10811654
Descending Thin Limb Cell Type 2,0.58762866
Descending Thin Limb Cell Type 3,0.7424432
Descending Vasa Recta Endothelial Cell,0.06729107
Distal Convoluted Tubule Cell Type 1,0.3114251
Distal Convoluted Tubule Cell Type 2,0.11754679
Fibroblast,0.04650944
Inner Medullary Collecting Duct Cell,0.804791
Intercalated Cell Type B,0.23481889
Lymphatic Endothelial Cell,0.03694483
M2 Macrophage,0.022479136
Macula Densa Cell,0.486435
Mast Cell,0.023178581
Medullary Fibroblast,1.0
Medullary Thick Ascending Limb Cell,0.49690175
Mesangial Cell,0.10363993
Myofibroblast,0.149075
Non-classical Monocyte,0.035873678
Outer Medullary Collecting Duct Intercalated Cell Type A,1.0
Outer Medullary Collecting Duct Principal Cell,1.0
Papillary Tip Epithelial Cell,0.69217086
Parietal Epithelial Cell,0.2523979
Peritubular Capilary Endothelial Cell ,0.022213418
Plasma Cell,0.5435271
Plasmacytoid Dendritic Cell,1.0
Podocyte,1.0
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,0.18670179
Proximal Tubule Epithelial Cell Segment 3,0.65896344
Renin-positive Juxtaglomerular Granular Cell,0.087178305
Schwann Cell / Neural,0.28049594
T Cell,0.025395988
Transitional Principal-Intercalated Cell,0.124030694
Vascular Smooth Muscle Cell,0.045390792
Vascular Smooth Muscle Cell / Pericyte,0.16149613
