clusterName,markerGene,onTarget_per_gene,onTarget
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000237187,0.1537358,0.056806374
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000215386,0.056806374,0.056806374
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000247809,0.04884208,0.056806374
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000251432,1.0,0.7620443
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000284377,0.5240886,0.7620443
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000253301,0.18652655,0.18244801
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000172965,0.18244801,0.18244801
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000228262,0.091741115,0.18244801
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000153113,0.04302815,0.04302815
Ascending Thin Limb Cell,ENSG00000251513,1.0,0.19403261
Ascending Thin Limb Cell,ENSG00000245694,0.14951876,0.19403261
Ascending Thin Limb Cell,ENSG00000258667,0.19403261,0.19403261
Ascending Vasa Recta Endothelial Cell,ENSG00000248300,1.0,1.0
B Cell,ENSG00000278996,0.02765484,0.02765484
Classical Dendritic Cell,ENSG00000231873,1.0,1.0
Classical Dendritic Cell,ENSG00000229140,1.0,1.0
Connecting Tubule Cell,ENSG00000251504,1.0,0.5289337
Connecting Tubule Cell,ENSG00000236283,0.057867464,0.5289337
Connecting Tubule Intercalated Cell Type A,ENSG00000249601,0.1178131,0.1178131
Connecting Tubule Intercalated Cell Type A,ENSG00000260658,0.16394602,0.1178131
Connecting Tubule Intercalated Cell Type A,ENSG00000229807,0.12836508,0.1178131
Connecting Tubule Intercalated Cell Type A,ENSG00000226674,0.06405341,0.1178131
Connecting Tubule Intercalated Cell Type A,ENSG00000251136,0.03241645,0.1178131
Connecting Tubule Principal Cell,ENSG00000226674,0.07893704,0.020728288
Connecting Tubule Principal Cell,ENSG00000235142,0.020728288,0.020728288
Connecting Tubule Principal Cell,ENSG00000236283,0.020321677,0.020728288
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000249601,0.18531287,0.112253234
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000236283,0.039193604,0.112253234
Cortical Collecting Duct Principal Cell,ENSG00000259905,0.3387115,0.27719003
Cortical Collecting Duct Principal Cell,ENSG00000267659,0.27719003,0.27719003
Cortical Collecting Duct Principal Cell,ENSG00000226674,0.10235963,0.27719003
Cortical Thick Ascending Limb Cell,ENSG00000233154,0.07349211,0.030974213
Cortical Thick Ascending Limb Cell,ENSG00000228262,0.030974213,0.030974213
Cortical Thick Ascending Limb Cell,ENSG00000247809,0.01578757,0.030974213
Cycling Connecting Tubule Cell,ENSG00000231535,1.0,0.19467011
Cycling Connecting Tubule Cell,ENSG00000231079,0.14185114,0.19467011
Cycling Connecting Tubule Cell,ENSG00000277268,0.19467011,0.19467011
Cycling Distal Convoluted Tubule Cell,ENSG00000255910,1.0,1.0
Cycling Distal Convoluted Tubule Cell,ENSG00000228340,1.0,1.0
Cycling Distal Convoluted Tubule Cell,ENSG00000232160,1.0,1.0
Cycling Endothelial Cell,ENSG00000231607,0.11062886,0.050752845
Cycling Endothelial Cell,ENSG00000280441,0.050752845,0.050752845
Cycling Endothelial Cell,ENSG00000278996,0.03258732,0.050752845
Cycling Mononuclear Phagocyte,ENSG00000231607,0.1098583,0.06944295
Cycling Mononuclear Phagocyte,ENSG00000278996,0.029027607,0.06944295
Cycling Myofibroblast,ENSG00000224905,1.0,0.53139704
Cycling Myofibroblast,ENSG00000231889,0.53139704,0.53139704
Cycling Myofibroblast,ENSG00000172965,0.2955943,0.53139704
