software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,subclass.full,Adaptive / Maladaptive / Repairing Fibroblast,425,0.1763299462044232,0.1891025641025641,0.1388235294117647,107023,253,366,59,3,"['ENSG00000237187', 'ENSG00000215386', 'ENSG00000247809']","['ENSG00000237187', 'ENSG00000215386', 'ENSG00000247809', 'ENSG00000241684', 'ENSG00000242086']",0.056806374
4.1,subclass.full,Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,5872,0.45864747543979895,0.5520797524922654,0.27350136239782014,100526,1303,4266,1606,2,"['ENSG00000251432', 'ENSG00000284377']","['ENSG00000251432', 'ENSG00000284377', 'ENSG00000253893', 'ENSG00000234184', 'ENSG00000241158', 'ENSG00000228262', 'ENSG00000269821', 'ENSG00000251136', 'ENSG00000235142', 'ENSG00000153113']",0.7620443
4.1,subclass.full,Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,2787,0.37142857142857144,0.45990566037735847,0.20990312163616792,104227,687,2202,585,3,"['ENSG00000253301', 'ENSG00000172965', 'ENSG00000228262']","['ENSG00000253301', 'ENSG00000172965', 'ENSG00000251136', 'ENSG00000228262', 'ENSG00000274265', 'ENSG00000153113', 'ENSG00000235244', 'ENSG00000235142', 'ENSG00000247809', 'ENSG00000250903']",0.18244801
4.1,subclass.full,Afferent / Efferent Arteriole Endothelial Cell,563,0.010952125016478891,0.00881201044386423,0.3836589698046181,82842,24296,347,216,1,['ENSG00000153113'],['ENSG00000153113'],0.04302815
4.1,subclass.full,Ascending Thin Limb Cell,1765,0.3140633685380767,0.3733480176211454,0.19206798866855523,105367,569,1426,339,3,"['ENSG00000251513', 'ENSG00000245694', 'ENSG00000258667']","['ENSG00000251513', 'ENSG00000236432', 'ENSG00000245694', 'ENSG00000233101', 'ENSG00000258667', 'ENSG00000233559', 'ENSG00000226067', 'ENSG00000274265', 'ENSG00000231312', 'ENSG00000235142']",0.19403261
4.1,subclass.full,Ascending Vasa Recta Endothelial Cell,2580,0.7191857849752586,0.8105196451204055,0.49573643410852714,104822,299,1301,1279,1,['ENSG00000248300'],"['ENSG00000248300', 'ENSG00000249797', 'ENSG00000224063', 'ENSG00000248079', 'ENSG00000272168', 'ENSG00000223482', 'ENSG00000231607', 'ENSG00000215386', 'ENSG00000203709', 'ENSG00000247809']",1.0
4.1,subclass.full,B Cell,422,0.025047558655675334,0.020589001824341934,0.1872037914691943,103521,3758,343,79,1,['ENSG00000278996'],['ENSG00000278996'],0.02765484
4.1,subclass.full,Classical Dendritic Cell,58,0.5102040816326531,1.0,0.1724137931034483,107643,0,48,10,2,"['ENSG00000231873', 'ENSG00000229140']","['ENSG00000231873', 'ENSG00000229140', 'ENSG00000267374', 'ENSG00000229989', 'ENSG00000231607', 'ENSG00000280441', 'ENSG00000250903', 'ENSG00000278996']",1.0
4.1,subclass.full,Connecting Tubule Cell,2945,0.5010649030377761,0.5983935742971888,0.3035653650254669,104156,600,2051,894,2,"['ENSG00000251504', 'ENSG00000236283']","['ENSG00000251504', 'ENSG00000226674', 'ENSG00000229847', 'ENSG00000231312', 'ENSG00000235244', 'ENSG00000236283', 'ENSG00000257261', 'ENSG00000235142', 'ENSG00000241684', 'ENSG00000250903']",0.5289337
4.1,subclass.full,Connecting Tubule Intercalated Cell Type A,110,0.22727272727272727,0.4090909090909091,0.08181818181818182,107578,13,101,9,5,"['ENSG00000249601', 'ENSG00000260658', 'ENSG00000229807', 'ENSG00000226674', 'ENSG00000251136']","['ENSG00000249601', 'ENSG00000260658', 'ENSG00000229807', 'ENSG00000226674', 'ENSG00000251136', 'ENSG00000229847', 'ENSG00000231312', 'ENSG00000235244', 'ENSG00000236283', 'ENSG00000225470']",0.1178131
4.1,subclass.full,Connecting Tubule Principal Cell,2145,0.2165237326993292,0.21179401993355482,0.23776223776223776,103658,1898,1635,510,3,"['ENSG00000226674', 'ENSG00000235142', 'ENSG00000236283']","['ENSG00000177133', 'ENSG00000226674', 'ENSG00000229847', 'ENSG00000235142', 'ENSG00000236283']",0.020728288
4.1,subclass.full,Cortical Collecting Duct Intercalated Cell Type A,3517,0.5016395730133258,0.5318047337278107,0.40887119704293434,102918,1266,2079,1438,2,"['ENSG00000249601', 'ENSG00000236283']","['ENSG00000249601', 'ENSG00000260658', 'ENSG00000231312', 'ENSG00000236283', 'ENSG00000242086', 'ENSG00000250903', 'ENSG00000215386']",0.112253234
4.1,subclass.full,Cortical Collecting Duct Principal Cell,2471,0.40274599542334094,0.5171400587659157,0.21367867260218534,104737,493,1943,528,3,"['ENSG00000259905', 'ENSG00000267659', 'ENSG00000226674']","['ENSG00000259905', 'ENSG00000267659', 'ENSG00000197182', 'ENSG00000226674', 'ENSG00000235244', 'ENSG00000203709', 'ENSG00000235142', 'ENSG00000236283', 'ENSG00000215386', 'ENSG00000241684']",0.27719003
4.1,subclass.full,Cortical Thick Ascending Limb Cell,7354,0.2918287937743191,0.31979082864038616,0.21620886592330704,96965,3382,5764,1590,3,"['ENSG00000233154', 'ENSG00000228262', 'ENSG00000247809']","['ENSG00000233154', 'ENSG00000228262', 'ENSG00000235142', 'ENSG00000236283', 'ENSG00000247809', 'ENSG00000241684', 'ENSG00000242086']",0.030974213
4.1,subclass.full,Cycling Connecting Tubule Cell,12,0.026595744680851064,0.022727272727272728,0.08333333333333333,107646,43,11,1,3,"['ENSG00000231535', 'ENSG00000231079', 'ENSG00000277268']","['ENSG00000231535', 'ENSG00000248932', 'ENSG00000241316', 'ENSG00000231079', 'ENSG00000259905', 'ENSG00000277268', 'ENSG00000233008', 'ENSG00000226067', 'ENSG00000251136', 'ENSG00000269821']",0.19467011
4.1,subclass.full,Cycling Distal Convoluted Tubule Cell,6,0.35714285714285715,0.5,0.16666666666666666,107694,1,5,1,3,"['ENSG00000255910', 'ENSG00000228340', 'ENSG00000232160']","['ENSG00000255910', 'ENSG00000228340', 'ENSG00000175779', 'ENSG00000232160', 'ENSG00000230426', 'ENSG00000258548', 'ENSG00000245857', 'ENSG00000257759', 'ENSG00000276997', 'ENSG00000244879']",1.0
4.1,subclass.full,Cycling Endothelial Cell,54,0.01160092807424594,0.009900990099009901,0.037037037037037035,107447,200,52,2,3,"['ENSG00000231607', 'ENSG00000280441', 'ENSG00000278996']","['ENSG00000231607', 'ENSG00000280441', 'ENSG00000278996', 'ENSG00000242086']",0.050752845
4.1,subclass.full,Cycling Mononuclear Phagocyte,48,0.08928571428571429,0.5,0.020833333333333332,107652,1,47,1,2,"['ENSG00000231607', 'ENSG00000278996']","['ENSG00000231607', 'ENSG00000280441', 'ENSG00000278996']",0.06944295
4.1,subclass.full,Cycling Myofibroblast,18,0.23809523809523808,0.3333333333333333,0.1111111111111111,107679,4,16,2,3,"['ENSG00000224905', 'ENSG00000231889', 'ENSG00000172965']","['ENSG00000224905', 'ENSG00000232973', 'ENSG00000231889', 'ENSG00000253893', 'ENSG00000235531', 'ENSG00000172965', 'ENSG00000249669', 'ENSG00000237187', 'ENSG00000231607', 'ENSG00000274265']",0.53139704
4.1,subclass.full,Cycling Natural Killer Cell / Natural Killer T Cell,16,0.25,1.0,0.0625,107685,0,15,1,1,['ENSG00000203875'],"['ENSG00000245910', 'ENSG00000175061', 'ENSG00000203875', 'ENSG00000222041', 'ENSG00000272888', 'ENSG00000153113']",1.0
4.1,subclass.full,Cycling Proximal Tubule Epithelial Cell,145,0.03355704697986577,1.0,0.006896551724137931,107556,0,144,1,2,"['ENSG00000225470', 'ENSG00000242086']","['ENSG00000231607', 'ENSG00000225470', 'ENSG00000236283', 'ENSG00000250903', 'ENSG00000215386', 'ENSG00000242086']",0.025018701
