clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000237187,0.14704571115677698,1.1873627,0.9288474281091947
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000215386,0.28734820963072416,3.1591914,0.776765633273769
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000247809,0.23789728787291425,2.5930982,0.7417222495014603
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000241684,0.17485470677131812,1.9676502,0.5883997114928993
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000242086,0.15285408456826652,1.3326186,0.5142074114567524
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000251432,0.08775046771250497,0.90362555,1.0
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000284377,0.11749267257116353,1.4741205,0.9877287262194866
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000253893,0.03416235179558872,0.9562752,0.9877069407218212
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000234184,0.05863287768380883,0.45488244,0.9864864864864865
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000241158,0.056603099750643406,1.6879163,0.8963975560020756
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000228262,0.09371405067039061,2.4465575,0.8648532540411562
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000269821,0.04844366065074993,1.1393812,0.8617888809861364
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000251136,0.03483663341161087,0.62775546,0.8437446549132064
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000235142,0.06104070143999855,1.9554856,0.7723236051765648
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000153113,0.03994255666875551,0.5265106,0.7654155613602819
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000253301,0.06337736288464657,1.1895841,0.9501902920168799
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000172965,0.0853890051059255,1.4886525,0.9478262590395438
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000251136,0.03249244655780875,1.0929995,0.8801806738247743
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000228262,0.11043486255727633,2.601533,0.8706557017725867
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000274265,0.03173001824056787,1.1212475,0.8175184138723322
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000153113,0.032336122618416625,0.929976,0.813232072301813
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000235244,0.029386916618773514,1.410473,0.799735585580001
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000235142,0.045551357174414504,1.9110774,0.7694929274352821
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000247809,0.03777759610935705,1.9232011,0.6821366975436339
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000250903,0.02937356460238638,1.6702402,0.6597267534281757
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000153113,1.0,0.6208911,0.7741013491475904
Ascending Thin Limb Cell,ENSG00000251513,0.052317687704212294,0.98010063,1.0
Ascending Thin Limb Cell,ENSG00000236432,0.053958587805920666,1.0602694,0.9768237294377508
Ascending Thin Limb Cell,ENSG00000245694,0.04737766967881264,0.38551196,0.9594594594594594
Ascending Thin Limb Cell,ENSG00000233101,0.03792639360299841,0.8226335,0.9575954885096163
Ascending Thin Limb Cell,ENSG00000258667,0.04913876112187207,1.3450791,0.9457928377228815
Ascending Thin Limb Cell,ENSG00000233559,0.031165231960109927,1.0844164,0.9293755091525413
Ascending Thin Limb Cell,ENSG00000226067,0.02819948977163794,0.96416104,0.9053365709008397
Ascending Thin Limb Cell,ENSG00000274265,0.03901140762237911,1.4328941,0.8457658411683263
Ascending Thin Limb Cell,ENSG00000231312,0.03160674496397025,1.1696117,0.8379226536364168
Ascending Thin Limb Cell,ENSG00000235142,0.07382645611198026,2.214294,0.793763060827513
Ascending Vasa Recta Endothelial Cell,ENSG00000248300,0.28491754103937594,1.2013196,1.0
Ascending Vasa Recta Endothelial Cell,ENSG00000249797,0.19661129971590457,2.1705928,1.0
Ascending Vasa Recta Endothelial Cell,ENSG00000224063,0.07005689620924611,1.4898505,0.9902118605536383
Ascending Vasa Recta Endothelial Cell,ENSG00000248079,0.04025961855741974,1.3460251,0.9590228763786522
Ascending Vasa Recta Endothelial Cell,ENSG00000272168,0.05829812514015242,1.6005377,0.9244129029480187
Ascending Vasa Recta Endothelial Cell,ENSG00000223482,0.03328998750691136,1.1510348,0.8619057656945409
Ascending Vasa Recta Endothelial Cell,ENSG00000231607,0.029213300687287894,1.1363997,0.8287751626324009
Ascending Vasa Recta Endothelial Cell,ENSG00000215386,0.19317146584522166,3.4255576,0.7941240048086321
Ascending Vasa Recta Endothelial Cell,ENSG00000203709,0.02875083055150534,0.6077464,0.7851049722851934
Ascending Vasa Recta Endothelial Cell,ENSG00000247809,0.032999838593292176,1.3722484,0.6281166334409971
B Cell,ENSG00000278996,1.0,2.2317364,0.5518636131608808
Classical Dendritic Cell,ENSG00000231873,0.23462737456933586,2.4164648,1.0
Classical Dendritic Cell,ENSG00000229140,0.2003089358188545,2.3078203,1.0
Classical Dendritic Cell,ENSG00000267374,0.13124819592099682,0.44682688,1.0
Classical Dendritic Cell,ENSG00000229989,0.07213095414932931,1.2744918,1.0
Classical Dendritic Cell,ENSG00000231607,0.0664522797191303,1.3087199,0.838955540109325
Classical Dendritic Cell,ENSG00000280441,0.08166707553360811,1.7767808,0.6917405507049045
Classical Dendritic Cell,ENSG00000250903,0.0656886681333458,1.3014185,0.623480204794858
Classical Dendritic Cell,ENSG00000278996,0.14787651615539932,2.5985231,0.6010053802180935
Connecting Tubule Cell,ENSG00000251504,0.19675861105727194,0.91285455,1.0
Connecting Tubule Cell,ENSG00000226674,0.12660439569901646,1.5098592,0.8887355102075113
Connecting Tubule Cell,ENSG00000229847,0.07175664887461326,0.66960764,0.8094195787971085
Connecting Tubule Cell,ENSG00000231312,0.05637341940592229,0.75239795,0.8027756214141846
Connecting Tubule Cell,ENSG00000235244,0.048282506243316356,1.3572739,0.7950641319558427
Connecting Tubule Cell,ENSG00000236283,0.20636887244868168,4.126534,0.7803090528861897
Connecting Tubule Cell,ENSG00000257261,0.04316227322184058,0.43234208,0.7432432432432432
Connecting Tubule Cell,ENSG00000235142,0.06181282958237588,1.0883193,0.7223409994228466
Connecting Tubule Cell,ENSG00000241684,0.06806659318902199,2.2855735,0.6167301720864063
Connecting Tubule Cell,ENSG00000250903,0.046341928926373406,1.1376863,0.6145564382140701
Connecting Tubule Intercalated Cell Type A,ENSG00000249601,0.08688079590064172,0.89958847,0.9343590124233349
Connecting Tubule Intercalated Cell Type A,ENSG00000260658,0.06147914355158169,1.6756483,0.9336768082670264
Connecting Tubule Intercalated Cell Type A,ENSG00000229807,0.08879546737712851,1.3361669,0.9220049808154235
Connecting Tubule Intercalated Cell Type A,ENSG00000226674,0.06990483432621558,0.9541552,0.8728347026013039
Connecting Tubule Intercalated Cell Type A,ENSG00000251136,0.0426915372225591,0.35561246,0.8378378378378378
Connecting Tubule Intercalated Cell Type A,ENSG00000229847,0.05971995472599138,0.8534329,0.8295908715273883
Connecting Tubule Intercalated Cell Type A,ENSG00000231312,0.05840618137313884,1.0315938,0.8232119598904172
Connecting Tubule Intercalated Cell Type A,ENSG00000235244,0.041014964821920886,1.0847535,0.7761117477674742
Connecting Tubule Intercalated Cell Type A,ENSG00000236283,0.10820278088274517,3.7808712,0.7621687159344956
Connecting Tubule Intercalated Cell Type A,ENSG00000225470,0.037235292562814964,0.5559192,0.6846458404450804
Connecting Tubule Principal Cell,ENSG00000177133,0.18780498714979393,0.7030934,0.9468730373962505
Connecting Tubule Principal Cell,ENSG00000226674,0.22772530390237264,1.1758654,0.878975930246147
Connecting Tubule Principal Cell,ENSG00000229847,0.14208050305742892,0.4265924,0.7931404258753803
Connecting Tubule Principal Cell,ENSG00000235142,0.18219904612291307,0.75591564,0.709095690701459
Connecting Tubule Principal Cell,ENSG00000236283,0.2601901597674915,1.4491405,0.6413921415805817
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000249601,0.36341427284146777,1.414998,0.9470698736809395
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000260658,0.07914534297187467,0.7272056,0.9065065190598771
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000231312,0.09734957636483105,1.1082511,0.8303152612737708
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000236283,0.13323566452382693,2.7948995,0.70998790457442
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000242086,0.15749957338235002,2.464082,0.6689079653572392
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000250903,0.08083504355890461,1.3662347,0.6291619337893821
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000215386,0.08852052635674496,1.0736499,0.5903084149231782
Cortical Collecting Duct Principal Cell,ENSG00000259905,0.15277680797781473,1.7602786,0.9745144481594498
Cortical Collecting Duct Principal Cell,ENSG00000267659,0.07491205700791967,1.3031099,0.9677960856540783
