,0
Adaptive / Maladaptive / Repairing Fibroblast,192
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,554
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,857
Afferent / Efferent Arteriole Endothelial Cell,251
Ascending Thin Limb Cell,816
Ascending Vasa Recta Endothelial Cell,314
B Cell,36
Classical Dendritic Cell,342
Connecting Tubule Cell,335
Connecting Tubule Intercalated Cell Type A,611
Connecting Tubule Principal Cell,532
Cortical Collecting Duct Intercalated Cell Type A,413
Cortical Collecting Duct Principal Cell,796
Cortical Thick Ascending Limb Cell,260
Cycling Connecting Tubule Cell,1078
Cycling Distal Convoluted Tubule Cell,1695
Cycling Endothelial Cell,300
Cycling Mononuclear Phagocyte,180
Cycling Myofibroblast,746
Cycling Natural Killer Cell / Natural Killer T Cell,712
Cycling Proximal Tubule Epithelial Cell,211
Degenerative Ascending Thin Limb Cell,646
Degenerative Connecting Tubule Cell,566
Degenerative Cortical Intercalated Cell Type A,1078
Degenerative Cortical Thick Ascending Limb Cell,156
Degenerative Descending Thin Limb Cell Type 3,1611
Degenerative Distal Convoluted Tubule Cell,944
Degenerative Endothelial Cell,56
Degenerative Fibroblast,190
Degenerative Inner Medullary Collecting Duct Cell,921
Degenerative Medullary Fibroblast,14
Degenerative Medullary Thick Ascending Limb Cell,130
Degenerative Outer Medullary Collecting Duct Principal Cell,764
Degenerative Peritubular Capilary Endothelial Cell,112
Degenerative Podocyte,143
Degenerative Proximal Tubule Epithelial Cell,124
Degenerative Vascular Smooth Muscle Cell,493
Descending Thin Limb Cell Type 1,357
Descending Thin Limb Cell Type 2,557
Descending Thin Limb Cell Type 3,664
Descending Vasa Recta Endothelial Cell,343
Distal Convoluted Tubule Cell Type 1,694
Distal Convoluted Tubule Cell Type 2,421
Fibroblast,152
Glomerular Capillary Endothelial Cell,205
Inner Medullary Collecting Duct Cell,1250
Intercalated Cell Type B,231
Lymphatic Endothelial Cell,191
M2 Macrophage,87
Macula Densa Cell,525
Mast Cell,37
Medullary Fibroblast,340
Medullary Thick Ascending Limb Cell,943
Mesangial Cell,195
Monocyte-derived Cell,61
Myofibroblast,306
Natural Killer Cell / Natural Killer T Cell,147
Neutrophil,30
Non-classical Monocyte,134
Outer Medullary Collecting Duct Intercalated Cell Type A,1610
Outer Medullary Collecting Duct Principal Cell,1128
Papillary Tip Epithelial Cell,907
Parietal Epithelial Cell,125
Peritubular Capilary Endothelial Cell ,91
Plasma Cell,56
Plasmacytoid Dendritic Cell,190
Podocyte,711
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,95
Proximal Tubule Epithelial Cell Segment 3,214
Renin-positive Juxtaglomerular Granular Cell,154
Schwann Cell / Neural,88
T Cell,27
Transitional Principal-Intercalated Cell,1075
Vascular Smooth Muscle Cell,158
Vascular Smooth Muscle Cell / Pericyte,132
