clusterName,markerGene,score
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000077942,0.46473029045643155
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000185070,0.46473029045643155
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000170579,0.6431882565027041
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000183747,0.6431882565027041
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000115221,0.5136473569042957
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000036828,0.5136473569042957
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000090006,0.5090595340811044
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000184916,0.5090595340811044
Ascending Thin Limb Cell,ENSG00000064787,0.6218972225949282
Ascending Thin Limb Cell,ENSG00000140600,0.6218972225949282
Ascending Vasa Recta Endothelial Cell,ENSG00000150625,0.7541899441340782
Ascending Vasa Recta Endothelial Cell,ENSG00000104368,0.7541899441340782
B Cell,ENSG00000153064,0.7382039573820396
Classical Dendritic Cell,ENSG00000131203,0.6012658227848101
Connecting Tubule Cell,ENSG00000136531,0.3779860901118839
Connecting Tubule Cell,ENSG00000139144,0.3779860901118839
Connecting Tubule Intercalated Cell Type A,ENSG00000185274,0.021616730343856826
Connecting Tubule Intercalated Cell Type A,ENSG00000112530,0.021616730343856826
Connecting Tubule Principal Cell,ENSG00000159167,0.5519426379856595
Connecting Tubule Principal Cell,ENSG00000104327,0.5519426379856595
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000144227,0.6975044377153597
Cortical Collecting Duct Intercalated Cell Type A,ENSG00000185274,0.6975044377153597
Cortical Collecting Duct Principal Cell,ENSG00000182752,0.5968363684700253
Cortical Collecting Duct Principal Cell,ENSG00000198846,0.5968363684700253
Cortical Thick Ascending Limb Cell,ENSG00000113946,0.727078321304464
Cortical Thick Ascending Limb Cell,ENSG00000169344,0.727078321304464
Cycling Connecting Tubule Cell,ENSG00000158805,0.3125
Cycling Connecting Tubule Cell,ENSG00000184672,0.3125
Cycling Distal Convoluted Tubule Cell,ENSG00000066279,0.5
Cycling Distal Convoluted Tubule Cell,ENSG00000105928,0.5
Cycling Endothelial Cell,ENSG00000113810,0.43859649122807015
Cycling Endothelial Cell,ENSG00000165304,0.43859649122807015
Cycling Endothelial Cell,ENSG00000174501,0.43859649122807015
Cycling Mononuclear Phagocyte,ENSG00000048052,0.09615384615384616
Cycling Mononuclear Phagocyte,ENSG00000135905,0.09615384615384616
Cycling Myofibroblast,ENSG00000136492,0.2564102564102564
Cycling Myofibroblast,ENSG00000123219,0.2564102564102564
Cycling Myofibroblast,ENSG00000102384,0.2564102564102564
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000164104,0.6944444444444444
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000089685,0.6944444444444444
Cycling Proximal Tubule Epithelial Cell,ENSG00000100629,0.24017467248908297
Cycling Proximal Tubule Epithelial Cell,ENSG00000139734,0.24017467248908297
Cycling Proximal Tubule Epithelial Cell,ENSG00000109685,0.24017467248908297
Degenerative Ascending Thin Limb Cell,ENSG00000109610,0.5115273775216138
Degenerative Ascending Thin Limb Cell,ENSG00000140600,0.5115273775216138
Degenerative Ascending Thin Limb Cell,ENSG00000197249,0.5115273775216138
Degenerative Connecting Tubule Cell,ENSG00000152154,0.17587939698492464
Degenerative Connecting Tubule Cell,ENSG00000162896,0.17587939698492464
Degenerative Connecting Tubule Cell,ENSG00000049130,0.17587939698492464
Degenerative Connecting Tubule Cell,ENSG00000136531,0.17587939698492464
Degenerative Cortical Intercalated Cell Type A,ENSG00000151418,0.5730101735487731
Degenerative Cortical Intercalated Cell Type A,ENSG00000131981,0.5730101735487731
Degenerative Cortical Intercalated Cell Type A,ENSG00000173253,0.5730101735487731
Degenerative Cortical Thick Ascending Limb Cell,ENSG00000197249,0.44832826747720367
Degenerative Cortical Thick Ascending Limb Cell,ENSG00000124107,0.44832826747720367
Degenerative Descending Thin Limb Cell Type 3,ENSG00000172461,0.5329719963866305
Degenerative Descending Thin Limb Cell Type 3,ENSG00000115641,0.5329719963866305
Degenerative Distal Convoluted Tubule Cell,ENSG00000188488,0.80314103560877
Degenerative Distal Convoluted Tubule Cell,ENSG00000070915,0.80314103560877
Degenerative Endothelial Cell,ENSG00000142089,0.21052631578947367
Degenerative Endothelial Cell,ENSG00000184831,0.21052631578947367
Degenerative Endothelial Cell,ENSG00000150991,0.21052631578947367
Degenerative Fibroblast,ENSG00000102265,0.4819277108433735
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000132874,0.5301182210546068
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000137673,0.5301182210546068
Degenerative Inner Medullary Collecting Duct Cell,ENSG00000150201,0.5301182210546068
Degenerative Medullary Fibroblast,ENSG00000049323,0.34977064220183485
Degenerative Medullary Fibroblast,ENSG00000085662,0.34977064220183485
Degenerative Medullary Fibroblast,ENSG00000167580,0.34977064220183485
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000169344,0.2700587084148728
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000074803,0.2700587084148728
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000228716,0.2700587084148728
Degenerative Medullary Thick Ascending Limb Cell,ENSG00000167658,0.2700587084148728
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000160951,0.45738942826321466
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000165272,0.45738942826321466
Degenerative Outer Medullary Collecting Duct Principal Cell,ENSG00000166828,0.45738942826321466
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000102755,0.22813688212927757
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000228716,0.22813688212927757
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000142798,0.22813688212927757
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000118785,0.22813688212927757
Degenerative Podocyte,ENSG00000166033,0.6415343915343915
Degenerative Proximal Tubule Epithelial Cell,ENSG00000197375,0.5051230303500738
Degenerative Proximal Tubule Epithelial Cell,ENSG00000158296,0.5051230303500738
Degenerative Vascular Smooth Muscle Cell,ENSG00000198467,0.8459696727853152
Degenerative Vascular Smooth Muscle Cell,ENSG00000198523,0.8459696727853152
Descending Thin Limb Cell Type 1,ENSG00000150471,0.5465692668927733
Descending Thin Limb Cell Type 1,ENSG00000007062,0.5465692668927733
Descending Thin Limb Cell Type 2,ENSG00000156687,0.5265748031496063
Descending Thin Limb Cell Type 2,ENSG00000182667,0.5265748031496063
Descending Thin Limb Cell Type 3,ENSG00000179869,0.590572033898305
Descending Thin Limb Cell Type 3,ENSG00000132874,0.590572033898305
Descending Thin Limb Cell Type 3,ENSG00000140600,0.590572033898305
Descending Vasa Recta Endothelial Cell,ENSG00000099260,0.6702898550724637
Descending Vasa Recta Endothelial Cell,ENSG00000049192,0.6702898550724637
Distal Convoluted Tubule Cell Type 1,ENSG00000146021,0.6322073680987856
Distal Convoluted Tubule Cell Type 1,ENSG00000119121,0.6322073680987856
Distal Convoluted Tubule Cell Type 2,ENSG00000082397,0.22717247463608292
Distal Convoluted Tubule Cell Type 2,ENSG00000070915,0.22717247463608292
Distal Convoluted Tubule Cell Type 2,ENSG00000179399,0.22717247463608292
Fibroblast,ENSG00000112936,0.6427133343658046
Fibroblast,ENSG00000172260,0.6427133343658046
Glomerular Capillary Endothelial Cell,ENSG00000167941,0.7463465553235908
Glomerular Capillary Endothelial Cell,ENSG00000013016,0.7463465553235908
Inner Medullary Collecting Duct Cell,ENSG00000249853,0.7292237215555445
Inner Medullary Collecting Duct Cell,ENSG00000132874,0.7292237215555445
Intercalated Cell Type B,ENSG00000113073,0.7165605095541401
Lymphatic Endothelial Cell,ENSG00000138722,0.7065217391304348
M2 Macrophage,ENSG00000260314,0.7445816825914705
M2 Macrophage,ENSG00000177575,0.7445816825914705
Macula Densa Cell,ENSG00000004948,0.5596196049743964
Macula Densa Cell,ENSG00000185008,0.5596196049743964
Mast Cell,ENSG00000185052,0.8012820512820513
Mast Cell,ENSG00000163751,0.8012820512820513
Medullary Fibroblast,ENSG00000079931,0.8088828236461758
Medullary Fibroblast,ENSG00000067715,0.8088828236461758
Medullary Thick Ascending Limb Cell,ENSG00000171724,0.6519448590745456
Medullary Thick Ascending Limb Cell,ENSG00000282278,0.6519448590745456
Mesangial Cell,ENSG00000154864,0.4330708661417323
Mesangial Cell,ENSG00000169855,0.4330708661417323
Monocyte-derived Cell,ENSG00000223865,0.5121359223300971
Myofibroblast,ENSG00000108821,0.4128738621586476
Myofibroblast,ENSG00000198947,0.4128738621586476
Natural Killer Cell / Natural Killer T Cell,ENSG00000105374,0.7903313416621401
Natural Killer Cell / Natural Killer T Cell,ENSG00000275302,0.7903313416621401
Neutrophil,ENSG00000143546,0.7883817427385892
Neutrophil,ENSG00000163220,0.7883817427385892
Non-classical Monocyte,ENSG00000204482,0.5690298507462687
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000106302,0.6896551724137931
Outer Medullary Collecting Duct Intercalated Cell Type A,ENSG00000035720,0.6896551724137931
Outer Medullary Collecting Duct Principal Cell,ENSG00000160111,0.42954545454545456
Outer Medullary Collecting Duct Principal Cell,ENSG00000088970,0.42954545454545456
Outer Medullary Collecting Duct Principal Cell,ENSG00000166828,0.42954545454545456
Papillary Tip Epithelial Cell,ENSG00000176153,0.6867283950617284
Papillary Tip Epithelial Cell,ENSG00000073282,0.6867283950617284
Parietal Epithelial Cell,ENSG00000162692,0.5078534031413613
Parietal Epithelial Cell,ENSG00000000971,0.5078534031413613
Peritubular Capilary Endothelial Cell ,ENSG00000130300,0.646602658788774
Peritubular Capilary Endothelial Cell ,ENSG00000174640,0.646602658788774
Plasma Cell,ENSG00000170476,0.5819477434679335
Plasmacytoid Dendritic Cell,ENSG00000198178,0.7333333333333333
Plasmacytoid Dendritic Cell,ENSG00000119866,0.7333333333333333
Podocyte,ENSG00000139304,0.9440634376339477
Podocyte,ENSG00000151490,0.9440634376339477
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000250799,0.6189632255206026
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,ENSG00000171759,0.6189632255206026
Proximal Tubule Epithelial Cell Segment 3,ENSG00000165983,0.39416709118695875
Proximal Tubule Epithelial Cell Segment 3,ENSG00000107611,0.39416709118695875
Renin-positive Juxtaglomerular Granular Cell,ENSG00000143839,0.646551724137931
Schwann Cell / Neural,ENSG00000179915,0.8741258741258742
T Cell,ENSG00000168685,0.7137248743718593
Transitional Principal-Intercalated Cell,ENSG00000147606,0.280970625798212
Transitional Principal-Intercalated Cell,ENSG00000166828,0.280970625798212
Transitional Principal-Intercalated Cell,ENSG00000157404,0.280970625798212
Transitional Principal-Intercalated Cell,ENSG00000150201,0.280970625798212
Vascular Smooth Muscle Cell,ENSG00000169282,0.5894145950280674
Vascular Smooth Muscle Cell,ENSG00000122367,0.5894145950280674
Vascular Smooth Muscle Cell / Pericyte,ENSG00000138031,0.4467708640519021
Vascular Smooth Muscle Cell / Pericyte,ENSG00000074181,0.4467708640519021
