clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000102466,0.030848753524148804,1.4468999,0.9890648021891311
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000156218,0.01578598618725794,1.2513363,0.9778355682218397
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000077942,0.03731063852315188,1.7810075,0.9777825394192258
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000185070,0.02673180783091265,1.2513363,0.9751110149396433
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000170962,0.02323547498565623,1.065104,0.972972972972973
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000154175,0.020353499344701674,1.1791918,0.9691842077551661
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000196569,0.01728166993462287,2.6892877,0.9529757249999691
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000169946,0.03457375240404516,2.5300405,0.949415474324613
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000123358,0.01516170145581931,1.7851238,0.9436667287671888
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000107372,0.015276938368980244,1.6008534,0.9381941983828673
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000146592,0.02237315315925447,1.1412266,1.0
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000113361,0.018472407801944115,1.3602462,0.9864864864864865
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000198796,0.01651702346774975,0.7655849,0.9864864864864865
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000261115,0.01950268970777344,1.4738824,0.9764328453991864
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000170579,0.03387320994731164,1.6250591,0.972972972972973
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000183747,0.0219134677604407,2.6922345,0.9594594594594594
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000066813,0.013463255908478487,2.1617956,0.9566243210354367
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000153707,0.014134156184417997,2.1773925,0.945079971809645
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000106772,0.010044455092774292,1.9207641,0.9235234324996536
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000263961,0.026896502585539748,2.7557583,0.8894042421031643
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000146966,0.008205686880937287,1.0353887,0.9742265971931251
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000115221,0.03724372503264524,2.4385028,0.9701080459195215
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000236699,0.016156277981437286,1.6564898,0.9589046723133808
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000007062,0.012050596894109917,1.0938352,0.9383152441398518
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000036828,0.013048552350313542,1.9981662,0.927057235627561
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000155792,0.010196337823202447,2.19085,0.9187853602138726
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000074803,0.00883568898867372,2.2332203,0.9156391886440484
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000159263,0.011451591428104861,1.3833765,0.9062503447403779
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000185774,0.011717446384519901,3.7644365,0.8495097659729622
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000171234,0.007180225947709768,1.8028166,0.8362115879316587
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000135919,0.03539621160493689,1.44939,1.0
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000090006,0.030360741851677104,0.92269826,1.0
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000151468,0.014611259387393253,1.0663514,1.0
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000184916,0.012057023526897359,0.7618354,1.0
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000131389,0.01834627641506573,1.210003,0.9928826593063973
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000184113,0.016218396642118972,1.5090356,0.9914081306070894
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000178695,0.014712717502759556,1.1126741,0.9913027479841903
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000135821,0.01630196866484504,1.210003,0.99094533517554
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000131477,0.011599056512205384,1.0854542,0.9895327856411805
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000049192,0.025107080491430397,2.3402467,0.9842884975510675
Ascending Thin Limb Cell,ENSG00000064787,0.022519144818063073,1.3417302,1.0
Ascending Thin Limb Cell,ENSG00000184374,0.02221875088226527,1.2705436,1.0
Ascending Thin Limb Cell,ENSG00000275395,0.012754550251861525,1.3067005,0.9880625210903786
Ascending Thin Limb Cell,ENSG00000198691,0.016421497179447766,1.474943,0.9872457513938079
