clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000102466,0.029629108997771665,1.4468999,0.9890648021891311
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000156218,0.014896374693113489,1.2513363,0.9778355682218397
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000077942,0.038866931943589256,1.7810075,0.9777825394192258
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000185070,0.02685305284450018,1.2513363,0.9751110149396433
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000170962,0.02506063481178545,1.065104,0.972972972972973
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000154175,0.017998566931339933,1.1791918,0.9691842077551661
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000196569,0.017563467556822747,2.6892877,0.9529757249999691
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000169946,0.032897761086552756,2.5300405,0.949415474324613
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000123358,0.01520932528363315,1.7851238,0.9436667287671888
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000116667,0.01878652098452329,2.244378,0.9344200910748662
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000146592,0.021264036308500944,1.1412266,1.0
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000284377,0.01736243190306861,1.4741205,0.9877287262194866
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000113361,0.017495124914363686,1.3602462,0.9864864864864865
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000198796,0.01379966683942662,0.7655849,0.9864864864864865
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000261115,0.019453098254306127,1.4738824,0.9764328453991864
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000170579,0.034241839984795346,1.6250591,0.972972972972973
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000183747,0.022129518145429447,2.6922345,0.9594594594594594
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000066813,0.011977077547207947,2.1617956,0.9566243210354367
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000153707,0.013059369449911797,2.1773925,0.945079971809645
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,ENSG00000106772,0.010795737570542877,1.9207641,0.9235234324996536
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000146966,0.008190653384862885,1.0353887,0.9742265971931251
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000115221,0.03489501357976688,2.4385028,0.9701080459195215
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000236699,0.014890731307774581,1.6564898,0.9589046723133808
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000007062,0.01093650753079147,1.0938352,0.9383152441398518
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000036828,0.013464960641945913,1.9981662,0.927057235627561
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000155792,0.009199985076494171,2.19085,0.9187853602138726
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000074803,0.008502223680330384,2.2332203,0.9156391886440484
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000159263,0.010365984644314057,1.3833765,0.9062503447403779
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,ENSG00000228262,0.013040461166525828,2.601533,0.8706557017725867
