,0
B cells,38
CD16+ NK cells,135
CD16- NK cells,137
CD4 T cells,45
Central venous LSECs,179
Cholangiocytes,453
Classical monocytes,234
DC1,648
DC2,588
Fibroblasts,389
Immune mix,19
Inflammatory macrophages,409
Interzonal hepatocytes,1048
MAIT cells,71
Macrophages,142
Migratory DCs,468
NK cells,71
Neutrophils,58
Non-classical monocytes,282
Non-inflammatory macrophages,353
Pericentral hepatocytes,1328
Periportal LSECs,134
Periportal hepatocytes,82
Plasma cells,278
Portal endothelial cells,119
Stellate cells,359
Tem/Temra cytotoxic T cells,77
Tem/Trm cytotoxic T cells,47
pDC,376
