software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,B cells,2513,0.7230337907628744,0.9193245778611632,0.38997214484679665,257079,86,1533,980,2,"['ENSG00000156738', 'ENSG00000153064']","['ENSG00000156738', 'ENSG00000153064', 'ENSG00000247982', 'ENSG00000007312', 'ENSG00000162894', 'ENSG00000198771', 'ENSG00000105369', 'ENSG00000145416', 'ENSG00000023445', 'ENSG00000104894']",1.0
4.1,Curated_annotation,CD4 T cells,5879,0.2919414508605437,0.3410585656122769,0.18523558428304132,251695,2104,4790,1089,3,"['ENSG00000111678', 'ENSG00000168685', 'ENSG00000111716']","['ENSG00000111678', 'ENSG00000168685', 'ENSG00000167286', 'ENSG00000198851', 'ENSG00000116824', 'ENSG00000111716', 'ENSG00000008517', 'ENSG00000111796', 'ENSG00000110848', 'ENSG00000127528']",0.26929802
4.1,Curated_annotation,CD16+ NK cells,11831,0.7691452212015392,0.8350639942042984,0.5845659707547968,246481,1366,4915,6916,3,"['ENSG00000137441', 'ENSG00000100453', 'ENSG00000150045']","['ENSG00000159674', 'ENSG00000171476', 'ENSG00000137441', 'ENSG00000115523', 'ENSG00000100453', 'ENSG00000150045', 'ENSG00000169583', 'ENSG00000142634', 'ENSG00000203747', 'ENSG00000198821']",0.34291694
4.1,Curated_annotation,CD16- NK cells,11492,0.6845888913186092,0.798501514426909,0.43586843021232163,246922,1264,6483,5009,2,"['ENSG00000143184', 'ENSG00000100385']","['ENSG00000143184', 'ENSG00000117281', 'ENSG00000134545', 'ENSG00000143185', 'ENSG00000100385', 'ENSG00000187118', 'ENSG00000074966', 'ENSG00000150045', 'ENSG00000113088', 'ENSG00000169583']",0.78473175
4.1,Curated_annotation,Central venous LSECs,10747,0.8392193040620405,0.9727652464494569,0.5417325765329859,248768,163,4925,5822,2,"['ENSG00000136011', 'ENSG00000145708']","['ENSG00000136011', 'ENSG00000138315', 'ENSG00000145708', 'ENSG00000165810', 'ENSG00000046889', 'ENSG00000010327', 'ENSG00000160339', 'ENSG00000184005', 'ENSG00000182566', 'ENSG00000110841']",1.0
4.1,Curated_annotation,Cholangiocytes,3631,0.8284333467579541,0.9367030965391621,0.566510603139631,255908,139,1574,2057,2,"['ENSG00000122870', 'ENSG00000146038']","['ENSG00000122870', 'ENSG00000100170', 'ENSG00000146038', 'ENSG00000153822', 'ENSG00000140835', 'ENSG00000169862', 'ENSG00000170927', 'ENSG00000165238', 'ENSG00000135480', 'ENSG00000105855']",1.0
4.1,Curated_annotation,Classical monocytes,18034,0.8221623747995279,0.9045359966708282,0.6026394588000443,240497,1147,7166,10868,2,"['ENSG00000038427', 'ENSG00000163221']","['ENSG00000038427', 'ENSG00000163221', 'ENSG00000257764', 'ENSG00000166523', 'ENSG00000085265', 'ENSG00000121552', 'ENSG00000143546', 'ENSG00000163220', 'ENSG00000100079', 'ENSG00000163563']",1.0
4.1,Curated_annotation,DC1,1216,0.8646435452793835,0.9782016348773842,0.5904605263157895,258446,16,498,718,2,"['ENSG00000197992', 'ENSG00000128815']","['ENSG00000197992', 'ENSG00000173578', 'ENSG00000128815', 'ENSG00000184292', 'ENSG00000109684', 'ENSG00000085719', 'ENSG00000118292', 'ENSG00000140968', 'ENSG00000131203', 'ENSG00000100079']",1.0
4.1,Curated_annotation,DC2,1308,0.34285225718194257,0.35330396475770925,0.3065749235474006,257636,734,907,401,3,"['ENSG00000158481', 'ENSG00000149269', 'ENSG00000180817']","['ENSG00000158481', 'ENSG00000132514', 'ENSG00000149269', 'ENSG00000115590', 'ENSG00000180817', 'ENSG00000151131', 'ENSG00000111371', 'ENSG00000160593', 'ENSG00000100079', 'ENSG00000169413']",0.5629248
4.1,Curated_annotation,Fibroblasts,1248,0.704185520361991,0.8706293706293706,0.39903846153846156,258356,74,750,498,2,"['ENSG00000185053', 'ENSG00000148655']","['ENSG00000042062', 'ENSG00000183722', 'ENSG00000185053', 'ENSG00000148655', 'ENSG00000112902', 'ENSG00000138758', 'ENSG00000185345', 'ENSG00000162669', 'ENSG00000133424', 'ENSG00000184226']",1.0
