,0
B cells,2
CD16+ NK cells,2
CD16- NK cells,1
CD4 T cells,1
Central venous LSECs,3
Cholangiocytes,5
Classical monocytes,3
DC1,3
DC2,3
Fibroblasts,10
Immune mix,0
Inflammatory macrophages,1
Interzonal hepatocytes,14
MAIT cells,1
Macrophages,2
Migratory DCs,1
NK cells,1
Neutrophils,0
Non-classical monocytes,1
Non-inflammatory macrophages,1
Pericentral hepatocytes,18
Periportal LSECs,0
Periportal hepatocytes,1
Plasma cells,1
Portal endothelial cells,1
Stellate cells,12
Tem/Temra cytotoxic T cells,0
Tem/Trm cytotoxic T cells,0
pDC,4
