clusterName,markerGene,score
B cells,ENSG00000247982,0.6116823916039436
CD4 T cells,ENSG00000177410,0.047348947657420155
CD16+ NK cells,ENSG00000153113,0.1234356314221948
CD16- NK cells,ENSG00000229807,0.013932156455520942
Central venous LSECs,ENSG00000214548,0.5188837062840723
Cholangiocytes,ENSG00000269821,0.203165553333617
Cholangiocytes,ENSG00000230590,0.203165553333617
Cholangiocytes,ENSG00000229807,0.203165553333617
Classical monocytes,ENSG00000257764,0.6438492701433991
DC1,ENSG00000257764,0.07175226586102719
DC1,ENSG00000269893,0.07175226586102719
DC1,ENSG00000177410,0.07175226586102719
DC2,ENSG00000269893,0.020766155036759965
DC2,ENSG00000177410,0.020766155036759965
Fibroblasts,ENSG00000215386,0.688058748403576
Fibroblasts,ENSG00000237125,0.688058748403576
Inflammatory macrophages,ENSG00000177410,0.08150081832226092
Interzonal hepatocytes,ENSG00000243694,0.26734397677793903
Interzonal hepatocytes,ENSG00000259974,0.26734397677793903
MAIT cells,ENSG00000177410,0.17031909469261142
Macrophages,ENSG00000230590,0.042444862239103674
Migratory DCs,ENSG00000177410,0.0009846866309394507
NK cells,ENSG00000269821,0.07526140411352407
Non-classical monocytes,ENSG00000177410,0.11114182660663981
Non-inflammatory macrophages,ENSG00000177410,0.026975864900205773
Pericentral hepatocytes,ENSG00000229005,0.5659157391552512
Pericentral hepatocytes,ENSG00000227712,0.5659157391552512
Pericentral hepatocytes,ENSG00000259347,0.5659157391552512
Periportal hepatocytes,ENSG00000229807,0.2789044313486987
Plasma cells,ENSG00000269893,0.017097705919458184
Portal endothelial cells,ENSG00000229807,0.0045813604751390345
Stellate cells,ENSG00000249669,0.7360454115421002
Stellate cells,ENSG00000235904,0.7360454115421002
pDC,ENSG00000242258,0.3394109396914446
pDC,ENSG00000233016,0.3394109396914446
pDC,ENSG00000269893,0.3394109396914446
