clusterName,markerGene,onTarget_per_gene,onTarget
B cells,ENSG00000247982,1.0,1.0
CD4 T cells,ENSG00000177410,0.08600723,0.08600723
CD16+ NK cells,ENSG00000153113,0.22807157,0.22807157
CD16- NK cells,ENSG00000229807,0.05506824,0.05506824
Central venous LSECs,ENSG00000214548,0.22533342,0.22533342
Cholangiocytes,ENSG00000269821,0.4523027,0.1319787
Cholangiocytes,ENSG00000230590,0.1319787,0.1319787
Cholangiocytes,ENSG00000229807,0.1184271,0.1319787
Classical monocytes,ENSG00000257764,0.6284177,0.6284177
DC1,ENSG00000257764,0.37158233,0.25526983
DC1,ENSG00000269893,0.25526983,0.25526983
DC1,ENSG00000177410,0.09449233,0.25526983
DC2,ENSG00000269893,0.24630283,0.16906735
DC2,ENSG00000177410,0.09183186,0.16906735
Fibroblasts,ENSG00000215386,1.0,0.85716486
Fibroblasts,ENSG00000237125,0.7143297,0.85716486
Inflammatory macrophages,ENSG00000177410,0.0874284,0.0874284
Interzonal hepatocytes,ENSG00000243694,1.0,0.7640804
Interzonal hepatocytes,ENSG00000259974,0.5281608,0.7640804
MAIT cells,ENSG00000177410,0.069718905,0.069718905
Macrophages,ENSG00000230590,0.11458973,0.11458973
Migratory DCs,ENSG00000177410,0.1276742,0.1276742
NK cells,ENSG00000269821,0.43699768,0.43699768
Non-classical monocytes,ENSG00000177410,0.10505489,0.10505489
Non-inflammatory macrophages,ENSG00000177410,0.05134233,0.05134233
Pericentral hepatocytes,ENSG00000229005,1.0,1.0
Pericentral hepatocytes,ENSG00000227712,1.0,1.0
Pericentral hepatocytes,ENSG00000259347,0.7427049,1.0
Periportal hepatocytes,ENSG00000229807,0.041424207,0.041424207
Plasma cells,ENSG00000269893,0.1777511,0.1777511
Portal endothelial cells,ENSG00000229807,0.051806405,0.051806405
Stellate cells,ENSG00000249669,1.0,1.0
Stellate cells,ENSG00000235904,1.0,1.0
pDC,ENSG00000242258,1.0,1.0
pDC,ENSG00000233016,1.0,1.0
pDC,ENSG00000269893,0.3206763,1.0
