software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,B cells,2513,0.6116823916039436,0.6670520231213873,0.45921209709510546,256589,576,1359,1154,1,['ENSG00000247982'],"['ENSG00000247982', 'ENSG00000177410']",1.0
4.1,Curated_annotation,CD4 T cells,5879,0.047348947657420155,0.03853037161806506,0.5602993706412656,171602,82197,2585,3294,1,['ENSG00000177410'],['ENSG00000177410'],0.08600723
4.1,Curated_annotation,CD16+ NK cells,11831,0.1234356314221948,0.10852894886649031,0.27394134054602315,221225,26622,8590,3241,1,['ENSG00000153113'],"['ENSG00000153113', 'ENSG00000229807']",0.22807157
4.1,Curated_annotation,CD16- NK cells,11492,0.013932156455520942,0.011937126192476891,0.0420292377305952,208207,39979,11009,483,1,['ENSG00000229807'],['ENSG00000229807'],0.05506824
4.1,Curated_annotation,Central venous LSECs,10747,0.5188837062840723,0.5264576677316294,0.4906485530845817,244188,4743,5474,5273,1,['ENSG00000214548'],"['ENSG00000214548', 'ENSG00000230590', 'ENSG00000229807']",0.22533342
4.1,Curated_annotation,Cholangiocytes,3631,0.203165553333617,0.19223027375201288,0.2630129440925365,252034,4013,2676,955,3,"['ENSG00000269821', 'ENSG00000230590', 'ENSG00000229807']","['ENSG00000269821', 'ENSG00000225470', 'ENSG00000153113', 'ENSG00000230590', 'ENSG00000229807']",0.1319787
4.1,Curated_annotation,Classical monocytes,18034,0.6438492701433991,0.6384844298012541,0.6662415437506931,234841,6803,6019,12015,1,['ENSG00000257764'],"['ENSG00000257764', 'ENSG00000153113', 'ENSG00000177410']",0.6284177
4.1,Curated_annotation,DC1,1216,0.07175226586102719,0.05968586387434555,0.375,251278,7184,760,456,3,"['ENSG00000257764', 'ENSG00000269893', 'ENSG00000177410']","['ENSG00000257764', 'ENSG00000269893', 'ENSG00000177410']",0.25526983
4.1,Curated_annotation,DC2,1308,0.020766155036759965,0.016754253603205163,0.4923547400611621,220576,37794,664,644,2,"['ENSG00000269893', 'ENSG00000177410']","['ENSG00000269893', 'ENSG00000153113', 'ENSG00000177410']",0.16906735
4.1,Curated_annotation,Fibroblasts,1248,0.688058748403576,0.9150743099787686,0.3453525641025641,258390,40,817,431,2,"['ENSG00000215386', 'ENSG00000237125']","['ENSG00000259905', 'ENSG00000231721', 'ENSG00000215386', 'ENSG00000241684', 'ENSG00000237125', 'ENSG00000247809', 'ENSG00000232855', 'ENSG00000214548', 'ENSG00000230590', 'ENSG00000229807']",0.85716486
4.1,Curated_annotation,Inflammatory macrophages,8426,0.08150081832226092,0.06663192997082118,0.7588416805126987,161686,89566,2032,6394,1,['ENSG00000177410'],['ENSG00000177410'],0.0874284
4.1,Curated_annotation,Interzonal hepatocytes,10200,0.26734397677793903,0.25103918228279387,0.3611764705882353,238487,10991,6516,3684,2,"['ENSG00000243694', 'ENSG00000259974']","['ENSG00000243694', 'ENSG00000235142', 'ENSG00000250436', 'ENSG00000267391', 'ENSG00000259974', 'ENSG00000258867', 'ENSG00000230490', 'ENSG00000178803', 'ENSG00000259347', 'ENSG00000225470']",0.7640804
4.1,Curated_annotation,MAIT cells,25463,0.17031909469261142,0.14619280034829632,0.501119271099242,159693,74522,12703,12760,1,['ENSG00000177410'],['ENSG00000177410'],0.069718905
4.1,Curated_annotation,Macrophages,3510,0.042444862239103674,0.034534301354971465,0.5068376068376068,206433,49735,1731,1779,1,['ENSG00000230590'],"['ENSG00000230590', 'ENSG00000229807']",0.11458973
4.1,Curated_annotation,Migratory DCs,42,0.0009846866309394507,0.0007879468016523005,0.7857142857142857,217788,41848,9,33,1,['ENSG00000177410'],['ENSG00000177410'],0.1276742
4.1,Curated_annotation,NK cells,1248,0.07526140411352407,0.06244786080324157,0.4198717948717949,250563,7867,724,524,1,['ENSG00000269821'],['ENSG00000269821'],0.43699768
4.1,Curated_annotation,Non-classical monocytes,11186,0.11114182660663981,0.09161141914692766,0.7547827641694976,164774,83718,2743,8443,1,['ENSG00000177410'],['ENSG00000177410'],0.10505489
4.1,Curated_annotation,Non-inflammatory macrophages,3976,0.026975864900205773,0.02180034610225376,0.5354627766599598,160172,95530,1847,2129,1,['ENSG00000177410'],['ENSG00000177410'],0.05134233
4.1,Curated_annotation,Pericentral hepatocytes,27012,0.5659157391552512,0.5964096057145543,0.469828224492818,224078,8588,14321,12691,3,"['ENSG00000229005', 'ENSG00000227712', 'ENSG00000259347']","['ENSG00000229005', 'ENSG00000227712', 'ENSG00000232451', 'ENSG00000267586', 'ENSG00000259347', 'ENSG00000178803', 'ENSG00000230490', 'ENSG00000258867', 'ENSG00000259974', 'ENSG00000267391']",1.0
4.1,Curated_annotation,Periportal hepatocytes,34031,0.2789044313486987,0.26027477689055895,0.39079074961064914,187850,37797,20732,13299,1,['ENSG00000229807'],['ENSG00000229807'],0.041424207
4.1,Curated_annotation,Plasma cells,1994,0.017097705919458184,0.01376931714881557,0.5165496489468405,183910,73774,964,1030,1,['ENSG00000269893'],['ENSG00000269893'],0.1777511
4.1,Curated_annotation,Portal endothelial cells,747,0.0045813604751390345,0.0036715652412540097,0.5194109772423026,153642,105289,359,388,1,['ENSG00000229807'],['ENSG00000229807'],0.051806405
4.1,Curated_annotation,Stellate cells,1997,0.7360454115421002,0.9464720194647201,0.3895843765648473,257637,44,1219,778,2,"['ENSG00000249669', 'ENSG00000235904']","['ENSG00000249669', 'ENSG00000235904', 'ENSG00000237187', 'ENSG00000232855', 'ENSG00000237125', 'ENSG00000247809', 'ENSG00000241684', 'ENSG00000257261', 'ENSG00000214548', 'ENSG00000269821']",1.0
4.1,Curated_annotation,pDC,1213,0.3394109396914446,0.41156462585034015,0.19950535861500412,258119,346,971,242,3,"['ENSG00000242258', 'ENSG00000233016', 'ENSG00000269893']","['ENSG00000242258', 'ENSG00000233016', 'ENSG00000269893', 'ENSG00000177410']",1.0
