clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
B cells,ENSG00000247982,0.7503420620012775,0.8253629,1.0
B cells,ENSG00000177410,0.24965793799872252,1.6978688,0.7020098034824643
CD4 T cells,ENSG00000177410,1.0,1.4011769,0.6681310938937324
CD16+ NK cells,ENSG00000153113,0.49175178792547697,1.2988952,0.8791218314852033
CD16+ NK cells,ENSG00000229807,0.5082482120745231,1.0808015,0.6580219524247306
CD16- NK cells,ENSG00000229807,1.0,1.0605166,0.6555795328957694
Central venous LSECs,ENSG00000214548,0.46277553728450677,0.82543504,0.9285714285714286
Central venous LSECs,ENSG00000230590,0.27948468249703257,2.0042527,0.7972212540251868
Central venous LSECs,ENSG00000229807,0.25773978021846067,2.2724578,0.7451757448060172
Cholangiocytes,ENSG00000269821,0.3023724721466202,1.7411096,0.9567532560655049
Cholangiocytes,ENSG00000225470,0.13548330665857158,0.7459884,0.9285714285714286
Cholangiocytes,ENSG00000153113,0.17323735577082183,1.0302627,0.847934507897922
Cholangiocytes,ENSG00000230590,0.17693509124871426,1.9897261,0.7965230367013386
Cholangiocytes,ENSG00000229807,0.21197177417527213,2.280696,0.7458381886993136
Classical monocytes,ENSG00000257764,0.6336673435197357,1.8254557,0.978882202080318
Classical monocytes,ENSG00000153113,0.12781963493386428,0.89463663,0.8357100252594266
Classical monocytes,ENSG00000177410,0.23851302154640003,1.7290914,0.7064644353730338
DC1,ENSG00000257764,0.3189662078754047,1.0793889,0.9642857142857143
DC1,ENSG00000269893,0.25438258167351907,0.7955837,0.904957190155983
DC1,ENSG00000177410,0.4266512104510762,1.5394111,0.6823651215859822
DC2,ENSG00000269893,0.28238967810912763,0.7676368,0.902797247682299
DC2,ENSG00000153113,0.2480090248062684,0.6302928,0.8214285714285714
DC2,ENSG00000177410,0.469601297084604,1.4960682,0.677301606961659
Fibroblasts,ENSG00000259905,0.18412249110964254,1.6371233,1.0
Fibroblasts,ENSG00000231721,0.1143885198592023,2.027567,1.0
Fibroblasts,ENSG00000215386,0.10701930573671034,1.2143986,1.0
Fibroblasts,ENSG00000241684,0.12425436204814713,2.5337732,0.986672214099339
Fibroblasts,ENSG00000237125,0.12825513141388253,1.7094553,0.9857173625911985
Fibroblasts,ENSG00000247809,0.0684021985349363,2.3583944,0.9723319858312607
Fibroblasts,ENSG00000232855,0.08962919597204733,2.3122501,0.9696491083928517
Fibroblasts,ENSG00000214548,0.07370561857663635,1.826549,0.9640887486083167
Fibroblasts,ENSG00000230590,0.0491502030671573,2.6553178,0.8336826818329948
Fibroblasts,ENSG00000229807,0.06107297368163793,1.0083089,0.6506906790392739
Inflammatory macrophages,ENSG00000177410,1.0,1.4243298,0.6700424381664821
Interzonal hepatocytes,ENSG00000243694,0.08263521179825353,1.0464978,1.0
Interzonal hepatocytes,ENSG00000235142,0.07087769810843636,0.7204884,1.0
Interzonal hepatocytes,ENSG00000250436,0.051765035525781336,0.702427,1.0
Interzonal hepatocytes,ENSG00000267391,0.09286152087833656,1.6982639,0.9860028475522995
Interzonal hepatocytes,ENSG00000259974,0.12062336488072656,0.4016001,0.9680941849946976
Interzonal hepatocytes,ENSG00000258867,0.05550026784228004,1.4464777,0.9642857142857143
Interzonal hepatocytes,ENSG00000230490,0.040924752514929726,0.5051178,0.9642857142857143
Interzonal hepatocytes,ENSG00000178803,0.04980293632703276,0.37501985,0.9642857142857143
Interzonal hepatocytes,ENSG00000259347,0.05728450796560735,0.40220246,0.9642857142857143
Interzonal hepatocytes,ENSG00000225470,0.06315038971638313,0.8135607,0.9315377665417535
MAIT cells,ENSG00000177410,1.0,1.1358175,0.652270747082574
Macrophages,ENSG00000230590,0.4806370777941995,1.7275679,0.7873239900384631
Macrophages,ENSG00000229807,0.5193629222058005,2.1929696,0.7408938833645412
Migratory DCs,ENSG00000177410,1.0,2.0799897,0.7559844510895866
