,0
B cells,36
CD16+ NK cells,133
CD16- NK cells,136
CD4 T cells,44
Central venous LSECs,176
Cholangiocytes,448
Classical monocytes,229
DC1,643
DC2,584
Fibroblasts,379
Immune mix,19
Inflammatory macrophages,408
Interzonal hepatocytes,1034
MAIT cells,69
Macrophages,140
Migratory DCs,467
NK cells,70
Neutrophils,58
Non-classical monocytes,280
Non-inflammatory macrophages,353
Pericentral hepatocytes,1310
Periportal LSECs,134
Periportal hepatocytes,82
Plasma cells,277
Portal endothelial cells,118
Stellate cells,347
Tem/Temra cytotoxic T cells,77
Tem/Trm cytotoxic T cells,47
pDC,370
