clusterName,markerGene,score
B cells,ENSG00000156738,0.8454432803875183
B cells,ENSG00000105369,0.8454432803875183
CD4 T cells,ENSG00000111678,0.2919414508605437
CD4 T cells,ENSG00000168685,0.2919414508605437
CD4 T cells,ENSG00000111716,0.2919414508605437
CD16+ NK cells,ENSG00000137441,0.7691452212015392
CD16+ NK cells,ENSG00000100453,0.7691452212015392
CD16+ NK cells,ENSG00000150045,0.7691452212015392
CD16- NK cells,ENSG00000143184,0.6845888913186092
CD16- NK cells,ENSG00000100385,0.6845888913186092
Central venous LSECs,ENSG00000145708,0.8392193040620405
Central venous LSECs,ENSG00000136011,0.8392193040620405
Cholangiocytes,ENSG00000122870,0.8284333467579541
Cholangiocytes,ENSG00000146038,0.8284333467579541
Classical monocytes,ENSG00000038427,0.8269504933888687
Classical monocytes,ENSG00000143546,0.8269504933888687
DC1,ENSG00000197992,0.8646435452793835
DC1,ENSG00000128815,0.8646435452793835
DC2,ENSG00000158481,0.34285225718194257
DC2,ENSG00000149269,0.34285225718194257
DC2,ENSG00000180817,0.34285225718194257
Fibroblasts,ENSG00000042062,0.6875508543531327
Immune mix,ENSG00000229314,0.11088841852885534
Inflammatory macrophages,ENSG00000143226,0.5739133092865439
Inflammatory macrophages,ENSG00000173369,0.5739133092865439
Interzonal hepatocytes,ENSG00000084110,0.4178910488245931
Interzonal hepatocytes,ENSG00000099937,0.4178910488245931
Interzonal hepatocytes,ENSG00000132693,0.4178910488245931
Interzonal hepatocytes,ENSG00000129988,0.4178910488245931
MAIT cells,ENSG00000185697,0.49586551691255604
MAIT cells,ENSG00000107742,0.49586551691255604
MAIT cells,ENSG00000113088,0.49586551691255604
Macrophages,ENSG00000248905,0.5950864422202001
Migratory DCs,ENSG00000172724,0.6862745098039216
Migratory DCs,ENSG00000075618,0.6862745098039216
NK cells,ENSG00000161405,0.3664434523809524
NK cells,ENSG00000173212,0.3664434523809524
NK cells,ENSG00000185885,0.3664434523809524
Neutrophils,ENSG00000162747,0.9175386537560518
Non-classical monocytes,ENSG00000203747,0.752829234368085
Non-classical monocytes,ENSG00000103187,0.752829234368085
Non-inflammatory macrophages,ENSG00000073754,0.8876765083440308
Non-inflammatory macrophages,ENSG00000019169,0.8876765083440308
Pericentral hepatocytes,ENSG00000160868,0.7006089173005341
Pericentral hepatocytes,ENSG00000007933,0.7006089173005341
Pericentral hepatocytes,ENSG00000108924,0.7006089173005341
Pericentral hepatocytes,ENSG00000198099,0.7006089173005341
Periportal LSECs,ENSG00000111341,0.7123932881954665
Periportal LSECs,ENSG00000152583,0.7123932881954665
Periportal hepatocytes,ENSG00000229314,0.5338078291814946
Plasma cells,ENSG00000048462,0.7882882882882883
Plasma cells,ENSG00000110777,0.7882882882882883
Portal endothelial cells,ENSG00000146374,0.6176652254478073
Portal endothelial cells,ENSG00000241644,0.6176652254478073
Stellate cells,ENSG00000117114,0.6936975693697569
Stellate cells,ENSG00000019991,0.6936975693697569
Tem/Temra cytotoxic T cells,ENSG00000137441,0.7009391749028864
Tem/Temra cytotoxic T cells,ENSG00000100450,0.7009391749028864
Tem/Temra cytotoxic T cells,ENSG00000167286,0.7009391749028864
Tem/Trm cytotoxic T cells,ENSG00000113088,0.6507068880486602
Tem/Trm cytotoxic T cells,ENSG00000100450,0.6507068880486602
Tem/Trm cytotoxic T cells,ENSG00000167286,0.6507068880486602
pDC,ENSG00000166963,0.8419591012370613
pDC,ENSG00000269404,0.8419591012370613
