clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
B cells,ENSG00000156738,0.19747766547228943,2.236325,1.0
B cells,ENSG00000153064,0.11240599738742567,1.5880265,1.0
B cells,ENSG00000007312,0.0669857401097221,1.8548651,1.0
B cells,ENSG00000198771,0.008721445207648663,1.2761012,1.0
B cells,ENSG00000162894,0.01374807025701579,0.9961889,1.0
B cells,ENSG00000105369,0.3013244727478663,2.738206,0.9824246508734567
B cells,ENSG00000145416,0.028370894302298076,1.227629,0.9496164002588817
B cells,ENSG00000023445,0.011477154493617798,1.5087613,0.936387511236327
B cells,ENSG00000110848,0.006957523536273999,1.3563104,0.7857142857142857
B cells,ENSG00000104894,0.08773247891003708,2.968607,0.7706685279096875
CD4 T cells,ENSG00000111678,0.02183319816865601,1.2879539,0.972222945519856
CD4 T cells,ENSG00000168685,0.05619022035605755,2.9944983,0.9106232630355018
CD4 T cells,ENSG00000167286,0.030313576275459483,2.0946388,0.8928571428571429
CD4 T cells,ENSG00000198851,0.024701673352107913,1.9027799,0.8928571428571429
CD4 T cells,ENSG00000116824,0.02383028289882943,1.7888488,0.8657270946672985
CD4 T cells,ENSG00000111716,0.07585767917811394,2.0019414,0.8584680280515126
CD4 T cells,ENSG00000008517,0.038059206276596695,2.8745143,0.851736747792789
CD4 T cells,ENSG00000111796,0.03228644127208086,1.0016067,0.8214285714285714
CD4 T cells,ENSG00000110848,0.02274915311794546,2.104064,0.8195146194526127
CD4 T cells,ENSG00000127528,0.0272628762473006,1.513164,0.8119620893682752
CD16+ NK cells,ENSG00000159674,0.04545041582015278,2.2217746,1.0
CD16+ NK cells,ENSG00000171476,0.01911249869916766,2.1226137,0.9749904317515237
CD16+ NK cells,ENSG00000137441,0.1022099770914031,2.7275865,0.9726548109735761
CD16+ NK cells,ENSG00000115523,0.0875484868396881,4.42169,0.9680294926677432
CD16+ NK cells,ENSG00000100453,0.08758622735908114,3.2208748,0.9378369940178735
CD16+ NK cells,ENSG00000150045,0.03359141008661072,2.097141,0.9370339512825012
CD16+ NK cells,ENSG00000169583,0.035236162175935795,2.058238,0.9305776634386608
CD16+ NK cells,ENSG00000142634,0.015778543235183545,1.9194688,0.9187353721686772
CD16+ NK cells,ENSG00000203747,0.04224108430815414,2.3816903,0.9153187019484383
CD16+ NK cells,ENSG00000198821,0.028257522669820456,2.3348935,0.9131583315985543
CD16- NK cells,ENSG00000143184,0.07201954455958177,1.772846,1.0
CD16- NK cells,ENSG00000117281,0.06194595614806272,2.256866,1.0
CD16- NK cells,ENSG00000134545,0.041624386197633534,1.7253836,1.0
CD16- NK cells,ENSG00000143185,0.024841875479352106,1.8086233,1.0
CD16- NK cells,ENSG00000100385,0.059939107831126,2.0804048,0.972998606307166
CD16- NK cells,ENSG00000187118,0.05372442361272822,3.210923,0.9596126526594162
CD16- NK cells,ENSG00000074966,0.03237324633020781,1.9793868,0.9487627084766116
CD16- NK cells,ENSG00000150045,0.05197584994709839,2.418232,0.9453945351498467
CD16- NK cells,ENSG00000113088,0.029783749468840152,2.466545,0.9311072656086513
CD16- NK cells,ENSG00000169583,0.025666072825231957,1.9426174,0.9285714285714286
Central venous LSECs,ENSG00000145708,0.06102635279462882,2.5930982,1.0
Central venous LSECs,ENSG00000138315,0.05408953981717335,2.0909004,1.0
Central venous LSECs,ENSG00000136011,0.056878295159677524,2.3442135,1.0
Central venous LSECs,ENSG00000010327,0.037765206519198624,2.7523158,1.0
Central venous LSECs,ENSG00000160339,0.03771619892122651,1.8589691,1.0
Central venous LSECs,ENSG00000165810,0.02301173927588057,1.5130261,1.0
Central venous LSECs,ENSG00000092421,0.026019960367886747,1.8907442,1.0
Central venous LSECs,ENSG00000046889,0.02803826888111567,1.7133512,1.0
Central venous LSECs,ENSG00000142748,0.02039633325539565,1.1802845,0.9762772215264184
Central venous LSECs,ENSG00000110841,0.031068968479736357,2.6385312,0.9733553401061467
Cholangiocytes,ENSG00000122870,0.06350059401345277,2.833339,1.0
Cholangiocytes,ENSG00000140835,0.05296469271147717,1.0777239,1.0
Cholangiocytes,ENSG00000146038,0.04847291624520966,1.6973221,1.0
Cholangiocytes,ENSG00000170927,0.04510250308090497,2.846951,1.0
Cholangiocytes,ENSG00000100170,0.04845792355261535,1.1561577,1.0
Cholangiocytes,ENSG00000153822,0.04342396714753793,0.9744165,1.0
Cholangiocytes,ENSG00000169862,0.0382947863202366,1.9547044,1.0
Cholangiocytes,ENSG00000165238,0.027204152635809723,1.0002463,1.0
Cholangiocytes,ENSG00000135480,0.037717064556869205,1.2404019,1.0
Cholangiocytes,ENSG00000105855,0.030860437033456083,0.98543584,1.0
Classical monocytes,ENSG00000038427,0.07940574339470831,2.2720284,1.0
Classical monocytes,ENSG00000163221,0.054294536982728736,2.007965,1.0
Classical monocytes,ENSG00000166523,0.01825197954773799,1.6520431,0.9776684833424432
Classical monocytes,ENSG00000085265,0.048346026716087814,2.794539,0.9663307730640683
Classical monocytes,ENSG00000121552,0.02926128298600623,1.9130434,0.9407009248222623
Classical monocytes,ENSG00000143546,0.06272659244886365,4.052059,0.9405775432075772
Classical monocytes,ENSG00000163220,0.07531575004150379,4.547266,0.9264284925801414
Classical monocytes,ENSG00000100079,0.021309980388344415,1.5039802,0.8928571428571429
Classical monocytes,ENSG00000163563,0.014193670424764191,1.80183,0.881240787250655
Classical monocytes,ENSG00000090382,0.08678325448854472,4.392108,0.8632591920239585
DC1,ENSG00000197992,0.08501828572967313,2.3335721,1.0
DC1,ENSG00000173578,0.04734407916412366,0.8981571,1.0
DC1,ENSG00000128815,0.028244323031474554,1.4653553,1.0
DC1,ENSG00000184292,0.023245072949784867,0.86585236,1.0
DC1,ENSG00000109684,0.018880035291660248,0.926692,1.0
DC1,ENSG00000085719,0.028217564274945102,2.0463018,1.0
DC1,ENSG00000118292,0.04237077883398017,2.3658018,0.9794292535100665
DC1,ENSG00000140968,0.016663676984395727,2.0861502,0.9642857142857143
DC1,ENSG00000131203,0.06664405860079141,2.0379987,0.9642857142857143
DC1,ENSG00000100079,0.01678700930846896,2.5047064,0.9309519082307816
DC2,ENSG00000158481,0.03615003733195191,1.8579844,1.0
DC2,ENSG00000132514,0.02218457945299631,1.7298403,0.9760122363056455
DC2,ENSG00000149269,0.007096663875161733,0.9161483,0.9722701332398823
DC2,ENSG00000115590,0.009756070270990234,1.5419899,0.94960127558027
DC2,ENSG00000180817,0.008009929440862672,1.3212247,0.9285714285714286
DC2,ENSG00000151131,0.007366820323844101,0.6608186,0.9285714285714286
DC2,ENSG00000111371,0.013911236654825437,0.6763097,0.9285714285714286
DC2,ENSG00000160593,0.009903632328292849,1.8318303,0.9105403657470431
DC2,ENSG00000100079,0.0081230860617907,1.7215383,0.8995403157813209
DC2,ENSG00000169413,0.007205584999874657,1.9350185,0.8858253615243095
Fibroblasts,ENSG00000042062,0.07173543169492892,2.230251,1.0
Fibroblasts,ENSG00000185053,0.028292749346589922,1.9424076,1.0
Fibroblasts,ENSG00000183722,0.029013668557941692,1.6279006,1.0
Fibroblasts,ENSG00000185345,0.025267503687803367,1.9592304,1.0
Fibroblasts,ENSG00000162669,0.018213781918297964,1.7275686,1.0
Fibroblasts,ENSG00000112902,0.020227627293714138,2.3710604,1.0
Fibroblasts,ENSG00000148655,0.02522758496314965,2.3668895,1.0
Fibroblasts,ENSG00000133424,0.016012407009690022,1.6218853,1.0
Fibroblasts,ENSG00000138758,0.019078843304945244,1.4303086,1.0
Fibroblasts,ENSG00000184226,0.024572913757623018,3.284927,0.9831629012312207
Immune mix,ENSG00000229314,0.07666987238774736,3.2717717,0.9233414275305611
Immune mix,ENSG00000118271,0.0519758946951788,2.506962,0.9070028045347759
Immune mix,ENSG00000158874,0.06762972104450339,3.3202283,0.9063367886202676
Immune mix,ENSG00000130208,0.055025366370558305,3.174276,0.8784060840095792
Immune mix,ENSG00000130203,0.034056498767031124,2.5946257,0.8537020683288574
Immune mix,ENSG00000171564,0.04882342148350624,2.4331756,0.8454260889972959
Immune mix,ENSG00000171560,0.044357133172067145,2.0896583,0.8264985680580139
Immune mix,ENSG00000171557,0.0467369850994526,1.771225,0.8219573731933322
Immune mix,ENSG00000257017,0.05412794174019882,3.8981102,0.8196992810283389
Immune mix,ENSG00000110245,0.07110856685201089,4.001704,0.8194690580878939
Inflammatory macrophages,ENSG00000143226,0.01639951668502578,1.327759,1.0
Inflammatory macrophages,ENSG00000132514,0.033816873242069986,1.16186,0.9642857142857143
Inflammatory macrophages,ENSG00000173369,0.03478713698417789,3.5088058,0.9642857142857143
Inflammatory macrophages,ENSG00000159189,0.027062361486860177,2.3567805,0.9642857142857143
Inflammatory macrophages,ENSG00000155659,0.015808515262159005,1.384965,0.9642857142857143
Inflammatory macrophages,ENSG00000167601,0.016270837711963138,0.64860654,0.9642857142857143
Inflammatory macrophages,ENSG00000173372,0.03248137970531579,3.4516056,0.9642857142857143
Inflammatory macrophages,ENSG00000169508,0.0264421061477367,1.7272826,0.894368691103799
Inflammatory macrophages,ENSG00000292357,0.016412951964034344,0.8301858,0.8928571428571429
Inflammatory macrophages,ENSG00000169413,0.01804631331692873,1.840903,0.8818141030413764
Interzonal hepatocytes,ENSG00000084110,0.018836064457530572,1.1039742,1.0
Interzonal hepatocytes,ENSG00000228716,0.007353598987298248,0.17536882,1.0
Interzonal hepatocytes,ENSG00000099937,0.005646265463387578,0.40808356,1.0
Interzonal hepatocytes,ENSG00000112414,0.005401820745432079,1.1595266,1.0
Interzonal hepatocytes,ENSG00000132693,0.006485820349316878,2.3718672,0.9859548253672463
Interzonal hepatocytes,ENSG00000129988,0.005339402495599469,1.45833,0.9773004055023193
Interzonal hepatocytes,ENSG00000145192,0.0065630853895934935,1.7132893,0.9771978237799236
Interzonal hepatocytes,ENSG00000146678,0.006416973176919366,1.1940732,0.9761914440563747
Interzonal hepatocytes,ENSG00000160868,0.005401039849164113,0.7985291,0.9642857142857143
Interzonal hepatocytes,ENSG00000136872,0.005887230196574272,2.8218434,0.9230718272072929
MAIT cells,ENSG00000185697,0.020713162522823653,1.1546675,1.0
MAIT cells,ENSG00000107742,0.023490722905875245,1.4727803,1.0
MAIT cells,ENSG00000174946,0.023523388738236298,1.4208658,1.0
MAIT cells,ENSG00000139187,0.018176007216845345,1.4727803,0.9725349502904075
MAIT cells,ENSG00000118503,0.01621421874970177,1.4144673,0.948489710688591
MAIT cells,ENSG00000113088,0.024905338349707005,2.2914119,0.9285714285714286
MAIT cells,ENSG00000168685,0.15779560727366704,3.6257672,0.9261843178953443
MAIT cells,ENSG00000198851,0.022868846147980487,2.1367643,0.8988529422453472
MAIT cells,ENSG00000111796,0.15479167252465637,3.6998975,0.897565701178142
MAIT cells,ENSG00000167286,0.032114457095531616,2.2400665,0.8951757550239563
Macrophages,ENSG00000248905,0.06848448708752497,1.6868391,1.0
Macrophages,ENSG00000079215,0.03880116000265261,1.2133169,1.0
Macrophages,ENSG00000153208,0.035643448770500276,1.7625743,1.0
Macrophages,ENSG00000157827,0.028299337576639085,1.6789031,1.0
Macrophages,ENSG00000082397,0.026755349124756647,0.88487434,1.0
Macrophages,ENSG00000134516,0.017842156094346563,1.2458866,1.0
Macrophages,ENSG00000156113,0.023189039477626756,1.7587858,0.9698686557156699
Macrophages,ENSG00000038945,0.028294677931079454,1.4945916,0.9645572219576154
Macrophages,ENSG00000059377,0.03007291252205607,1.9194688,0.962846325976508
Macrophages,ENSG00000115355,0.025262307888371506,1.5884917,0.9355583020618984
Migratory DCs,ENSG00000126353,0.07025575608689942,3.160349,1.0
Migratory DCs,ENSG00000078081,0.058375142310550056,2.0785751,1.0
Migratory DCs,ENSG00000172724,0.04700312121125306,1.5948124,1.0
Migratory DCs,ENSG00000075618,0.023982578521973195,1.9822278,1.0
Migratory DCs,ENSG00000102962,0.020970420348014822,1.1344687,1.0
Migratory DCs,ENSG00000105246,0.019495197671189,1.5340345,1.0
Migratory DCs,ENSG00000175130,0.021443900990068068,2.4092095,0.9910944402217865
Migratory DCs,ENSG00000023445,0.0318355230598037,3.7267184,0.9742464955363955
Migratory DCs,ENSG00000131203,0.01362755145179006,2.072925,0.9648874593632562
Migratory DCs,ENSG00000292357,0.01441161039336121,2.1652071,0.9512437134981155
NK cells,ENSG00000161405,0.04535434430392865,2.274022,1.0
NK cells,ENSG00000151883,0.03589383366167986,2.0526955,1.0
NK cells,ENSG00000173212,0.02563520581289855,2.0041146,1.0
NK cells,ENSG00000005844,0.019690471187046546,1.8528295,1.0
NK cells,ENSG00000185885,0.023252631555306106,1.6353028,0.9720775442464011
NK cells,ENSG00000100385,0.04733402940612528,1.5728672,0.9642857142857143
NK cells,ENSG00000074966,0.042878779805034586,1.6540921,0.9386863516909736
NK cells,ENSG00000150045,0.035583089350682454,1.6002221,0.9285714285714286
NK cells,ENSG00000198821,0.030113533220593857,2.1256943,0.904611851487841
NK cells,ENSG00000134539,0.055012695232151715,3.0099514,0.8950002938508987
Neutrophils,ENSG00000162747,0.1418803374061195,3.192007,1.0
Neutrophils,ENSG00000140932,0.08915737271579054,2.7724717,1.0
Neutrophils,ENSG00000073756,0.08542568534172974,3.6604488,1.0
Neutrophils,ENSG00000119535,0.05154147026640543,3.023808,1.0
Neutrophils,ENSG00000180871,0.05484753729225216,2.6594927,1.0
