clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
B cells,ENSG00000156738,0.17049151728007791,2.236325,1.0
B cells,ENSG00000153064,0.09635351658197684,1.5880265,1.0
B cells,ENSG00000247982,0.08617705973033861,0.8253629,1.0
B cells,ENSG00000007312,0.05791357216425992,1.8548651,1.0
B cells,ENSG00000162894,0.01233079665119028,0.9961889,1.0
B cells,ENSG00000198771,0.007156154890952385,1.2761012,1.0
B cells,ENSG00000105369,0.285814465218266,2.738206,0.9824246508734567
B cells,ENSG00000145416,0.023747616669796082,1.227629,0.9496164002588817
B cells,ENSG00000023445,0.009878815611485589,1.5087613,0.936387511236327
B cells,ENSG00000104894,0.08361706284297392,2.968607,0.7706685279096875
CD4 T cells,ENSG00000111678,0.021707398357807564,1.2879539,0.972222945519856
CD4 T cells,ENSG00000168685,0.055381381376038485,2.9944983,0.9106232630355018
CD4 T cells,ENSG00000167286,0.029526257101397817,2.0946388,0.8928571428571429
CD4 T cells,ENSG00000198851,0.024553608716289352,1.9027799,0.8928571428571429
CD4 T cells,ENSG00000116824,0.023439599977272133,1.7888488,0.8657270946672985
CD4 T cells,ENSG00000111716,0.07493648426226812,2.0019414,0.8584680280515126
CD4 T cells,ENSG00000008517,0.036979854682817795,2.8745143,0.851736747792789
CD4 T cells,ENSG00000111796,0.03172350027576069,1.0016067,0.8214285714285714
CD4 T cells,ENSG00000110848,0.022342453111461137,2.104064,0.8195146194526127
CD4 T cells,ENSG00000127528,0.02687296572203858,1.513164,0.8119620893682752
CD16+ NK cells,ENSG00000159674,0.046092764820070777,2.2217746,1.0
CD16+ NK cells,ENSG00000171476,0.020213394746564493,2.1226137,0.9749904317515237
CD16+ NK cells,ENSG00000137441,0.09895421562239193,2.7275865,0.9726548109735761
CD16+ NK cells,ENSG00000115523,0.08860769252830086,4.42169,0.9680294926677432
CD16+ NK cells,ENSG00000100453,0.08422817765446147,3.2208748,0.9378369940178735
CD16+ NK cells,ENSG00000150045,0.03344474556498019,2.097141,0.9370339512825012
CD16+ NK cells,ENSG00000169583,0.034026892517713805,2.058238,0.9305776634386608
CD16+ NK cells,ENSG00000142634,0.014334801379802732,1.9194688,0.9187353721686772
CD16+ NK cells,ENSG00000203747,0.04451635206324147,2.3816903,0.9153187019484383
CD16+ NK cells,ENSG00000198821,0.02582255609815565,2.3348935,0.9131583315985543
CD16- NK cells,ENSG00000143184,0.07208334304388193,1.772846,1.0
CD16- NK cells,ENSG00000117281,0.06254768115844468,2.256866,1.0
CD16- NK cells,ENSG00000134545,0.04085798688704778,1.7253836,1.0
CD16- NK cells,ENSG00000143185,0.026658936514247136,1.8086233,1.0
CD16- NK cells,ENSG00000100385,0.06198168330315165,2.0804048,0.972998606307166
CD16- NK cells,ENSG00000187118,0.05389590586990635,3.210923,0.9596126526594162
CD16- NK cells,ENSG00000074966,0.03583047034315682,1.9793868,0.9487627084766116
CD16- NK cells,ENSG00000150045,0.046269850395554535,2.418232,0.9453945351498467
CD16- NK cells,ENSG00000113088,0.03085973152655071,2.466545,0.9311072656086513
CD16- NK cells,ENSG00000169583,0.02390321720536039,1.9426174,0.9285714285714286
Central venous LSECs,ENSG00000136011,0.0655423076852111,2.3442135,1.0
Central venous LSECs,ENSG00000138315,0.04672530918257257,2.0909004,1.0
Central venous LSECs,ENSG00000145708,0.06153517025497044,2.5930982,1.0
Central venous LSECs,ENSG00000165810,0.028730350526362254,1.5130261,1.0
Central venous LSECs,ENSG00000046889,0.029389820633371536,1.7133512,1.0
Central venous LSECs,ENSG00000010327,0.034779984808689955,2.7523158,1.0
Central venous LSECs,ENSG00000160339,0.035454805138293466,1.8589691,1.0
Central venous LSECs,ENSG00000184005,0.02043107061095603,2.1363251,1.0
Central venous LSECs,ENSG00000182566,0.022474486404749732,1.4109416,1.0
Central venous LSECs,ENSG00000110841,0.025658366682095694,2.6385312,0.9733553401061467
Cholangiocytes,ENSG00000122870,0.061531717796947966,2.833339,1.0
Cholangiocytes,ENSG00000100170,0.04922737342167214,1.1561577,1.0
Cholangiocytes,ENSG00000146038,0.047339617047506014,1.6973221,1.0
Cholangiocytes,ENSG00000153822,0.04533792701633808,0.9744165,1.0
Cholangiocytes,ENSG00000140835,0.046007947935141874,1.0777239,1.0
Cholangiocytes,ENSG00000169862,0.04197771256063572,1.9547044,1.0
Cholangiocytes,ENSG00000170927,0.041581664585984134,2.846951,1.0
Cholangiocytes,ENSG00000165238,0.030262070894909426,1.0002463,1.0
Cholangiocytes,ENSG00000135480,0.04079506161663824,1.2404019,1.0
Cholangiocytes,ENSG00000105855,0.03290485367016465,0.98543584,1.0
Classical monocytes,ENSG00000038427,0.07257209531556326,2.2720284,1.0
Classical monocytes,ENSG00000163221,0.05530637588022337,2.007965,1.0
Classical monocytes,ENSG00000257764,0.03426632900633616,1.8254557,0.978882202080318
Classical monocytes,ENSG00000166523,0.018081552018127254,1.6520431,0.9776684833424432
Classical monocytes,ENSG00000085265,0.05319387326788778,2.794539,0.9663307730640683
Classical monocytes,ENSG00000121552,0.02411756307521259,1.9130434,0.9407009248222623
Classical monocytes,ENSG00000143546,0.06971928156265887,4.052059,0.9405775432075772
Classical monocytes,ENSG00000163220,0.07327648318795574,4.547266,0.9264284925801414
Classical monocytes,ENSG00000100079,0.02218282960286619,1.5039802,0.8928571428571429
Classical monocytes,ENSG00000163563,0.012169837642632526,1.80183,0.881240787250655
DC1,ENSG00000197992,0.09496803012831913,2.3335721,1.0
DC1,ENSG00000173578,0.04969055187619642,0.8981571,1.0
DC1,ENSG00000128815,0.030322840908688146,1.4653553,1.0
DC1,ENSG00000184292,0.020853892778444398,0.86585236,1.0
DC1,ENSG00000109684,0.020045487470978337,0.926692,1.0
DC1,ENSG00000085719,0.025540569812920154,2.0463018,1.0
DC1,ENSG00000118292,0.04102784148704296,2.3658018,0.9794292535100665
DC1,ENSG00000140968,0.01607061187997388,2.0861502,0.9642857142857143
DC1,ENSG00000131203,0.06470853857055693,2.0379987,0.9642857142857143
DC1,ENSG00000100079,0.01687502664886323,2.5047064,0.9309519082307816
DC2,ENSG00000158481,0.036822457648033144,1.8579844,1.0
DC2,ENSG00000132514,0.02122584981264348,1.7298403,0.9760122363056455
DC2,ENSG00000149269,0.0072397793785338475,0.9161483,0.9722701332398823
DC2,ENSG00000115590,0.009886873479251414,1.5419899,0.94960127558027
DC2,ENSG00000180817,0.007802523770995151,1.3212247,0.9285714285714286
DC2,ENSG00000151131,0.006706794725662496,0.6608186,0.9285714285714286
DC2,ENSG00000111371,0.013920267743099088,0.6763097,0.9285714285714286
DC2,ENSG00000160593,0.009685248133507284,1.8318303,0.9105403657470431
DC2,ENSG00000100079,0.008241867635935032,1.7215383,0.8995403157813209
DC2,ENSG00000169413,0.006762784949898349,1.9350185,0.8858253615243095
Fibroblasts,ENSG00000042062,0.060795689299289184,2.230251,1.0
Fibroblasts,ENSG00000183722,0.0317999771122154,1.6279006,1.0
Fibroblasts,ENSG00000185053,0.03339589365558384,1.9424076,1.0
Fibroblasts,ENSG00000148655,0.025774449369090947,2.3668895,1.0
Fibroblasts,ENSG00000112902,0.019502533053466196,2.3710604,1.0
Fibroblasts,ENSG00000138758,0.020883361994020678,1.4303086,1.0
Fibroblasts,ENSG00000185345,0.022330737144121007,1.9592304,1.0
Fibroblasts,ENSG00000162669,0.015946750580971735,1.7275686,1.0
Fibroblasts,ENSG00000133424,0.015487120936905215,1.6218853,1.0
Fibroblasts,ENSG00000184226,0.022107818056071423,3.284927,0.9831629012312207
Immune mix,ENSG00000229314,0.07666987238774736,3.2717717,0.9233414275305611
Immune mix,ENSG00000118271,0.0519758946951788,2.506962,0.9070028045347759
Immune mix,ENSG00000158874,0.06762972104450339,3.3202283,0.9063367886202676
Immune mix,ENSG00000130208,0.055025366370558305,3.174276,0.8784060840095792
Immune mix,ENSG00000130203,0.034056498767031124,2.5946257,0.8537020683288574
Immune mix,ENSG00000171564,0.04882342148350624,2.4331756,0.8454260889972959
Immune mix,ENSG00000171560,0.044357133172067145,2.0896583,0.8264985680580139
Immune mix,ENSG00000171557,0.0467369850994526,1.771225,0.8219573731933322
Immune mix,ENSG00000257017,0.05412794174019882,3.8981102,0.8196992810283389
Immune mix,ENSG00000110245,0.07110856685201089,4.001704,0.8194690580878939
Inflammatory macrophages,ENSG00000143226,0.01645140503287173,1.327759,1.0
Inflammatory macrophages,ENSG00000132514,0.03504526134459735,1.16186,0.9642857142857143
Inflammatory macrophages,ENSG00000173372,0.03686130803881303,3.4516056,0.9642857142857143
Inflammatory macrophages,ENSG00000159189,0.026547402284896337,2.3567805,0.9642857142857143
Inflammatory macrophages,ENSG00000167601,0.018483307696796205,0.64860654,0.9642857142857143
Inflammatory macrophages,ENSG00000155659,0.019506661053832326,1.384965,0.9642857142857143
Inflammatory macrophages,ENSG00000173369,0.03499209890269657,3.5088058,0.9642857142857143
Inflammatory macrophages,ENSG00000169508,0.02479719344360492,1.7272826,0.894368691103799
Inflammatory macrophages,ENSG00000292357,0.014911083893346671,0.8301858,0.8928571428571429
Inflammatory macrophages,ENSG00000169413,0.017815373182753183,1.840903,0.8818141030413764
Interzonal hepatocytes,ENSG00000084110,0.016564532116409632,1.1039742,1.0
Interzonal hepatocytes,ENSG00000228716,0.00813530557626757,0.17536882,1.0
Interzonal hepatocytes,ENSG00000099937,0.0057688225497955475,0.40808356,1.0
Interzonal hepatocytes,ENSG00000113905,0.004985180023752188,0.75077987,1.0
Interzonal hepatocytes,ENSG00000132693,0.006260687230371736,2.3718672,0.9859548253672463
Interzonal hepatocytes,ENSG00000145192,0.005929621958186259,1.7132893,0.9771978237799236
Interzonal hepatocytes,ENSG00000161944,0.005315547907284775,1.4375887,0.9767049146550042
Interzonal hepatocytes,ENSG00000146678,0.006971650005147371,1.1940732,0.9761914440563747
Interzonal hepatocytes,ENSG00000160868,0.005457113970225983,0.7985291,0.9642857142857143
Interzonal hepatocytes,ENSG00000136872,0.007021715884157848,2.8218434,0.9230718272072929
MAIT cells,ENSG00000185697,0.020377992612589328,1.1546675,1.0
MAIT cells,ENSG00000174946,0.021867002324369424,1.4208658,1.0
MAIT cells,ENSG00000107742,0.023333472405459764,1.4727803,1.0
MAIT cells,ENSG00000139187,0.016377610421847513,1.4727803,0.9725349502904075
MAIT cells,ENSG00000118503,0.015898705894201805,1.4144673,0.948489710688591
MAIT cells,ENSG00000113088,0.025477351175287412,2.2914119,0.9285714285714286
MAIT cells,ENSG00000168685,0.16396040308918883,3.6257672,0.9261843178953443
MAIT cells,ENSG00000198851,0.021158165632136343,2.1367643,0.8988529422453472
MAIT cells,ENSG00000111796,0.1528452987952697,3.6998975,0.897565701178142
MAIT cells,ENSG00000167286,0.029089253098234458,2.2400665,0.8951757550239563
Macrophages,ENSG00000248905,0.06659349179097046,1.6868391,1.0
Macrophages,ENSG00000079215,0.03729970276087135,1.2133169,1.0
Macrophages,ENSG00000153208,0.030507708433548678,1.7625743,1.0
Macrophages,ENSG00000157827,0.028790987218935592,1.6789031,1.0
Macrophages,ENSG00000082397,0.027169897282954915,0.88487434,1.0
Macrophages,ENSG00000134516,0.017237641378509267,1.2458866,1.0
Macrophages,ENSG00000156113,0.024696554174354273,1.7587858,0.9698686557156699
Macrophages,ENSG00000038945,0.030305445406837987,1.4945916,0.9645572219576154
Macrophages,ENSG00000059377,0.03610650560725736,1.9194688,0.962846325976508
Macrophages,ENSG00000115355,0.024864363695399287,1.5884917,0.9355583020618984
Migratory DCs,ENSG00000126353,0.06371206217770578,3.160349,1.0
Migratory DCs,ENSG00000078081,0.05551008913342544,2.0785751,1.0
Migratory DCs,ENSG00000172724,0.047069180514771373,1.5948124,1.0
Migratory DCs,ENSG00000075618,0.024609125679367908,1.9822278,1.0
Migratory DCs,ENSG00000102962,0.018672433607730535,1.1344687,1.0
Migratory DCs,ENSG00000137571,0.010740275439598877,0.8928292,1.0
Migratory DCs,ENSG00000105246,0.018598344173513272,1.5340345,1.0
Migratory DCs,ENSG00000175130,0.024406780476896064,2.4092095,0.9910944402217865
Migratory DCs,ENSG00000023445,0.03596855659030787,3.7267184,0.9742464955363955
Migratory DCs,ENSG00000131203,0.014584935012560678,2.072925,0.9648874593632562
NK cells,ENSG00000161405,0.045373548300904655,2.274022,1.0
NK cells,ENSG00000151883,0.03498662684677422,2.0526955,1.0
NK cells,ENSG00000173212,0.022642681385142468,2.0041146,1.0
NK cells,ENSG00000005844,0.018548822265356275,1.8528295,1.0
NK cells,ENSG00000185885,0.021033342326921504,1.6353028,0.9720775442464011
NK cells,ENSG00000100385,0.048750256560436675,1.5728672,0.9642857142857143
NK cells,ENSG00000269821,0.017187100843865245,1.682194,0.9552386211497443
NK cells,ENSG00000074966,0.0423791925079421,1.6540921,0.9386863516909736
NK cells,ENSG00000150045,0.03755768381299963,1.6002221,0.9285714285714286
NK cells,ENSG00000198821,0.030436344838932584,2.1256943,0.904611851487841
Neutrophils,ENSG00000162747,0.1418803374061195,3.192007,1.0
Neutrophils,ENSG00000140932,0.08915737271579054,2.7724717,1.0
Neutrophils,ENSG00000073756,0.08542568534172974,3.6604488,1.0
Neutrophils,ENSG00000119535,0.05154147026640543,3.023808,1.0
Neutrophils,ENSG00000180871,0.05484753729225216,2.6594927,1.0
Neutrophils,ENSG00000111913,0.01756942106444221,2.8843477,1.0
Neutrophils,ENSG00000059728,0.036706181397301044,2.858802,1.0
Neutrophils,ENSG00000123689,0.01872741834433975,4.201083,1.0
Neutrophils,ENSG00000171051,0.024294655353823455,2.9385843,0.9838957275663104
Neutrophils,ENSG00000140350,0.01960085178964737,2.7956212,0.9749956854752132
Non-classical monocytes,ENSG00000140105,0.019976574539200823,1.2936863,1.0
