clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
B cells,0.13454244090795556,0.39242605120042445,0.13828221164445553,0.4254906
CD16+ NK cells,0.24704824878451484,0.5087352002236627,0.24680314030706446,0.20755793
CD16- NK cells,0.15922016617813814,0.5095283675600418,0.18078956441740615,0.17717333
CD4 T cells,0.05563625069980639,0.585946211562813,0.06704161458850455,0.15124203
Central venous LSECs,0.5603796267303375,0.4062242772580541,0.4958152097948838,0.31560576
Cholangiocytes,0.3326791409915208,0.3642889929312403,0.3002497009749423,0.44547045
Classical monocytes,0.3843914996477365,0.396038252531543,0.3752575900814125,0.18380359
DC1,0.3209559004949797,0.23229166666666667,0.2877154852727955,0.29446888
DC2,0.08709869151345569,0.14928644240570846,0.09299322074015492,0.26130387
Fibroblasts,0.40710403277006135,0.34443681318681324,0.34326447778068037,0.52234614
Immune mix,0.07383488647103259,0.5765617499828567,0.08930030296871554,0.4410348
Inflammatory macrophages,0.30197668604920974,0.301954268533903,0.2961262889989938,0.22260909
Interzonal hepatocytes,0.29879433573384934,0.30651633986928106,0.284028019190057,0.55622154
MAIT cells,0.309959176640197,0.6256489808742096,0.33468419420111856,0.29764003
Macrophages,0.44839798393998187,0.23274161735700197,0.30782814208127757,0.39451233
Migratory DCs,0.18821746919433463,0.15714285714285714,0.1258455049332021,0.44136283
NK cells,0.21143807790985764,0.15424679487179488,0.17250569673389643,0.5509263
Neutrophils,0.761766131607651,0.5212636020430824,0.6785689604485658,0.54027796
Non-classical monocytes,0.3149457919569809,0.32376780499433816,0.2967585470005432,0.21282348
Non-inflammatory macrophages,0.4901356436668459,0.35367203219315896,0.42519581936021694,0.46543017
Pericentral hepatocytes,0.5812698196824296,0.4787082284416802,0.5530158487867262,0.74300116
Periportal LSECs,0.28501993615971527,0.26846960498304817,0.2539170233323891,0.48843774
Periportal hepatocytes,0.4524347596861461,0.47000969704093326,0.44150323263406327,0.24583992
Plasma cells,0.4879121524834639,0.29786024740889333,0.3863720396341076,0.3647428
Portal endothelial cells,0.17980659228760396,0.3659080767514502,0.16819076507035394,0.48424295
Stellate cells,0.34566863919131063,0.3027875146052412,0.3110606621272476,0.52655846
Tem/Temra cytotoxic T cells,0.17717920140477483,0.6060390670246932,0.2005988996767444,0.19467689
Tem/Trm cytotoxic T cells,0.3630533734127099,0.645662638263007,0.3966084948105125,0.17684433
pDC,0.47710487551845665,0.28799120637537784,0.38760057352711935,0.37957385
