software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,Curated_annotation,CD16+ NK cells,11831,0.09865665569151973,0.08225250135400929,0.48778632406389993,183456,64391,6060,5771,1,['ENSG00000170043'],['ENSG00000170043'],0.10434977,fold_1
4.1,Curated_annotation,CD16- NK cells,11492,0.14131422636242658,0.12467783505154639,0.3030804037591368,223733,24453,8009,3483,2,"['ENSG00000136732', 'ENSG00000170043']","['ENSG00000136732', 'ENSG00000170043']",0.196376,fold_1
4.1,Curated_annotation,Central venous LSECs,10747,0.7862217825344006,0.7797003210845522,0.8134363078068299,246461,2470,2005,8742,1,['ENSG00000127329'],"['ENSG00000127329', 'ENSG00000134138', 'ENSG00000144283']",0.39296904,fold_1
4.1,Curated_annotation,Cholangiocytes,3631,0.09055541637807807,0.07653982686678708,0.3384742495180391,241219,14828,2402,1229,2,"['ENSG00000144283', 'ENSG00000134138']","['ENSG00000144283', 'ENSG00000134138']",0.254872,fold_1
4.1,Curated_annotation,Classical monocytes,18034,0.3876815611486861,0.38766006984866125,0.3877675501829877,230598,11046,11041,6993,2,"['ENSG00000182287', 'ENSG00000170043']","['ENSG00000182287', 'ENSG00000170043']",0.15210019,fold_1
4.1,Curated_annotation,DC1,1216,0.1837491571139582,0.18490245971162,0.17927631578947367,257501,961,998,218,6,"['ENSG00000136930', 'ENSG00000136732', 'ENSG00000187239', 'ENSG00000136521', 'ENSG00000175756', 'ENSG00000091317']","['ENSG00000136930', 'ENSG00000136732', 'ENSG00000187239', 'ENSG00000136521', 'ENSG00000175756', 'ENSG00000091317', 'ENSG00000182287', 'ENSG00000170043']",0.21038854,fold_1
4.1,Curated_annotation,DC2,1308,0.06706349206349206,0.05986539142755933,0.12920489296636087,255716,2654,1139,169,5,"['ENSG00000136930', 'ENSG00000187239', 'ENSG00000175756', 'ENSG00000136521', 'ENSG00000182287']","['ENSG00000136930', 'ENSG00000099860', 'ENSG00000187239', 'ENSG00000175756', 'ENSG00000136521', 'ENSG00000182287', 'ENSG00000091317', 'ENSG00000170043']",0.1878609,fold_1
4.1,Curated_annotation,Fibroblasts,1248,0.490071283095723,0.5746268656716418,0.30849358974358976,258145,285,863,385,2,"['ENSG00000144057', 'ENSG00000169783']","['ENSG00000144057', 'ENSG00000081803', 'ENSG00000169783', 'ENSG00000134138']",0.7667496,fold_1
4.1,Curated_annotation,Inflammatory macrophages,8426,0.29366454843057965,0.28043398308201545,0.3619748397816283,243426,7826,5376,3050,3,"['ENSG00000099860', 'ENSG00000136521', 'ENSG00000182287']","['ENSG00000099860', 'ENSG00000136521', 'ENSG00000175756', 'ENSG00000091317', 'ENSG00000182287', 'ENSG00000170043']",0.19550642,fold_1
4.1,Curated_annotation,Interzonal hepatocytes,10200,0.3666816997394267,0.3940495422724825,0.2869607843137255,244977,4501,7273,2927,5,"['ENSG00000147155', 'ENSG00000164406', 'ENSG00000105854', 'ENSG00000003989', 'ENSG00000138823']","['ENSG00000147155', 'ENSG00000164406', 'ENSG00000105854', 'ENSG00000003989', 'ENSG00000138823', 'ENSG00000143257', 'ENSG00000261701', 'ENSG00000065243', 'ENSG00000168575', 'ENSG00000204128']",0.56784236,fold_1
4.1,Curated_annotation,MAIT cells,25463,0.32311675256876515,0.29398822235164696,0.5352472214585869,201485,32730,11834,13629,1,['ENSG00000122417'],['ENSG00000122417'],1.0,fold_1
4.1,Curated_annotation,Macrophages,3510,0.23930589184826473,0.2671171171171171,0.16894586894586894,254541,1627,2917,593,1,['ENSG00000187239'],['ENSG00000187239'],0.24735348,fold_1
4.1,Curated_annotation,Migratory DCs,42,0.19230769230769232,0.22727272727272727,0.11904761904761904,259619,17,37,5,5,"['ENSG00000184602', 'ENSG00000122299', 'ENSG00000187239', 'ENSG00000099860', 'ENSG00000091317']","['ENSG00000184602', 'ENSG00000122299', 'ENSG00000187239', 'ENSG00000099860', 'ENSG00000136732', 'ENSG00000091317', 'ENSG00000136521', 'ENSG00000175756', 'ENSG00000182287', 'ENSG00000170043']",0.26701343,fold_1
4.1,Curated_annotation,Non-classical monocytes,11186,0.28591672116851974,0.30250259485641795,0.2344895404970499,242444,6048,8563,2623,3,"['ENSG00000091317', 'ENSG00000136521', 'ENSG00000182287']","['ENSG00000091317', 'ENSG00000136521', 'ENSG00000182287', 'ENSG00000170043']",0.1840448,fold_1
4.1,Curated_annotation,Non-inflammatory macrophages,3976,0.42348866498740556,0.5814121037463977,0.2029678068410463,255121,581,3169,807,3,"['ENSG00000162444', 'ENSG00000099860', 'ENSG00000187239']","['ENSG00000162444', 'ENSG00000099860', 'ENSG00000187239', 'ENSG00000091317', 'ENSG00000136521']",0.30657962,fold_1
4.1,Curated_annotation,Pericentral hepatocytes,27012,0.5358540705339486,0.5939265939836749,0.38519917073893084,225552,7114,16607,10405,2,"['ENSG00000261701', 'ENSG00000168575']","['ENSG00000065243', 'ENSG00000261701', 'ENSG00000143257', 'ENSG00000168575', 'ENSG00000175309', 'ENSG00000132199', 'ENSG00000204128', 'ENSG00000105854', 'ENSG00000164406', 'ENSG00000138823']",0.71483886,fold_1
4.1,Curated_annotation,Periportal LSECs,1153,0.6079563683028553,0.7718940936863544,0.32870771899392887,258413,112,774,379,2,"['ENSG00000176435', 'ENSG00000125968']","['ENSG00000176435', 'ENSG00000184113', 'ENSG00000125968', 'ENSG00000127329']",0.7813701,fold_1
4.1,Curated_annotation,Periportal hepatocytes,34031,0.39202082909694064,0.36285129075710887,0.5778260997325968,191118,34529,14367,19664,1,['ENSG00000113600'],['ENSG00000113600'],0.3070363,fold_1
4.1,Curated_annotation,Plasma cells,1994,0.7486136783733827,0.9484777517564403,0.4062186559679037,257640,44,1184,810,1,['ENSG00000132465'],"['ENSG00000132465', 'ENSG00000136732', 'ENSG00000175756']",0.27384228,fold_1
4.1,Curated_annotation,Portal endothelial cells,747,0.23255813953488372,0.24024960998439937,0.20615796519410978,258444,487,593,154,3,"['ENSG00000125968', 'ENSG00000127329', 'ENSG00000134138']","['ENSG00000125968', 'ENSG00000127329', 'ENSG00000134138']",0.3466259,fold_1
4.1,Curated_annotation,Stellate cells,1997,0.05083469310907494,0.04161606725829052,0.44616925388082124,237162,20519,1106,891,1,['ENSG00000134138'],"['ENSG00000169783', 'ENSG00000134138']",0.10129612,fold_1
4.1,Curated_annotation,pDC,1213,0.7765607886089814,0.8460620525059666,0.5845012366034625,258336,129,504,709,2,"['ENSG00000188404', 'ENSG00000132465']","['ENSG00000188404', 'ENSG00000132465', 'ENSG00000175756', 'ENSG00000182287', 'ENSG00000170043']",0.86307883,fold_1
4.1,Curated_annotation,CD4 T cells,5879,0.05213749534169757,0.042598848758137714,0.49974485456710327,187768,66031,2941,2938,1,['ENSG00000147168'],['ENSG00000147168'],0.10402263,fold_2
4.1,Curated_annotation,CD16+ NK cells,11831,0.7103963777591288,0.7389362565976452,0.6153326007945229,245275,2572,4551,7280,2,"['ENSG00000137441', 'ENSG00000169583']","['ENSG00000137441', 'ENSG00000169583', 'ENSG00000147168']",0.4421635,fold_2
4.1,Curated_annotation,CD16- NK cells,11492,0.3369093148376224,0.29720167256352525,0.7236338322311173,228521,19665,3176,8316,1,['ENSG00000169583'],"['ENSG00000169583', 'ENSG00000147168']",0.30010653,fold_2
4.1,Curated_annotation,Central venous LSECs,10747,0.6540153885973787,0.700302343159486,0.5172606308737322,246552,2379,5188,5559,1,['ENSG00000183580'],"['ENSG00000265491', 'ENSG00000183580']",0.3876887,fold_2
4.1,Curated_annotation,Cholangiocytes,3631,0.7451583409525393,0.8538095238095238,0.493803359955935,255740,307,1838,1793,2,"['ENSG00000122870', 'ENSG00000103942']","['ENSG00000122870', 'ENSG00000103942', 'ENSG00000144445', 'ENSG00000152492', 'ENSG00000106853']",0.83882254,fold_2
4.1,Curated_annotation,Classical monocytes,18034,0.19594579401425605,0.16811897106109325,0.5798491737828546,189901,51743,7577,10457,1,['ENSG00000177105'],['ENSG00000177105'],0.14804985,fold_2
4.1,Curated_annotation,DC1,1216,0.31001765225066197,0.33896260554885405,0.23108552631578946,257914,548,935,281,4,"['ENSG00000103043', 'ENSG00000144848', 'ENSG00000006015', 'ENSG00000177105']","['ENSG00000103043', 'ENSG00000170515', 'ENSG00000144848', 'ENSG00000006015', 'ENSG00000177105']",0.36584687,fold_2
4.1,Curated_annotation,DC2,1308,0.06848253049410792,0.058758314855875834,0.20259938837920488,254125,4245,1043,265,4,"['ENSG00000170515', 'ENSG00000006015', 'ENSG00000144848', 'ENSG00000177105']","['ENSG00000170515', 'ENSG00000006015', 'ENSG00000144848', 'ENSG00000177105']",0.3205806,fold_2
4.1,Curated_annotation,Fibroblasts,1248,0.5684210526315789,0.677115987460815,0.34615384615384615,258224,206,816,432,2,"['ENSG00000044524', 'ENSG00000182168']","['ENSG00000044524', 'ENSG00000182168', 'ENSG00000181804', 'ENSG00000189337', 'ENSG00000116667', 'ENSG00000183580']",1.0,fold_2
4.1,Curated_annotation,Inflammatory macrophages,8426,0.1480845830503497,0.12839692834122468,0.38298124851649656,229346,21906,5199,3227,2,"['ENSG00000006015', 'ENSG00000177105']","['ENSG00000006015', 'ENSG00000177105']",0.22454523,fold_2
4.1,Curated_annotation,Interzonal hepatocytes,10200,0.29144435975609756,0.2894039735099338,0.29990196078431375,241967,7511,7141,3059,3,"['ENSG00000077147', 'ENSG00000106993', 'ENSG00000052802']","['ENSG00000077147', 'ENSG00000106993', 'ENSG00000052802', 'ENSG00000008311', 'ENSG00000138032', 'ENSG00000138768', 'ENSG00000148935', 'ENSG00000166669', 'ENSG00000147905', 'ENSG00000113924']",1.0,fold_2
4.1,Curated_annotation,MAIT cells,25463,0.24316623929475253,0.21268580140138965,0.5698071711895691,180506,53709,10954,14509,1,['ENSG00000147168'],['ENSG00000147168'],0.14059491,fold_2
4.1,Curated_annotation,Migratory DCs,42,0.005077430820005078,0.00408371618172537,0.19047619047619047,257685,1951,34,8,4,"['ENSG00000149923', 'ENSG00000265491', 'ENSG00000177105', 'ENSG00000147168']","['ENSG00000149923', 'ENSG00000265491', 'ENSG00000177105', 'ENSG00000147168']",0.24156193,fold_2
