,0
AT0,217
AT1,106
AT2,402
AT2 proliferating,1019
Adventitial fibroblasts,807
Alveolar Mph CCL3+,1723
Alveolar Mph MT-positive,259
Alveolar Mph proliferating,1730
Alveolar fibroblasts,177
Alveolar macrophages,838
B cells,55
Basal resting,136
CD4 T cells,40
CD8 T cells,31
Classical monocytes,148
Club (nasal),271
Club (non-nasal),136
DC1,586
DC2,160
Deuterosomal,860
EC aerocyte capillary,190
EC arterial,134
EC general capillary,102
EC venous pulmonary,127
EC venous systemic,98
Goblet (bronchial),432
Goblet (nasal),239
Goblet (subsegmental),79
Hematopoietic stem cells,621
Hillock-like,1650
Interstitial Mph perivascular,294
Ionocyte,520
Lymphatic EC differentiating,96
Lymphatic EC mature,101
Lymphatic EC proliferating,889
Mast cells,59
Mesothelium,589
Migratory DCs,334
Monocyte-derived Mph,426
Multiciliated (nasal),977
Multiciliated (non-nasal),464
Myofibroblasts,149
NK cells,83
Neuroendocrine,2230
Non-classical monocytes,246
Peribronchial fibroblasts,106
Pericytes,130
Plasma cells,95
Plasmacytoid DCs,108
SM activated stress response,678
SMG duct,1166
SMG mucous,239
SMG serous (bronchial),62
SMG serous (nasal),196
Smooth muscle,96
Smooth muscle FAM83D+,94
Subpleural fibroblasts,857
Suprabasal,1315
T cells proliferating,967
Tuft,1117
pre-TB secretory,122
