clusterName,markerGene,score
Basal resting,ENSG00000171346,0.7416512542655448
Basal resting,ENSG00000128422,0.7416512542655448
Suprabasal,ENSG00000206073,0.6262543809723512
Suprabasal,ENSG00000171346,0.6262543809723512
Suprabasal,ENSG00000186081,0.6262543809723512
Hillock-like,ENSG00000186847,0.6914114513981359
Hillock-like,ENSG00000205420,0.6914114513981359
Deuterosomal,ENSG00000164287,0.6985294117647058
Deuterosomal,ENSG00000058056,0.6985294117647058
Multiciliated (nasal),ENSG00000007933,0.5738672477980569
Multiciliated (nasal),ENSG00000227877,0.5738672477980569
Multiciliated (nasal),ENSG00000126861,0.5738672477980569
Multiciliated (non-nasal),ENSG00000179902,0.8547551395620926
Multiciliated (non-nasal),ENSG00000166959,0.8547551395620926
Club (non-nasal),ENSG00000197446,0.6705475233877827
Club (non-nasal),ENSG00000149021,0.6705475233877827
Club (non-nasal),ENSG00000127324,0.6705475233877827
Club (nasal),ENSG00000167653,0.45651308066409524
Club (nasal),ENSG00000111907,0.45651308066409524
Goblet (nasal),ENSG00000197353,0.8077025182038835
Goblet (nasal),ENSG00000215182,0.8077025182038835
Goblet (bronchial),ENSG00000197943,0.554016620498615
Goblet (bronchial),ENSG00000215182,0.554016620498615
Goblet (subsegmental),ENSG00000117983,0.48373759647188536
Goblet (subsegmental),ENSG00000149021,0.48373759647188536
AT0,ENSG00000025423,0.41116751269035534
AT0,ENSG00000164265,0.41116751269035534
pre-TB secretory,ENSG00000149021,0.7427436602505347
pre-TB secretory,ENSG00000168878,0.7427436602505347
Ionocyte,ENSG00000176009,0.8329177057356608
Ionocyte,ENSG00000184908,0.8329177057356608
Tuft,ENSG00000134986,0.5826558265582655
Tuft,ENSG00000051128,0.5826558265582655
Tuft,ENSG00000118513,0.5826558265582655
Neuroendocrine,ENSG00000134443,0.9459459459459459
Neuroendocrine,ENSG00000100604,0.9459459459459459
SMG serous (nasal),ENSG00000126549,0.9321785085143863
SMG serous (bronchial),ENSG00000111215,0.8021486123545211
SMG serous (bronchial),ENSG00000184530,0.8021486123545211
SMG mucous,ENSG00000078898,0.9138381201044387
SMG duct,ENSG00000261857,0.48408488063660476
SMG duct,ENSG00000156689,0.48408488063660476
AT1,ENSG00000204305,0.8935813904806761
AT2,ENSG00000122852,0.9372507576966024
AT2,ENSG00000185303,0.9372507576966024
AT2 proliferating,ENSG00000196260,0.7367424242424242
AT2 proliferating,ENSG00000175063,0.7367424242424242
AT2 proliferating,ENSG00000131747,0.7367424242424242
EC arterial,ENSG00000155011,0.7299164987042902
EC aerocyte capillary,ENSG00000136160,0.8333574928246311
EC general capillary,ENSG00000142748,0.7786943034404963
EC general capillary,ENSG00000167434,0.7786943034404963
EC venous systemic,ENSG00000130300,0.6116190691199157
EC venous systemic,ENSG00000213088,0.6116190691199157
EC venous pulmonary,ENSG00000213088,0.7473423387419071
EC venous pulmonary,ENSG00000101955,0.7473423387419071
Lymphatic EC mature,ENSG00000137077,0.8806720204956398
Lymphatic EC proliferating,ENSG00000198901,0.7638888888888888
Lymphatic EC proliferating,ENSG00000117724,0.7638888888888888
Lymphatic EC proliferating,ENSG00000137077,0.7638888888888888
Lymphatic EC differentiating,ENSG00000153993,0.43507664562669074
Peribronchial fibroblasts,ENSG00000143196,0.6075439101641232
Peribronchial fibroblasts,ENSG00000189058,0.6075439101641232
Adventitial fibroblasts,ENSG00000197614,0.8532947139753801
Adventitial fibroblasts,ENSG00000168079,0.8532947139753801
Alveolar fibroblasts,ENSG00000147257,0.7027042511745158
Alveolar fibroblasts,ENSG00000139329,0.7027042511745158
Pericytes,ENSG00000131097,0.8481797056545314
Pericytes,ENSG00000171303,0.8481797056545314
Subpleural fibroblasts,ENSG00000184937,0.6684491978609626
Subpleural fibroblasts,ENSG00000107562,0.6684491978609626
Myofibroblasts,ENSG00000106819,0.4793028322440087
Myofibroblasts,ENSG00000114200,0.4793028322440087
Smooth muscle,ENSG00000107796,0.6819839533187454
Smooth muscle,ENSG00000149591,0.6819839533187454
Smooth muscle FAM83D+,ENSG00000163017,0.7696536558548653
SM activated stress response,ENSG00000111404,0.5913597733711048
SM activated stress response,ENSG00000154734,0.5913597733711048
Mesothelium,ENSG00000172137,0.8916083916083916
Mesothelium,ENSG00000116690,0.8916083916083916
Hematopoietic stem cells,ENSG00000185198,0.7180851063829787
Hematopoietic stem cells,ENSG00000170891,0.7180851063829787
Hematopoietic stem cells,ENSG00000104903,0.7180851063829787
B cells,ENSG00000156738,0.8510567371158078
B cells,ENSG00000105369,0.8510567371158078
Plasma cells,ENSG00000132465,0.8944577704835248
CD4 T cells,ENSG00000227507,0.6108136955687864
CD4 T cells,ENSG00000168685,0.6108136955687864
CD8 T cells,ENSG00000271503,0.7568962949479572
CD8 T cells,ENSG00000167286,0.7568962949479572
T cells proliferating,ENSG00000148773,0.651294498381877
T cells proliferating,ENSG00000166803,0.651294498381877
T cells proliferating,ENSG00000198851,0.651294498381877
T cells proliferating,ENSG00000167286,0.651294498381877
NK cells,ENSG00000115523,0.7998007613761696
NK cells,ENSG00000111796,0.7998007613761696
NK cells,ENSG00000180644,0.7998007613761696
DC1,ENSG00000197992,0.782051282051282
DC1,ENSG00000241106,0.782051282051282
DC2,ENSG00000132514,0.5500119360229172
DC2,ENSG00000196735,0.5500119360229172
Migratory DCs,ENSG00000102962,0.5898876404494382
Migratory DCs,ENSG00000136111,0.5898876404494382
Plasmacytoid DCs,ENSG00000070031,0.6818181818181818
Plasmacytoid DCs,ENSG00000170476,0.6818181818181818
Alveolar macrophages,ENSG00000132170,0.6922840319887512
Alveolar macrophages,ENSG00000170323,0.6922840319887512
Alveolar Mph CCL3+,ENSG00000050730,0.7255085340191724
Alveolar Mph CCL3+,ENSG00000163735,0.7255085340191724
Alveolar Mph CCL3+,ENSG00000105855,0.7255085340191724
Alveolar Mph MT-positive,ENSG00000125144,0.3944083874188717
Alveolar Mph MT-positive,ENSG00000100292,0.3944083874188717
Alveolar Mph proliferating,ENSG00000166803,0.23012297577012053
Alveolar Mph proliferating,ENSG00000171848,0.23012297577012053
Alveolar Mph proliferating,ENSG00000175063,0.23012297577012053
Alveolar Mph proliferating,ENSG00000137804,0.23012297577012053
Monocyte-derived Mph,ENSG00000102575,0.3518592100238019
Monocyte-derived Mph,ENSG00000260314,0.3518592100238019
Interstitial Mph perivascular,ENSG00000124491,0.488657683779635
Interstitial Mph perivascular,ENSG00000010327,0.488657683779635
Classical monocytes,ENSG00000163221,0.787023742953436
Classical monocytes,ENSG00000143546,0.787023742953436
Non-classical monocytes,ENSG00000131042,0.5929600755965037
Non-classical monocytes,ENSG00000203747,0.5929600755965037
Mast cells,ENSG00000172236,0.97463955863078
