clusterName,markerGene,onTarget_per_gene,onTarget
Basal resting,ENSG00000171346,0.5930873,0.4669252
Basal resting,ENSG00000128422,0.34076312,0.4669252
Suprabasal,ENSG00000206073,0.3212998,0.29930863
Suprabasal,ENSG00000171346,0.24001971,0.29930863
Suprabasal,ENSG00000186081,0.29930863,0.29930863
Hillock-like,ENSG00000186847,1.0,0.9294408
Hillock-like,ENSG00000205420,0.8588816,0.9294408
Deuterosomal,ENSG00000164287,1.0,1.0
Deuterosomal,ENSG00000058056,1.0,1.0
Multiciliated (nasal),ENSG00000007933,1.0,1.0
Multiciliated (nasal),ENSG00000227877,1.0,1.0
Multiciliated (nasal),ENSG00000126861,0.61461365,1.0
Multiciliated (non-nasal),ENSG00000179902,0.4219726,0.40960068
Multiciliated (non-nasal),ENSG00000166959,0.39722878,0.40960068
Club (non-nasal),ENSG00000197446,0.408809,0.21871187
Club (non-nasal),ENSG00000149021,0.21871187,0.21871187
Club (non-nasal),ENSG00000127324,0.19543599,0.21871187
Club (nasal),ENSG00000167653,0.2791773,0.26932096
Club (nasal),ENSG00000111907,0.25946462,0.26932096
Goblet (nasal),ENSG00000197353,0.5634723,0.4975676
Goblet (nasal),ENSG00000215182,0.43166295,0.4975676
Goblet (bronchial),ENSG00000197943,0.6504235,0.5300191
Goblet (bronchial),ENSG00000215182,0.4096147,0.5300191
Goblet (subsegmental),ENSG00000117983,0.18008591,0.21018685
Goblet (subsegmental),ENSG00000149021,0.2402878,0.21018685
AT0,ENSG00000025423,0.6888439,0.56790316
AT0,ENSG00000164265,0.4469624,0.56790316
pre-TB secretory,ENSG00000149021,0.21774988,0.19728333
pre-TB secretory,ENSG00000168878,0.17681678,0.19728333
Ionocyte,ENSG00000176009,1.0,1.0
Ionocyte,ENSG00000184908,1.0,1.0
Tuft,ENSG00000134986,1.0,1.0
Tuft,ENSG00000051128,1.0,1.0
Tuft,ENSG00000118513,0.5313678,1.0
Neuroendocrine,ENSG00000134443,1.0,1.0
Neuroendocrine,ENSG00000100604,1.0,1.0
SMG serous (nasal),ENSG00000126549,1.0,1.0
SMG serous (bronchial),ENSG00000111215,0.73455524,0.63212633
SMG serous (bronchial),ENSG00000184530,0.5296974,0.63212633
SMG mucous,ENSG00000078898,1.0,1.0
