software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,ann_finest_level,Basal resting,31248,0.7416512542655448,0.7449063021225104,0.728910650281618,452297,7800,8471,22777,2,"['ENSG00000171346', 'ENSG00000128422']","['ENSG00000171462', 'ENSG00000171346', 'ENSG00000072210', 'ENSG00000196878', 'ENSG00000128422', 'ENSG00000186081', 'ENSG00000196344', 'ENSG00000196754', 'ENSG00000187244', 'ENSG00000151914']",0.4669252
4.1,ann_finest_level,Suprabasal,31248,0.6262543809723512,0.6540612412498533,0.5352342549923195,451251,8846,14523,16725,3,"['ENSG00000206073', 'ENSG00000171346', 'ENSG00000186081']","['ENSG00000197641', 'ENSG00000041982', 'ENSG00000205420', 'ENSG00000206073', 'ENSG00000171346', 'ENSG00000186081', 'ENSG00000128422', 'ENSG00000137975', 'ENSG00000196754', 'ENSG00000057149']",0.29930863
4.1,ann_finest_level,Hillock-like,4600,0.6914114513981359,0.7973128598848368,0.4515217391304348,486217,528,2523,2077,2,"['ENSG00000186847', 'ENSG00000205420']","['ENSG00000186847', 'ENSG00000186832', 'ENSG00000134757', 'ENSG00000171401', 'ENSG00000134762', 'ENSG00000205420', 'ENSG00000186081', 'ENSG00000175793', 'ENSG00000196754', 'ENSG00000128422']",0.9294408
4.1,ann_finest_level,Deuterosomal,1004,0.6985294117647058,0.8857808857808858,0.3784860557768924,490292,49,624,380,2,"['ENSG00000164287', 'ENSG00000058056']","['ENSG00000164287', 'ENSG00000142731', 'ENSG00000165325', 'ENSG00000165891', 'ENSG00000058056', 'ENSG00000178202', 'ENSG00000148019', 'ENSG00000152669', 'ENSG00000163923', 'ENSG00000117399']",1.0
4.1,ann_finest_level,Multiciliated (nasal),4869,0.5738672477980569,0.8229166666666666,0.2596015608954611,486204,272,3605,1264,3,"['ENSG00000007933', 'ENSG00000227877', 'ENSG00000126861']","['ENSG00000007933', 'ENSG00000227877', 'ENSG00000147202', 'ENSG00000156968', 'ENSG00000126861', 'ENSG00000258752', 'ENSG00000007062', 'ENSG00000138175', 'ENSG00000166959', 'ENSG00000197353']",1.0
4.1,ann_finest_level,Multiciliated (non-nasal),31248,0.8547551395620926,0.9254852282495589,0.6546338965693804,458450,1647,10792,20456,2,"['ENSG00000179902', 'ENSG00000166959']","['ENSG00000160401', 'ENSG00000188817', 'ENSG00000168589', 'ENSG00000179902', 'ENSG00000166959', 'ENSG00000152611', 'ENSG00000174844', 'ENSG00000164972', 'ENSG00000160188', 'ENSG00000186973']",0.40960068
4.1,ann_finest_level,Club (non-nasal),9955,0.6705475233877827,0.7576209410205434,0.45936715218483176,479927,1463,5382,4573,3,"['ENSG00000197446', 'ENSG00000149021', 'ENSG00000127324']","['ENSG00000124875', 'ENSG00000197446', 'ENSG00000137975', 'ENSG00000149021', 'ENSG00000127324', 'ENSG00000117983', 'ENSG00000263639', 'ENSG00000153446', 'ENSG00000198959', 'ENSG00000167757']",0.21871187
4.1,ann_finest_level,Club (nasal),26068,0.45651308066409524,0.5025093740986444,0.3341644928648151,456653,8624,17357,8711,2,"['ENSG00000167653', 'ENSG00000111907']","['ENSG00000173610', 'ENSG00000162174', 'ENSG00000197353', 'ENSG00000115112', 'ENSG00000167653', 'ENSG00000111907', 'ENSG00000108602', 'ENSG00000057149', 'ENSG00000110492', 'ENSG00000148346']",0.26932096
4.1,ann_finest_level,Goblet (nasal),31248,0.8077025182038835,0.9181935762017677,0.5452508960573477,458579,1518,14210,17038,2,"['ENSG00000197353', 'ENSG00000215182']","['ENSG00000105388', 'ENSG00000180155', 'ENSG00000197353', 'ENSG00000121039', 'ENSG00000124102', 'ENSG00000215182', 'ENSG00000198183', 'ENSG00000167653', 'ENSG00000181143', 'ENSG00000163993']",0.4975676
4.1,ann_finest_level,Goblet (bronchial),1670,0.554016620498615,0.8247422680412371,0.23952095808383234,489590,85,1270,400,2,"['ENSG00000197943', 'ENSG00000215182']","['ENSG00000091137', 'ENSG00000079841', 'ENSG00000197943', 'ENSG00000174501', 'ENSG00000134339', 'ENSG00000215182', 'ENSG00000173432', 'ENSG00000117983', 'ENSG00000149021', 'ENSG00000118849']",0.5300191
4.1,ann_finest_level,Goblet (subsegmental),968,0.48373759647188536,0.5278195488721804,0.36260330578512395,490063,314,617,351,2,"['ENSG00000117983', 'ENSG00000149021']","['ENSG00000137975', 'ENSG00000117983', 'ENSG00000012223', 'ENSG00000149021', 'ENSG00000263639', 'ENSG00000161055', 'ENSG00000125999', 'ENSG00000160180', 'ENSG00000125730', 'ENSG00000189377']",0.21018685
4.1,ann_finest_level,AT0,1440,0.41116751269035534,0.5184,0.225,489604,301,1116,324,2,"['ENSG00000025423', 'ENSG00000164265']","['ENSG00000025423', 'ENSG00000229807', 'ENSG00000164265', 'ENSG00000131400', 'ENSG00000153446', 'ENSG00000198189', 'ENSG00000173467', 'ENSG00000013588', 'ENSG00000168484', 'ENSG00000213853']",0.56790316
4.1,ann_finest_level,pre-TB secretory,4393,0.7427436602505347,0.8122285332442366,0.5533803778738903,486390,562,1962,2431,2,"['ENSG00000149021', 'ENSG00000168878']","['ENSG00000129451', 'ENSG00000181458', 'ENSG00000164265', 'ENSG00000225383', 'ENSG00000149021', 'ENSG00000168878', 'ENSG00000167757', 'ENSG00000161055', 'ENSG00000110195', 'ENSG00000168484']",0.19728333
4.1,ann_finest_level,Ionocyte,561,0.8329177057356608,0.925207756232687,0.5953654188948306,490757,27,227,334,2,"['ENSG00000176009', 'ENSG00000184908']","['ENSG00000176009', 'ENSG00000168269', 'ENSG00000162399', 'ENSG00000184908', 'ENSG00000151418', 'ENSG00000249601', 'ENSG00000001626', 'ENSG00000157680', 'ENSG00000035720', 'ENSG00000186510']",1.0
4.1,ann_finest_level,Tuft,165,0.5826558265582655,0.8431372549019608,0.2606060606060606,491172,8,122,43,3,"['ENSG00000134986', 'ENSG00000051128', 'ENSG00000118513']","['ENSG00000118308', 'ENSG00000137709', 'ENSG00000134986', 'ENSG00000254726', 'ENSG00000051128', 'ENSG00000118513', 'ENSG00000169435', 'ENSG00000103316', 'ENSG00000157404', 'ENSG00000188175']",1.0
4.1,ann_finest_level,Neuroendocrine,159,0.9459459459459459,0.9779411764705882,0.8364779874213837,491183,3,26,133,2,"['ENSG00000134443', 'ENSG00000100604']","['ENSG00000134443', 'ENSG00000100604', 'ENSG00000139352', 'ENSG00000079689', 'ENSG00000166922', 'ENSG00000102109', 'ENSG00000104112', 'ENSG00000067715', 'ENSG00000130294', 'ENSG00000110680']",1.0
4.1,ann_finest_level,SMG serous (nasal),1472,0.9321785085143863,0.951310861423221,0.8627717391304348,489808,65,202,1270,1,['ENSG00000126549'],"['ENSG00000126549', 'ENSG00000171195', 'ENSG00000109205', 'ENSG00000236502', 'ENSG00000176402', 'ENSG00000159763', 'ENSG00000160678', 'ENSG00000184530', 'ENSG00000162078', 'ENSG00000012223']",1.0
4.1,ann_finest_level,SMG serous (bronchial),1417,0.8021486123545211,0.8598848368522073,0.6323218066337333,489782,146,521,896,2,"['ENSG00000111215', 'ENSG00000184530']","['ENSG00000197870', 'ENSG00000236780', 'ENSG00000111215', 'ENSG00000167419', 'ENSG00000160678', 'ENSG00000184530', 'ENSG00000012223', 'ENSG00000162078', 'ENSG00000149089', 'ENSG00000125999']",0.63212633
4.1,ann_finest_level,SMG mucous,537,0.9138381201044387,0.914179104477612,0.9124767225325885,490762,46,47,490,1,['ENSG00000078898'],"['ENSG00000078898', 'ENSG00000167034', 'ENSG00000160182', 'ENSG00000156689', 'ENSG00000176402', 'ENSG00000152931', 'ENSG00000117983', 'ENSG00000275395', 'ENSG00000172456', 'ENSG00000135052']",1.0
4.1,ann_finest_level,SMG duct,1274,0.48408488063660476,0.5849358974358975,0.28649921507064363,489812,259,909,365,2,"['ENSG00000261857', 'ENSG00000156689']","['ENSG00000261857', 'ENSG00000137673', 'ENSG00000151882', 'ENSG00000156689', 'ENSG00000173432', 'ENSG00000187908', 'ENSG00000012223', 'ENSG00000134827', 'ENSG00000118849', 'ENSG00000160862']",0.62467885
4.1,ann_finest_level,AT1,7937,0.8935813904806761,0.9022457067371202,0.8605266473478644,482668,740,1107,6830,1,['ENSG00000204305'],"['ENSG00000204305', 'ENSG00000114854', 'ENSG00000182010', 'ENSG00000136155', 'ENSG00000066405', 'ENSG00000171885', 'ENSG00000243566', 'ENSG00000099994', 'ENSG00000138821', 'ENSG00000086548']",1.0
4.1,ann_finest_level,AT2,31248,0.9372507576966024,0.9463458828266559,0.9025537634408602,458498,1599,3045,28203,2,"['ENSG00000122852', 'ENSG00000185303']","['ENSG00000170890', 'ENSG00000167972', 'ENSG00000096088', 'ENSG00000134020', 'ENSG00000122852', 'ENSG00000185303', 'ENSG00000133661', 'ENSG00000078081', 'ENSG00000131400', 'ENSG00000157765']",0.45317316
4.1,ann_finest_level,AT2 proliferating,976,0.7367424242424242,0.9350961538461539,0.3985655737704918,490342,27,587,389,3,"['ENSG00000196260', 'ENSG00000175063', 'ENSG00000131747']","['ENSG00000166803', 'ENSG00000198901', 'ENSG00000167900', 'ENSG00000196260', 'ENSG00000175063', 'ENSG00000131747', 'ENSG00000176890', 'ENSG00000137804', 'ENSG00000089685', 'ENSG00000171848']",0.23704022
4.1,ann_finest_level,EC arterial,7391,0.7299164987042902,0.8390070921985816,0.48017859558923015,483273,681,3842,3549,1,['ENSG00000155011'],"['ENSG00000155011', 'ENSG00000164683', 'ENSG00000265107', 'ENSG00000125266', 'ENSG00000146674', 'ENSG00000107562', 'ENSG00000168309', 'ENSG00000127329', 'ENSG00000101955', 'ENSG00000176435']",1.0
4.1,ann_finest_level,EC aerocyte capillary,7157,0.8333574928246311,0.8412350014632719,0.8032695263378511,483103,1085,1408,5749,1,['ENSG00000136160'],"['ENSG00000171243', 'ENSG00000188015', 'ENSG00000073910', 'ENSG00000169255', 'ENSG00000136160', 'ENSG00000115602', 'ENSG00000164035', 'ENSG00000167434', 'ENSG00000108622', 'ENSG00000164120']",0.7717276
4.1,ann_finest_level,EC general capillary,16048,0.7786943034404963,0.8686590640975226,0.5505982053838484,473961,1336,7212,8836,2,"['ENSG00000142748', 'ENSG00000167434']","['ENSG00000108576', 'ENSG00000165810', 'ENSG00000163072', 'ENSG00000142748', 'ENSG00000167434', 'ENSG00000135218', 'ENSG00000166292', 'ENSG00000122679', 'ENSG00000168685', 'ENSG00000068001']",0.51941025
4.1,ann_finest_level,EC venous systemic,6557,0.6116190691199157,0.6495504495504496,0.49580600884550863,483034,1754,3306,3251,2,"['ENSG00000130300', 'ENSG00000213088']","['ENSG00000130300', 'ENSG00000162618', 'ENSG00000213088', 'ENSG00000156298', 'ENSG00000173267', 'ENSG00000110799', 'ENSG00000158716', 'ENSG00000127920', 'ENSG00000152583', 'ENSG00000116016']",0.74084854
4.1,ann_finest_level,EC venous pulmonary,6418,0.7473423387419071,0.804128144485057,0.5827360548457463,484016,911,2678,3740,2,"['ENSG00000213088', 'ENSG00000101955']","['ENSG00000274736', 'ENSG00000144837', 'ENSG00000143248', 'ENSG00000104368', 'ENSG00000213088', 'ENSG00000101955', 'ENSG00000127329', 'ENSG00000174640', 'ENSG00000110799', 'ENSG00000122679']",0.4463625
4.1,ann_finest_level,Lymphatic EC mature,4001,0.8806720204956398,0.8775159548355425,0.8935266183454137,486845,499,426,3575,1,['ENSG00000137077'],"['ENSG00000103544', 'ENSG00000163762', 'ENSG00000137077', 'ENSG00000138722', 'ENSG00000173267', 'ENSG00000110841', 'ENSG00000118257', 'ENSG00000249751', 'ENSG00000162493', 'ENSG00000127920']",0.4114893
4.1,ann_finest_level,Lymphatic EC proliferating,28,0.7638888888888888,1.0,0.39285714285714285,491317,0,17,11,3,"['ENSG00000198901', 'ENSG00000117724', 'ENSG00000137077']","['ENSG00000129195', 'ENSG00000198901', 'ENSG00000145386', 'ENSG00000117724', 'ENSG00000137077', 'ENSG00000176890', 'ENSG00000164611', 'ENSG00000089685', 'ENSG00000175063', 'ENSG00000162493']",0.493731
4.1,ann_finest_level,Lymphatic EC differentiating,566,0.43507664562669074,0.46731234866828086,0.3409893992932862,490559,220,373,193,1,['ENSG00000153993'],"['ENSG00000153993', 'ENSG00000147459', 'ENSG00000205038', 'ENSG00000160145', 'ENSG00000178573', 'ENSG00000170365', 'ENSG00000152818', 'ENSG00000117707', 'ENSG00000118257', 'ENSG00000110841']",1.0
4.1,ann_finest_level,Peribronchial fibroblasts,1573,0.6075439101641232,0.888421052631579,0.2682771773680865,489719,53,1151,422,2,"['ENSG00000143196', 'ENSG00000189058']","['ENSG00000145824', 'ENSG00000143196', 'ENSG00000119681', 'ENSG00000106819', 'ENSG00000143387', 'ENSG00000189058', 'ENSG00000049323', 'ENSG00000139329', 'ENSG00000000971', 'ENSG00000182326']",0.5283654
4.1,ann_finest_level,Adventitial fibroblasts,10321,0.8532947139753801,0.9737233515121467,0.5708749152213933,480865,159,4429,5892,2,"['ENSG00000197614', 'ENSG00000168079']","['ENSG00000197614', 'ENSG00000168079', 'ENSG00000174348', 'ENSG00000138356', 'ENSG00000164530', 'ENSG00000174807', 'ENSG00000145423', 'ENSG00000106809', 'ENSG00000102802', 'ENSG00000167779']",1.0
