,0
AT0,6
AT1,2
AT2,7
AT2 proliferating,8
Adventitial fibroblasts,6
Alveolar Mph CCL3+,8
Alveolar Mph MT-positive,6
Alveolar Mph proliferating,12
Alveolar fibroblasts,1
Alveolar macrophages,7
B cells,2
Basal resting,4
CD4 T cells,0
CD8 T cells,0
Classical monocytes,2
Club (nasal),2
Club (non-nasal),1
DC1,4
DC2,0
Deuterosomal,10
EC aerocyte capillary,1
EC arterial,0
EC general capillary,0
EC venous pulmonary,0
EC venous systemic,2
Goblet (bronchial),5
Goblet (nasal),2
Goblet (subsegmental),0
Hematopoietic stem cells,11
Hillock-like,8
Interstitial Mph perivascular,1
Ionocyte,6
Lymphatic EC differentiating,1
Lymphatic EC mature,1
Lymphatic EC proliferating,7
Mast cells,2
Mesothelium,6
Migratory DCs,4
Monocyte-derived Mph,4
Multiciliated (nasal),21
Multiciliated (non-nasal),11
Myofibroblasts,3
NK cells,0
Neuroendocrine,35
Non-classical monocytes,3
Peribronchial fibroblasts,1
Pericytes,1
Plasma cells,1
Plasmacytoid DCs,0
SM activated stress response,8
SMG duct,10
SMG mucous,6
SMG serous (bronchial),3
SMG serous (nasal),5
Smooth muscle,0
Smooth muscle FAM83D+,0
Subpleural fibroblasts,5
Suprabasal,13
T cells proliferating,3
Tuft,12
pre-TB secretory,2
