clusterName,markerGene,score
Basal resting,ENSG00000204387,0.2513538367221825
Basal resting,ENSG00000269893,0.2513538367221825
Suprabasal,ENSG00000260260,0.42840785931545644
Suprabasal,ENSG00000182165,0.42840785931545644
Suprabasal,ENSG00000224032,0.42840785931545644
Hillock-like,ENSG00000172965,0.1359159996402554
Hillock-like,ENSG00000224032,0.1359159996402554
Hillock-like,ENSG00000233016,0.1359159996402554
Hillock-like,ENSG00000245694,0.1359159996402554
Hillock-like,ENSG00000260032,0.1359159996402554
Hillock-like,ENSG00000269893,0.1359159996402554
Deuterosomal,ENSG00000181123,0.04749353491147802
Deuterosomal,ENSG00000257698,0.04749353491147802
Deuterosomal,ENSG00000206573,0.04749353491147802
Deuterosomal,ENSG00000253738,0.04749353491147802
Multiciliated (nasal),ENSG00000153363,0.3704346819470973
Multiciliated (nasal),ENSG00000234478,0.3704346819470973
Multiciliated (nasal),ENSG00000258752,0.3704346819470973
Multiciliated (non-nasal),ENSG00000231621,0.7570750016607986
Multiciliated (non-nasal),ENSG00000258752,0.7570750016607986
Club (non-nasal),ENSG00000261183,0.07978983416340087
Club (nasal),ENSG00000260032,0.14411177115377816
Club (nasal),ENSG00000153113,0.14411177115377816
Goblet (nasal),ENSG00000260032,0.15988222367201183
Goblet (nasal),ENSG00000153113,0.15988222367201183
Goblet (bronchial),ENSG00000230606,0.09838786154575628
Goblet (bronchial),ENSG00000232931,0.09838786154575628
AT0,ENSG00000229807,0.1677407126611069
AT0,ENSG00000225383,0.1677407126611069
AT0,ENSG00000229415,0.1677407126611069
AT0,ENSG00000204387,0.1677407126611069
AT0,ENSG00000177410,0.1677407126611069
pre-TB secretory,ENSG00000225383,0.10799337723611648
pre-TB secretory,ENSG00000269893,0.10799337723611648
Ionocyte,ENSG00000249601,0.7215134183897932
Tuft,ENSG00000260260,0.012855306384802171
Tuft,ENSG00000257588,0.012855306384802171
Tuft,ENSG00000242086,0.012855306384802171
Tuft,ENSG00000224032,0.012855306384802171
Tuft,ENSG00000206573,0.012855306384802171
Tuft,ENSG00000244879,0.012855306384802171
Neuroendocrine,ENSG00000225783,0.7299270072992701
Neuroendocrine,ENSG00000259974,0.7299270072992701
SMG serous (nasal),ENSG00000236502,0.3911764705882353
SMG serous (nasal),ENSG00000257588,0.3911764705882353
SMG serous (nasal),ENSG00000152931,0.3911764705882353
SMG serous (bronchial),ENSG00000236780,0.566675006254691
SMG serous (bronchial),ENSG00000152931,0.566675006254691
SMG mucous,ENSG00000250786,0.3964757709251101
SMG mucous,ENSG00000152931,0.3964757709251101
SMG duct,ENSG00000152931,0.043864728704615205
SMG duct,ENSG00000261183,0.043864728704615205
SMG duct,ENSG00000224032,0.043864728704615205
SMG duct,ENSG00000245694,0.043864728704615205
AT1,ENSG00000225383,0.44831407313598226
AT2,ENSG00000229415,0.7067508580808834
AT2,ENSG00000233016,0.7067508580808834
AT2 proliferating,ENSG00000225383,0.04444864762625307
AT2 proliferating,ENSG00000229415,0.04444864762625307
AT2 proliferating,ENSG00000245694,0.04444864762625307
AT2 proliferating,ENSG00000233016,0.04444864762625307
AT2 proliferating,ENSG00000204387,0.04444864762625307
AT2 proliferating,ENSG00000269893,0.04444864762625307
EC aerocyte capillary,ENSG00000268388,0.3257205528943082
EC venous systemic,ENSG00000267107,0.20244893759325
EC venous systemic,ENSG00000233016,0.20244893759325
Lymphatic EC mature,ENSG00000153113,0.014366988037115405
Lymphatic EC proliferating,ENSG00000163364,0.16666666666666666
Lymphatic EC proliferating,ENSG00000232527,0.16666666666666666
Lymphatic EC proliferating,ENSG00000172965,0.16666666666666666
Lymphatic EC proliferating,ENSG00000222041,0.16666666666666666
Lymphatic EC proliferating,ENSG00000245694,0.16666666666666666
Lymphatic EC proliferating,ENSG00000153113,0.16666666666666666
Lymphatic EC differentiating,ENSG00000153113,0.00605348591107205
Peribronchial fibroblasts,ENSG00000214548,0.08187631249852528
Adventitial fibroblasts,ENSG00000232527,0.6646923893320552
Adventitial fibroblasts,ENSG00000214548,0.6646923893320552
Alveolar fibroblasts,ENSG00000153113,0.020359852667096535
Pericytes,ENSG00000249669,0.4547030275017333
Subpleural fibroblasts,ENSG00000214548,0.01937984496124031
Subpleural fibroblasts,ENSG00000204387,0.01937984496124031
Subpleural fibroblasts,ENSG00000177410,0.01937984496124031
Myofibroblasts,ENSG00000214548,0.06569396051103368
Myofibroblasts,ENSG00000204387,0.06569396051103368
SM activated stress response,ENSG00000186594,0.15120967741935484
