clusterName,markerGene,onTarget_per_gene,onTarget
Basal resting,ENSG00000204387,0.070228525,0.06331021
Basal resting,ENSG00000269893,0.056391902,0.06331021
Suprabasal,ENSG00000260260,0.09462604,0.14147733
Suprabasal,ENSG00000182165,0.18876195,0.14147733
Suprabasal,ENSG00000224032,0.14147733,0.14147733
Hillock-like,ENSG00000172965,0.077335425,0.057831883
Hillock-like,ENSG00000224032,0.048073824,0.057831883
Hillock-like,ENSG00000233016,0.074241966,0.057831883
Hillock-like,ENSG00000245694,0.034647044,0.057831883
Hillock-like,ENSG00000260032,0.067589946,0.057831883
Hillock-like,ENSG00000269893,0.035403904,0.057831883
Deuterosomal,ENSG00000181123,0.4608274,0.20949942
Deuterosomal,ENSG00000257698,0.22902349,0.20949942
Deuterosomal,ENSG00000206573,0.18997534,0.20949942
Deuterosomal,ENSG00000253738,0.11072148,0.20949942
Multiciliated (nasal),ENSG00000153363,1.0,1.0
Multiciliated (nasal),ENSG00000234478,1.0,1.0
Multiciliated (nasal),ENSG00000258752,0.5601204,1.0
Multiciliated (non-nasal),ENSG00000231621,0.548056,0.46939796
Multiciliated (non-nasal),ENSG00000258752,0.3907399,0.46939796
Club (non-nasal),ENSG00000261183,0.17033695,0.17033695
Club (nasal),ENSG00000260032,0.08140477,0.05947069
Club (nasal),ENSG00000153113,0.03753661,0.05947069
Goblet (nasal),ENSG00000260032,0.08207755,0.058664043
Goblet (nasal),ENSG00000153113,0.035250537,0.058664043
Goblet (bronchial),ENSG00000230606,1.0,1.0
Goblet (bronchial),ENSG00000232931,1.0,1.0
AT0,ENSG00000229807,0.59841895,0.26761395
AT0,ENSG00000225383,0.36067167,0.26761395
AT0,ENSG00000229415,0.26761395,0.26761395
AT0,ENSG00000204387,0.039534964,0.26761395
AT0,ENSG00000177410,0.032700103,0.26761395
pre-TB secretory,ENSG00000225383,0.15043573,0.090848036
pre-TB secretory,ENSG00000269893,0.03126034,0.090848036
Ionocyte,ENSG00000249601,1.0,1.0
Tuft,ENSG00000260260,0.18527898,0.20224735
Tuft,ENSG00000257588,0.2192157,0.20224735
Tuft,ENSG00000242086,0.24949354,0.20224735
Tuft,ENSG00000224032,0.24282403,0.20224735
Tuft,ENSG00000206573,0.099094965,0.20224735
Tuft,ENSG00000244879,0.16332892,0.20224735
Neuroendocrine,ENSG00000225783,1.0,1.0
Neuroendocrine,ENSG00000259974,1.0,1.0
SMG serous (nasal),ENSG00000236502,1.0,0.3106887
SMG serous (nasal),ENSG00000257588,0.3106887,0.3106887
SMG serous (nasal),ENSG00000152931,0.24577163,0.3106887
SMG serous (bronchial),ENSG00000236780,1.0,0.64606017
SMG serous (bronchial),ENSG00000152931,0.29212034,0.64606017
SMG mucous,ENSG00000250786,1.0,0.71496105
SMG mucous,ENSG00000152931,0.42992213,0.71496105
SMG duct,ENSG00000152931,0.032185975,0.07178585
SMG duct,ENSG00000261183,0.16652817,0.07178585
SMG duct,ENSG00000224032,0.07687396,0.07178585
SMG duct,ENSG00000245694,0.06669775,0.07178585
