software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,ann_finest_level,Basal resting,31248,0.2513538367221825,0.27398023110121117,0.1889400921658986,444452,15645,25344,5904,2,"['ENSG00000204387', 'ENSG00000269893']","['ENSG00000204387', 'ENSG00000269893', 'ENSG00000177410', 'ENSG00000153113']",0.06331021
4.1,ann_finest_level,Suprabasal,31248,0.42840785931545644,0.47150209225145495,0.31371607782898103,449109,10988,21445,9803,3,"['ENSG00000260260', 'ENSG00000182165', 'ENSG00000224032']","['ENSG00000260260', 'ENSG00000182165', 'ENSG00000224032', 'ENSG00000242086', 'ENSG00000244879', 'ENSG00000261183', 'ENSG00000233016', 'ENSG00000245694', 'ENSG00000260032', 'ENSG00000204387']",0.14147733
4.1,ann_finest_level,Hillock-like,4600,0.1359159996402554,0.12127595546193198,0.26282608695652177,477985,8760,3391,1209,6,"['ENSG00000172965', 'ENSG00000224032', 'ENSG00000233016', 'ENSG00000245694', 'ENSG00000260032', 'ENSG00000269893']","['ENSG00000172965', 'ENSG00000224032', 'ENSG00000233016', 'ENSG00000245694', 'ENSG00000260032', 'ENSG00000269893', 'ENSG00000153113', 'ENSG00000177410']",0.057831883
4.1,ann_finest_level,Deuterosomal,1004,0.04749353491147802,0.03999162479061977,0.1902390438247012,485756,4585,813,191,4,"['ENSG00000181123', 'ENSG00000257698', 'ENSG00000206573', 'ENSG00000253738']","['ENSG00000181123', 'ENSG00000258752', 'ENSG00000257698', 'ENSG00000182165', 'ENSG00000206573', 'ENSG00000253738', 'ENSG00000242086', 'ENSG00000245694', 'ENSG00000260032', 'ENSG00000153113']",0.20949942
4.1,ann_finest_level,Multiciliated (nasal),4869,0.3704346819470973,0.4126370083816892,0.26288765660299857,484654,1822,3589,1280,3,"['ENSG00000153363', 'ENSG00000234478', 'ENSG00000258752']","['ENSG00000260057', 'ENSG00000153363', 'ENSG00000234478', 'ENSG00000226644', 'ENSG00000258752', 'ENSG00000145075', 'ENSG00000231621', 'ENSG00000197180', 'ENSG00000253738', 'ENSG00000244879']",1.0
4.1,ann_finest_level,Multiciliated (non-nasal),31248,0.7570750016607986,0.8178882210460213,0.5835253456221198,456037,4060,13014,18234,2,"['ENSG00000231621', 'ENSG00000258752']","['ENSG00000197180', 'ENSG00000231621', 'ENSG00000181123', 'ENSG00000145075', 'ENSG00000226644', 'ENSG00000258752', 'ENSG00000257698', 'ENSG00000182165', 'ENSG00000244879', 'ENSG00000245694']",0.46939796
4.1,ann_finest_level,Club (non-nasal),9955,0.07978983416340087,0.06565761044453639,0.5738824711200402,400091,81299,4242,5713,1,['ENSG00000261183'],['ENSG00000261183'],0.17033695
4.1,ann_finest_level,Club (nasal),26068,0.14411177115377816,0.1303027275452093,0.25015344483658125,421753,43524,19547,6521,2,"['ENSG00000260032', 'ENSG00000153113']","['ENSG00000260032', 'ENSG00000153113']",0.05947069
4.1,ann_finest_level,Goblet (nasal),31248,0.15988222367201183,0.147717809414284,0.2384152585765489,417113,42984,23798,7450,2,"['ENSG00000260032', 'ENSG00000153113']","['ENSG00000260032', 'ENSG00000153113']",0.058664043
4.1,ann_finest_level,Goblet (bronchial),1670,0.09838786154575628,0.08342906375646181,0.34790419161676644,483292,6383,1089,581,2,"['ENSG00000230606', 'ENSG00000232931']","['ENSG00000230606', 'ENSG00000232931', 'ENSG00000260032', 'ENSG00000269893', 'ENSG00000153113']",1.0
4.1,ann_finest_level,AT0,1440,0.1677407126611069,0.1845672575599583,0.12291666666666666,489123,782,1263,177,5,"['ENSG00000229807', 'ENSG00000225383', 'ENSG00000229415', 'ENSG00000204387', 'ENSG00000177410']","['ENSG00000229807', 'ENSG00000225383', 'ENSG00000229415', 'ENSG00000204387', 'ENSG00000269893', 'ENSG00000177410']",0.26761395
4.1,ann_finest_level,pre-TB secretory,4393,0.10799337723611648,0.09139275179098189,0.39494650580468926,469703,17249,2658,1735,2,"['ENSG00000225383', 'ENSG00000269893']","['ENSG00000225383', 'ENSG00000269893']",0.090848036
4.1,ann_finest_level,Ionocyte,561,0.7215134183897932,0.7663551401869159,0.5846702317290553,490684,100,233,328,1,['ENSG00000249601'],"['ENSG00000249601', 'ENSG00000242086', 'ENSG00000253738', 'ENSG00000260032', 'ENSG00000269893', 'ENSG00000153113']",1.0
4.1,ann_finest_level,Tuft,165,0.012855306384802171,0.010532475131655939,0.10909090909090909,489489,1691,147,18,6,"['ENSG00000260260', 'ENSG00000257588', 'ENSG00000242086', 'ENSG00000224032', 'ENSG00000206573', 'ENSG00000244879']","['ENSG00000260260', 'ENSG00000257588', 'ENSG00000242086', 'ENSG00000224032', 'ENSG00000206573', 'ENSG00000244879', 'ENSG00000233016', 'ENSG00000245694', 'ENSG00000260032', 'ENSG00000204387']",0.20224735
4.1,ann_finest_level,Neuroendocrine,159,0.7299270072992701,0.9523809523809523,0.37735849056603776,491183,3,99,60,2,"['ENSG00000225783', 'ENSG00000259974']","['ENSG00000225783', 'ENSG00000245750', 'ENSG00000235026', 'ENSG00000259974', 'ENSG00000229891', 'ENSG00000269293', 'ENSG00000166770', 'ENSG00000247516', 'ENSG00000283103', 'ENSG00000260260']",1.0
4.1,ann_finest_level,SMG serous (nasal),1472,0.3911764705882353,0.3993993993993994,0.36141304347826086,489073,800,940,532,3,"['ENSG00000236502', 'ENSG00000257588', 'ENSG00000152931']","['ENSG00000236502', 'ENSG00000257588', 'ENSG00000152931', 'ENSG00000261183', 'ENSG00000224032']",0.3106887
4.1,ann_finest_level,SMG serous (bronchial),1417,0.566675006254691,0.7023255813953488,0.3196894848270995,489736,192,964,453,2,"['ENSG00000236780', 'ENSG00000152931']","['ENSG00000236780', 'ENSG00000257764', 'ENSG00000152931']",0.64606017
4.1,ann_finest_level,SMG mucous,537,0.3964757709251101,0.4790874524714829,0.2346368715083799,490671,137,411,126,2,"['ENSG00000250786', 'ENSG00000152931']","['ENSG00000250786', 'ENSG00000257084', 'ENSG00000257588', 'ENSG00000152931', 'ENSG00000261183', 'ENSG00000269893']",0.71496105
4.1,ann_finest_level,SMG duct,1274,0.043864728704615205,0.03643578643578643,0.23783359497645212,482058,8013,971,303,4,"['ENSG00000152931', 'ENSG00000261183', 'ENSG00000224032', 'ENSG00000245694']","['ENSG00000152931', 'ENSG00000253738', 'ENSG00000261183', 'ENSG00000242086', 'ENSG00000224032', 'ENSG00000245694', 'ENSG00000260032', 'ENSG00000204387', 'ENSG00000269893', 'ENSG00000153113']",0.07178585
4.1,ann_finest_level,AT1,7937,0.44831407313598226,0.4790257104194858,0.35680987778757717,480328,3080,5105,2832,1,['ENSG00000225383'],"['ENSG00000225383', 'ENSG00000229415']",0.34778035
4.1,ann_finest_level,AT2,31248,0.7067508580808834,0.7979675652906487,0.4849910394265233,456260,3837,16093,15155,2,"['ENSG00000229415', 'ENSG00000233016']","['ENSG00000229415', 'ENSG00000233016', 'ENSG00000245694', 'ENSG00000204387', 'ENSG00000269893', 'ENSG00000177410', 'ENSG00000153113']",0.20506331
4.1,ann_finest_level,AT2 proliferating,976,0.04444864762625307,0.037279397184215746,0.19262295081967212,485514,4855,788,188,6,"['ENSG00000225383', 'ENSG00000229415', 'ENSG00000245694', 'ENSG00000233016', 'ENSG00000204387', 'ENSG00000269893']","['ENSG00000225383', 'ENSG00000229415', 'ENSG00000245694', 'ENSG00000233016', 'ENSG00000204387', 'ENSG00000269893', 'ENSG00000177410', 'ENSG00000153113']",0.10663277
4.1,ann_finest_level,EC aerocyte capillary,7157,0.3257205528943082,0.2945809933629932,0.5643426016487355,474516,9672,3118,4039,1,['ENSG00000268388'],['ENSG00000268388'],1.0
4.1,ann_finest_level,EC venous systemic,6557,0.20244893759325,0.24440993788819876,0.12002440140308068,482355,2433,5770,787,2,"['ENSG00000267107', 'ENSG00000233016']","['ENSG00000267107', 'ENSG00000233016']",0.5538321
4.1,ann_finest_level,Lymphatic EC mature,4001,0.014366988037115405,0.01162119564010922,0.2616845788552862,398297,89047,2954,1047,1,['ENSG00000153113'],['ENSG00000153113'],0.025344519
4.1,ann_finest_level,Lymphatic EC proliferating,28,0.16666666666666666,0.25,0.07142857142857142,491311,6,26,2,6,"['ENSG00000163364', 'ENSG00000232527', 'ENSG00000172965', 'ENSG00000222041', 'ENSG00000245694', 'ENSG00000153113']","['ENSG00000163364', 'ENSG00000232527', 'ENSG00000172965', 'ENSG00000222041', 'ENSG00000245694', 'ENSG00000153113', 'ENSG00000177410']",0.2879133
4.1,ann_finest_level,Lymphatic EC differentiating,566,0.00605348591107205,0.0048674959437533805,0.23851590106007067,463179,27600,431,135,1,['ENSG00000153113'],['ENSG00000153113'],0.039099902
4.1,ann_finest_level,Peribronchial fibroblasts,1573,0.08187631249852528,0.0680258772789649,0.44119516846789575,480264,9508,879,694,1,['ENSG00000214548'],['ENSG00000214548'],0.16856049
4.1,ann_finest_level,Adventitial fibroblasts,10321,0.6646923893320552,0.8223210504023719,0.37622323418273423,480185,839,6438,3883,2,"['ENSG00000232527', 'ENSG00000214548']","['ENSG00000232527', 'ENSG00000214548', 'ENSG00000260032', 'ENSG00000204387', 'ENSG00000153113', 'ENSG00000269893']",0.32380956
4.1,ann_finest_level,Alveolar fibroblasts,5182,0.020359852667096535,0.016669378604617525,0.17792358162871477,431774,54389,4260,922,1,['ENSG00000153113'],['ENSG00000153113'],0.028785173
4.1,ann_finest_level,Pericytes,3032,0.4547030275017333,0.4410198935275988,0.5191292875989446,486318,1995,1458,1574,1,['ENSG00000249669'],['ENSG00000249669'],1.0
