clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Basal resting,ENSG00000204387,0.2503100976908373,0.98823285,0.79247445166111
Basal resting,ENSG00000269893,0.27620171283213696,1.4136901,0.7276465743780136
Basal resting,ENSG00000177410,0.27543177779713207,1.7186525,0.5282876660426458
Basal resting,ENSG00000153113,0.19805641167989382,0.90687037,0.4566870252291361
Suprabasal,ENSG00000260260,0.09481670360305187,0.09610826,0.9666666666666667
Suprabasal,ENSG00000182165,0.08827430841155615,0.47988683,0.95
Suprabasal,ENSG00000224032,0.07073929140581102,0.4716671,0.9228162616491318
Suprabasal,ENSG00000242086,0.05193122532547919,0.22553402,0.9206707189480464
Suprabasal,ENSG00000244879,0.05471226336473084,0.2658605,0.9166666666666666
Suprabasal,ENSG00000261183,0.07078451009263848,0.25632396,0.9
Suprabasal,ENSG00000233016,0.06353108046824307,0.48434082,0.8681001047293345
Suprabasal,ENSG00000245694,0.09079840054514511,0.5553107,0.8542599836985271
Suprabasal,ENSG00000260032,0.05534798741385246,0.5169053,0.793602799375852
Suprabasal,ENSG00000204387,0.07660789248723963,0.6794349,0.7378098239501317
Hillock-like,ENSG00000172965,0.11114118508498443,0.20616744,0.95
Hillock-like,ENSG00000224032,0.09444878694447087,0.1602719,0.8833333333333333
Hillock-like,ENSG00000233016,0.10269367167962386,0.44565585,0.8653310477733612
Hillock-like,ENSG00000245694,0.11418353872935207,0.2908602,0.8345086405674617
Hillock-like,ENSG00000260032,0.12741670436378402,0.56108177,0.79863041639328
Hillock-like,ENSG00000269893,0.11132311043200677,0.8875414,0.602813117702802
Hillock-like,ENSG00000153113,0.1881011950418517,1.3628737,0.5672868182261784
Hillock-like,ENSG00000177410,0.15069180772392632,1.418963,0.46078444719314576
Deuterosomal,ENSG00000181123,0.08763360996556413,0.26152834,0.9833333333333333
Deuterosomal,ENSG00000258752,0.09452408042636797,0.23421253,0.9666666666666667
Deuterosomal,ENSG00000257698,0.13965558676010692,1.0622165,0.9538533101479213
Deuterosomal,ENSG00000182165,0.08973383857709825,0.5299436,0.9526193012793859
Deuterosomal,ENSG00000206573,0.08678615648676742,0.40068254,0.9454096217950185
Deuterosomal,ENSG00000253738,0.07740915108418757,0.26380223,0.9409044524033864
Deuterosomal,ENSG00000242086,0.09416280040785259,0.47050452,0.9359411537647248
Deuterosomal,ENSG00000245694,0.13012381566489548,1.2654672,0.907048319776853
Deuterosomal,ENSG00000260032,0.07764501667563033,0.30334318,0.7833333333333333
Deuterosomal,ENSG00000153113,0.12232594395152947,1.1822598,0.5185816754897435
Multiciliated (nasal),ENSG00000260057,0.05539770813653548,0.9102733,1.0
Multiciliated (nasal),ENSG00000153363,0.04073440717722834,0.5930254,1.0
Multiciliated (nasal),ENSG00000234478,0.044802105917091585,0.6728818,1.0
Multiciliated (nasal),ENSG00000226644,0.037600154700217825,0.75133157,0.9900934418042501
Multiciliated (nasal),ENSG00000258752,0.1642481196654577,2.6696768,0.9869111587603887
Multiciliated (nasal),ENSG00000145075,0.042484801769531,0.8263974,0.9833333333333333
Multiciliated (nasal),ENSG00000231621,0.07310663327440578,1.218258,0.9833333333333333
Multiciliated (nasal),ENSG00000197180,0.038072764592685875,0.8282567,0.9833333333333333
Multiciliated (nasal),ENSG00000253738,0.04067787038637768,0.7831175,0.9661100238561631
Multiciliated (nasal),ENSG00000244879,0.05135624051029826,1.0996802,0.9614554862181346
Multiciliated (non-nasal),ENSG00000197180,0.050670309418809865,1.0401857,0.9867290248473485
Multiciliated (non-nasal),ENSG00000231621,0.19494908284527704,1.4773369,0.98625614742438
Multiciliated (non-nasal),ENSG00000181123,0.0961148266546397,0.30599076,0.985755106806755
Multiciliated (non-nasal),ENSG00000145075,0.13336237876058424,0.9096968,0.9848594715197881
Multiciliated (non-nasal),ENSG00000226644,0.069035074047771,0.4465866,0.9833333333333333
Multiciliated (non-nasal),ENSG00000258752,0.271124270166686,1.8623661,0.9812373210986455
Multiciliated (non-nasal),ENSG00000257698,0.05192037077705929,0.9607856,0.9507410814364751
Multiciliated (non-nasal),ENSG00000182165,0.02314434666199833,0.49671543,0.9505646626154581
Multiciliated (non-nasal),ENSG00000244879,0.02783606738372468,0.600032,0.9308875918388366
Multiciliated (non-nasal),ENSG00000245694,0.043292689611211445,1.337312,0.9120419919490814
Club (non-nasal),ENSG00000261183,1.0,0.6292043,0.9188213835159937
Club (nasal),ENSG00000260032,0.4472600966422042,0.67576224,0.8171583016713461
Club (nasal),ENSG00000153113,0.5527399033577958,1.4075527,0.5792873511711757
Goblet (nasal),ENSG00000260032,0.4809195291963369,0.68134713,0.8181105693181355
Goblet (nasal),ENSG00000153113,0.5190804708036632,1.3218292,0.5569556524356206
Goblet (bronchial),ENSG00000230606,0.20659481247141212,0.5725851,1.0
Goblet (bronchial),ENSG00000232931,0.1759323530108991,0.43432343,1.0
Goblet (bronchial),ENSG00000260032,0.1767310945621652,0.5121362,0.7932328234116236
Goblet (bronchial),ENSG00000269893,0.19548901850164022,0.60318244,0.5459298521280289
Goblet (bronchial),ENSG00000153113,0.24525272145388324,0.9510716,0.4630873034397761
AT0,ENSG00000229807,0.13714334205994405,0.85518444,0.9888155003388722
AT0,ENSG00000225383,0.19792345101325715,1.4037077,0.9704565892616908
AT0,ENSG00000229415,0.2071419907534826,1.6867497,0.9543879012266795
AT0,ENSG00000204387,0.113293346639678,0.5563231,0.7195849895477295
AT0,ENSG00000269893,0.15537049301193223,1.1017556,0.6602281709512074
AT0,ENSG00000177410,0.18912737652170583,1.703912,0.5250719994306564
pre-TB secretory,ENSG00000225383,0.5838660336914436,0.58548486,0.951032946507136
pre-TB secretory,ENSG00000269893,0.41613396630855637,0.7836663,0.5786459664503734
Ionocyte,ENSG00000249601,0.5437942942834093,0.70165443,1.0
Ionocyte,ENSG00000242086,0.12256281513362044,1.2802746,0.9641559819380442
Ionocyte,ENSG00000253738,0.07079377481022286,0.4015047,0.9497400164604187
Ionocyte,ENSG00000260032,0.07971515136031677,0.75133157,0.832592589656512
Ionocyte,ENSG00000269893,0.07673569229259421,0.68414533,0.5600370029608409
Ionocyte,ENSG00000153113,0.10639827211983635,1.1700712,0.5153029292821885
Tuft,ENSG00000260260,0.07588312807800889,0.18818119,0.9748213013013204
Tuft,ENSG00000257588,0.09016458675494099,0.45410424,0.9666666666666667
Tuft,ENSG00000242086,0.12368877281667609,1.0063785,0.9544006705284118
Tuft,ENSG00000224032,0.09270705831083345,0.80954385,0.948074080546697
Tuft,ENSG00000206573,0.05816056966084056,0.20900409,0.9333333333333333
Tuft,ENSG00000244879,0.08289078699697211,0.5949874,0.9305842399597168
Tuft,ENSG00000233016,0.046513497565136994,0.123179436,0.85
Tuft,ENSG00000245694,0.07552637590668604,0.40747514,0.8437119166056315
Tuft,ENSG00000260032,0.06662158309747694,0.54131323,0.796145761013031
Tuft,ENSG00000204387,0.08855465904198134,0.8735018,0.7712829103072484
Neuroendocrine,ENSG00000225783,0.25499617145912185,1.8221766,1.0
Neuroendocrine,ENSG00000245750,0.07888580713442209,0.54721826,1.0
Neuroendocrine,ENSG00000235026,0.06990561165789587,0.37146896,1.0
Neuroendocrine,ENSG00000259974,0.06739898079489638,0.35147277,1.0
Neuroendocrine,ENSG00000229891,0.038621154774862644,0.5708237,1.0
Neuroendocrine,ENSG00000269293,0.019814115584131604,0.5619183,1.0
Neuroendocrine,ENSG00000166770,0.027585543547192604,0.1601702,1.0
Neuroendocrine,ENSG00000247516,0.019879800375231137,0.3812321,1.0
Neuroendocrine,ENSG00000283103,0.020121973862117403,0.37354642,1.0
Neuroendocrine,ENSG00000260260,0.034113358423217534,0.7313745,0.9935215711593628
SMG serous (nasal),ENSG00000236502,0.20324690173201626,0.3857082,1.0
SMG serous (nasal),ENSG00000257588,0.18610985628909646,0.6435901,0.9715736677249273
SMG serous (nasal),ENSG00000152931,0.30575401990920675,1.0339274,0.964484018087387
SMG serous (nasal),ENSG00000261183,0.1820692707820945,0.5158565,0.9086436281601588
SMG serous (nasal),ENSG00000224032,0.12281995128758597,0.25443882,0.8904480099678039
SMG serous (bronchial),ENSG00000236780,0.3774816399799251,0.7348021,1.0
SMG serous (bronchial),ENSG00000257764,0.3590150190359436,2.7957482,0.99461370408535
SMG serous (bronchial),ENSG00000152931,0.26350334098413125,1.2289101,0.9674747089544932
SMG mucous,ENSG00000250786,0.1545060494423317,0.8656131,1.0
SMG mucous,ENSG00000257084,0.11032071320821711,0.47805417,0.9833333333333333
SMG mucous,ENSG00000257588,0.1354823171616856,0.97380066,0.9812128841876984
SMG mucous,ENSG00000152931,0.3576665911533691,1.8086233,0.977899952729543
SMG mucous,ENSG00000261183,0.11077743036724828,0.55608165,0.911635215083758
SMG mucous,ENSG00000269893,0.1312468986671484,0.86769116,0.5981646239757538
SMG duct,ENSG00000152931,0.09777145890794268,0.13540198,0.95
SMG duct,ENSG00000253738,0.08051611980715119,0.14396554,0.9333333333333333
SMG duct,ENSG00000261183,0.11560554804433319,0.61513513,0.9169646978378296
SMG duct,ENSG00000242086,0.08289175616798959,0.17135102,0.9166666666666666
SMG duct,ENSG00000224032,0.09072300095058425,0.2562878,0.8907574067513148
SMG duct,ENSG00000245694,0.10265295628665574,0.55992424,0.8546368618806203
SMG duct,ENSG00000260032,0.10183575017821156,0.593554,0.8033762276172638
SMG duct,ENSG00000204387,0.09147000322614789,0.28272277,0.7
SMG duct,ENSG00000269893,0.11790415166732705,0.7958547,0.581450683871905
SMG duct,ENSG00000153113,0.11862925476365677,1.0431917,0.4820948888858159
AT1,ENSG00000225383,0.5884338915988246,1.3535357,0.9693614900112152
AT1,ENSG00000229415,0.41156610840117536,1.2288245,0.9463886032501857
AT2,ENSG00000229415,0.5665000506308349,1.6793287,0.9541863391796748
AT2,ENSG00000233016,0.0834992643851884,0.86253536,0.9120108038187027
AT2,ENSG00000245694,0.08424936489658486,0.71886635,0.8683517158031464
AT2,ENSG00000204387,0.046642132509691535,0.5479407,0.7183547943830491
AT2,ENSG00000269893,0.0678200014214397,0.9797021,0.6277713904778163
AT2,ENSG00000177410,0.08370671416143463,1.4249289,0.46190338134765624
AT2,ENSG00000153113,0.06758247199482598,0.8781677,0.4536371171474457
AT2 proliferating,ENSG00000225383,0.10976291164176812,0.5491984,0.95
AT2 proliferating,ENSG00000229415,0.15822569770183734,1.4417521,0.9493834028641382
AT2 proliferating,ENSG00000245694,0.14016477467233235,0.9430844,0.8838010797897975
AT2 proliferating,ENSG00000233016,0.10124199195757347,0.6058337,0.8829029977321625
AT2 proliferating,ENSG00000204387,0.10007201192227613,0.5074671,0.7133636375268301
AT2 proliferating,ENSG00000269893,0.11672043953182383,0.91515994,0.6102729479471842
AT2 proliferating,ENSG00000177410,0.14462802934965266,1.4647934,0.470355753103892
AT2 proliferating,ENSG00000153113,0.1291841432227361,0.97597253,0.46782228350639343
EC aerocyte capillary,ENSG00000268388,1.0,1.2870041,1.0
EC venous systemic,ENSG00000267107,0.6044382822688781,0.6207319,1.0
EC venous systemic,ENSG00000233016,0.3955617177311219,0.646281,0.8881453216075897
Lymphatic EC mature,ENSG00000153113,1.0,0.9503721,0.4629742632309596
Lymphatic EC proliferating,ENSG00000163364,0.14271040325121354,0.43413943,1.0
Lymphatic EC proliferating,ENSG00000232527,0.18566685131771932,0.97059184,0.9915138165156047
Lymphatic EC proliferating,ENSG00000172965,0.18340693007000297,0.9843177,0.9715273439884186
Lymphatic EC proliferating,ENSG00000222041,0.12150180602629566,0.6429941,0.9507615854342778
Lymphatic EC proliferating,ENSG00000245694,0.11572857903397457,0.2703492,0.8333333333333334
Lymphatic EC proliferating,ENSG00000153113,0.13135879919847093,1.3629975,0.5673185666402181
Lymphatic EC proliferating,ENSG00000177410,0.11962663110232317,1.4508898,0.46735654175281527
