,0
AT0,210
AT1,103
AT2,395
AT2 proliferating,1009
Adventitial fibroblasts,798
Alveolar Mph CCL3+,1710
Alveolar Mph MT-positive,253
Alveolar Mph proliferating,1717
Alveolar fibroblasts,175
Alveolar macrophages,833
B cells,52
Basal resting,132
CD4 T cells,37
CD8 T cells,28
Classical monocytes,148
Club (nasal),269
Club (non-nasal),135
DC1,582
DC2,160
Deuterosomal,849
EC aerocyte capillary,189
EC arterial,133
EC general capillary,102
EC venous pulmonary,125
EC venous systemic,96
Goblet (bronchial),426
Goblet (nasal),237
Goblet (subsegmental),79
Hematopoietic stem cells,608
Hillock-like,1639
Interstitial Mph perivascular,292
Ionocyte,511
Lymphatic EC differentiating,95
Lymphatic EC mature,99
Lymphatic EC proliferating,880
Mast cells,58
Mesothelium,581
Migratory DCs,329
Monocyte-derived Mph,422
Multiciliated (nasal),953
Multiciliated (non-nasal),452
Myofibroblasts,144
NK cells,82
Neuroendocrine,2192
Non-classical monocytes,243
Peribronchial fibroblasts,104
Pericytes,129
Plasma cells,91
Plasmacytoid DCs,105
SM activated stress response,668
SMG duct,1155
SMG mucous,232
SMG serous (bronchial),59
SMG serous (nasal),191
Smooth muscle,96
Smooth muscle FAM83D+,93
Subpleural fibroblasts,846
Suprabasal,1298
T cells proliferating,958
Tuft,1105
pre-TB secretory,118
