clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Basal resting,ENSG00000171462,0.061979344708507106,0.7332059,1.0
Basal resting,ENSG00000171346,0.1579157453389597,3.5138972,0.9885651270548502
Basal resting,ENSG00000072210,0.013013132453006775,1.016587,0.986803850531578
Basal resting,ENSG00000196878,0.015129750156883238,1.1557848,0.9799943298101426
Basal resting,ENSG00000128422,0.08269930383922029,3.5143676,0.9679182787736257
Basal resting,ENSG00000186081,0.03644887693690921,2.2917428,0.9666666666666667
Basal resting,ENSG00000196344,0.015712567538722653,1.3185108,0.9606818089882533
Basal resting,ENSG00000196754,0.049271914293661005,3.0256717,0.9515435407559077
Basal resting,ENSG00000187244,0.06229890576255623,2.2221413,0.9154155552387238
Basal resting,ENSG00000151914,0.01835964027661252,1.6211128,0.86171126862367
Suprabasal,ENSG00000197641,0.019945178436597724,0.5306921,0.9833333333333333
Suprabasal,ENSG00000205420,0.013577662132006445,0.61625004,0.9833333333333333
Suprabasal,ENSG00000206075,0.010469010274134792,0.5306488,0.9833333333333333
Suprabasal,ENSG00000041982,0.010436130543956548,0.52668697,0.9833333333333333
Suprabasal,ENSG00000206073,0.025978343885334314,1.285285,0.9735748360554377
Suprabasal,ENSG00000171346,0.01057106864794228,1.422058,0.9717444956302643
Suprabasal,ENSG00000186081,0.02437992716923772,2.431736,0.96762615442276
Suprabasal,ENSG00000128422,0.011958645033168928,2.6354485,0.962777375181516
Suprabasal,ENSG00000137975,0.01974723460739142,0.5239692,0.9579611261685689
Suprabasal,ENSG00000196754,0.024937592141981532,3.3306322,0.9544542868932088
Hillock-like,ENSG00000186847,0.044931981466583684,3.44244,1.0
Hillock-like,ENSG00000186832,0.016179821714210566,0.5119374,1.0
Hillock-like,ENSG00000134757,0.010728185296026819,0.71699697,1.0
Hillock-like,ENSG00000171401,0.009933426741933834,1.5016687,1.0
Hillock-like,ENSG00000134762,0.007862292009573361,0.7083751,1.0
Hillock-like,ENSG00000205420,0.0527758429256065,3.750652,0.9972615867853165
Hillock-like,ENSG00000186081,0.012171912542743947,3.4010315,0.9768527150154114
Hillock-like,ENSG00000175793,0.012106164767774095,2.542928,0.9720558027426401
Hillock-like,ENSG00000196754,0.04570556704106876,5.0287642,0.9698343356450398
Hillock-like,ENSG00000128422,0.010063848347847997,3.5484097,0.9682260582844416
Deuterosomal,ENSG00000164287,0.09270606027711914,2.3774843,1.0
Deuterosomal,ENSG00000142731,0.022165070054470902,0.3203507,1.0
Deuterosomal,ENSG00000165325,0.02241581100148506,0.92263675,1.0
Deuterosomal,ENSG00000165891,0.01868398859621916,0.27383673,1.0
Deuterosomal,ENSG00000178202,0.012379845805095727,0.6857798,1.0
Deuterosomal,ENSG00000058056,0.01290074273293422,0.310592,1.0
Deuterosomal,ENSG00000148019,0.012429889698121378,1.2070931,1.0
Deuterosomal,ENSG00000152669,0.07802398476713297,2.8347206,0.9956319560607274
Deuterosomal,ENSG00000163923,0.00994814459294257,0.6907568,0.9955435246229172
Deuterosomal,ENSG00000117399,0.021806003211025465,0.3279764,0.9833333333333333
Multiciliated (nasal),ENSG00000227877,0.01686832277452258,1.0688559,1.0
Multiciliated (nasal),ENSG00000007933,0.016192289021555978,0.67124057,1.0
Multiciliated (nasal),ENSG00000156968,0.013739397205446157,0.42011636,1.0
Multiciliated (nasal),ENSG00000147202,0.011179797420138839,1.0712471,1.0
Multiciliated (nasal),ENSG00000126861,0.015540108002169812,2.6009552,0.9895493606726329
Multiciliated (nasal),ENSG00000007062,0.011693891690010753,1.7584375,0.983692713578542
Multiciliated (nasal),ENSG00000138175,0.010355097996729868,1.8829856,0.9716473201910655
Multiciliated (nasal),ENSG00000166959,0.014026674481359079,0.7223768,0.9666666666666667
Multiciliated (nasal),ENSG00000197353,0.018657586738031924,1.1750371,0.9666666666666667
Multiciliated (nasal),ENSG00000167653,0.02009027310346652,2.9973063,0.9613054821888606
Multiciliated (non-nasal),ENSG00000160401,0.023665968679686178,1.5175002,0.9903228650490443
Multiciliated (non-nasal),ENSG00000185681,0.02065586940082759,1.7797261,0.9865630934635798
Multiciliated (non-nasal),ENSG00000162004,0.02493757521571357,1.8059233,0.9865027238925298
Multiciliated (non-nasal),ENSG00000188817,0.024006379707227344,2.208216,0.9833333333333333
Multiciliated (non-nasal),ENSG00000168589,0.025468048397424104,2.0703678,0.9812596569458644
Multiciliated (non-nasal),ENSG00000179902,0.0273351519157436,2.6323605,0.9771696339050929
Multiciliated (non-nasal),ENSG00000166959,0.026025413514832646,1.8291001,0.9767510732014973
Multiciliated (non-nasal),ENSG00000164972,0.0321164594317698,3.0521736,0.974293961127599
Multiciliated (non-nasal),ENSG00000160188,0.03550126886503617,2.6529143,0.9741240968306859
Multiciliated (non-nasal),ENSG00000186973,0.0360954276725722,2.6514962,0.973122697075208
Club (non-nasal),ENSG00000124875,0.023426680454019237,0.80370694,1.0
Club (non-nasal),ENSG00000197446,0.030196229919283113,1.5634623,0.9758978337049484
Club (non-nasal),ENSG00000137975,0.018539644572288946,0.27368608,0.95
Club (non-nasal),ENSG00000149021,0.11792742493248247,7.540132,0.9421070724725723
Club (non-nasal),ENSG00000127324,0.032598348321547184,1.9037209,0.9402722458044688
Club (non-nasal),ENSG00000117983,0.02863282678772104,1.1371105,0.9393405636151632
Club (non-nasal),ENSG00000263639,0.01830818818969837,3.8043432,0.931865452726682
Club (non-nasal),ENSG00000153446,0.015037389250510973,0.59710974,0.9166666666666666
Club (non-nasal),ENSG00000198959,0.017677428790129835,1.1468396,0.9158906737963358
Club (non-nasal),ENSG00000167757,0.015866304372986945,1.4391614,0.9155016521612803
Club (nasal),ENSG00000162174,0.018135434206564913,1.0637045,0.9818117161591847
Club (nasal),ENSG00000197353,0.03997512755409391,2.290946,0.974784920612971
Club (nasal),ENSG00000115112,0.020915550682051406,0.8937391,0.9651352783044179
Club (nasal),ENSG00000167653,0.021555026947159123,2.863281,0.9602743953466415
Club (nasal),ENSG00000111907,0.018125034162212072,0.7742234,0.9524318367242813
Club (nasal),ENSG00000108602,0.023938386304036885,2.9228053,0.9393600523471832
Club (nasal),ENSG00000057149,0.027348489767933526,3.4983904,0.9316801697015762
Club (nasal),ENSG00000182853,0.014892299925778526,1.9524529,0.8998366753260295
Club (nasal),ENSG00000110492,0.019709945599716013,2.0598662,0.8642750044663747
Club (nasal),ENSG00000148346,0.016854334257707607,1.9853241,0.8523804406325023
Goblet (nasal),ENSG00000105388,0.051447063525960145,1.9839256,1.0
Goblet (nasal),ENSG00000180155,0.04164806204617453,2.176435,1.0
Goblet (nasal),ENSG00000197353,0.11311709824750463,4.473909,0.9870881627003352
Goblet (nasal),ENSG00000121039,0.016716629265567818,1.5827801,0.9837819298108419
Goblet (nasal),ENSG00000124102,0.036130366758661596,2.3298538,0.9806922644376754
Goblet (nasal),ENSG00000215182,0.05934234808430203,2.8060703,0.9780562937259674
Goblet (nasal),ENSG00000198183,0.025437627606477713,1.6870484,0.9666666666666667
Goblet (nasal),ENSG00000167653,0.026504336188420168,3.297379,0.9648268143335978
Goblet (nasal),ENSG00000181143,0.017345200643114927,1.6854951,0.9617611914873123
Goblet (nasal),ENSG00000163993,0.021938206803056432,2.8551192,0.9439768145481745
Goblet (bronchial),ENSG00000091137,0.013438815544463568,0.5580564,1.0
Goblet (bronchial),ENSG00000079841,0.010570179391479743,0.79681766,1.0
Goblet (bronchial),ENSG00000197943,0.05885866298454747,1.4799539,0.9910423348347346
Goblet (bronchial),ENSG00000174501,0.04292990533382227,2.6488256,0.9850707570711772
Goblet (bronchial),ENSG00000134339,0.01594114143889701,2.0629435,0.9780448695023854
Goblet (bronchial),ENSG00000215182,0.01176288112491307,2.6627436,0.9768751362959543
Goblet (bronchial),ENSG00000173432,0.013383127097203067,2.6831388,0.9753268341223399
Goblet (bronchial),ENSG00000117983,0.0852066561414532,3.3803594,0.9634755333264668
Goblet (bronchial),ENSG00000149021,0.02308479468468447,6.1667147,0.9365476588408153
Goblet (bronchial),ENSG00000118849,0.01787697747091504,2.7934232,0.9251297374566396
Goblet (subsegmental),ENSG00000137975,0.016425785658543742,1.0963511,0.9752295523881912
