clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Basal resting,ENSG00000171462,0.05815444719640503,0.7332059,1.0
Basal resting,ENSG00000171346,0.16318838761741794,3.5138972,0.9885651270548502
Basal resting,ENSG00000072210,0.013233538008889927,1.016587,0.986803850531578
Basal resting,ENSG00000196878,0.01496904107578581,1.1557848,0.9799943298101426
Basal resting,ENSG00000128422,0.08327826995897288,3.5143676,0.9679182787736257
Basal resting,ENSG00000186081,0.03074505876583229,2.2917428,0.9666666666666667
Basal resting,ENSG00000196344,0.0159125378164174,1.3185108,0.9606818089882533
Basal resting,ENSG00000196754,0.04669630420392648,3.0256717,0.9515435407559077
Basal resting,ENSG00000187244,0.05902020740482441,2.2221413,0.9154155552387238
Basal resting,ENSG00000151914,0.017958701292730708,1.6211128,0.86171126862367
Suprabasal,ENSG00000197641,0.01898225198511583,0.5306921,0.9833333333333333
Suprabasal,ENSG00000041982,0.009836408027408554,0.52668697,0.9833333333333333
Suprabasal,ENSG00000205420,0.012318000590712447,0.61625004,0.9833333333333333
Suprabasal,ENSG00000206073,0.0237513729137646,1.285285,0.9735748360554377
Suprabasal,ENSG00000171346,0.009693579300419607,1.422058,0.9717444956302643
Suprabasal,ENSG00000186081,0.022260273218223197,2.431736,0.96762615442276
Suprabasal,ENSG00000128422,0.013184509709046907,2.6354485,0.962777375181516
Suprabasal,ENSG00000137975,0.01864573267812457,0.5239692,0.9579611261685689
Suprabasal,ENSG00000196754,0.025267038446516375,3.3306322,0.9544542868932088
Suprabasal,ENSG00000057149,0.0137343583314081,3.1178083,0.9233405609925588
Hillock-like,ENSG00000186847,0.04484698545805074,3.44244,1.0
Hillock-like,ENSG00000186832,0.01672655443248038,0.5119374,1.0
Hillock-like,ENSG00000134757,0.011981847145408349,0.71699697,1.0
Hillock-like,ENSG00000171401,0.008778796780182747,1.5016687,1.0
Hillock-like,ENSG00000134762,0.008106802907846043,0.7083751,1.0
Hillock-like,ENSG00000205420,0.04762295120017822,3.750652,0.9972615867853165
Hillock-like,ENSG00000186081,0.012513046487179685,3.4010315,0.9768527150154114
Hillock-like,ENSG00000175793,0.013113449847298522,2.542928,0.9720558027426401
Hillock-like,ENSG00000196754,0.049662637609724024,5.0287642,0.9698343356450398
Hillock-like,ENSG00000128422,0.00976228000735882,3.5484097,0.9682260582844416
Deuterosomal,ENSG00000164287,0.09312549088576098,2.3774843,1.0
Deuterosomal,ENSG00000142731,0.01972827747702215,0.3203507,1.0
Deuterosomal,ENSG00000165325,0.02109355861288367,0.92263675,1.0
Deuterosomal,ENSG00000165891,0.01859187442061679,0.27383673,1.0
Deuterosomal,ENSG00000058056,0.010419898374316255,0.310592,1.0
Deuterosomal,ENSG00000178202,0.01255824154625169,0.6857798,1.0
Deuterosomal,ENSG00000148019,0.011594372227555633,1.2070931,1.0
Deuterosomal,ENSG00000152669,0.07758406426024368,2.8347206,0.9956319560607274
Deuterosomal,ENSG00000163923,0.00957637344446262,0.6907568,0.9955435246229172
Deuterosomal,ENSG00000117399,0.02348703892437416,0.3279764,0.9833333333333333
Multiciliated (nasal),ENSG00000007933,0.01584257305973196,0.67124057,1.0
Multiciliated (nasal),ENSG00000227877,0.015637776082862275,1.0688559,1.0
Multiciliated (nasal),ENSG00000147202,0.012164784664349573,1.0712471,1.0
Multiciliated (nasal),ENSG00000156968,0.012439949017299428,0.42011636,1.0
Multiciliated (nasal),ENSG00000126861,0.01419069495084322,2.6009552,0.9895493606726329
Multiciliated (nasal),ENSG00000258752,0.013866658604083263,2.6696768,0.9869111587603887
Multiciliated (nasal),ENSG00000007062,0.011834247038825163,1.7584375,0.983692713578542
Multiciliated (nasal),ENSG00000138175,0.009988817936522535,1.8829856,0.9716473201910655
Multiciliated (nasal),ENSG00000166959,0.013164907958422194,0.7223768,0.9666666666666667
Multiciliated (nasal),ENSG00000197353,0.019044999744534725,1.1750371,0.9666666666666667
Multiciliated (non-nasal),ENSG00000160401,0.02341679548610991,1.5175002,0.9903228650490443
Multiciliated (non-nasal),ENSG00000188817,0.024140690029128893,2.208216,0.9833333333333333
Multiciliated (non-nasal),ENSG00000168589,0.031686619664418936,2.0703678,0.9812596569458644
Multiciliated (non-nasal),ENSG00000179902,0.028020248342262702,2.6323605,0.9771696339050929
Multiciliated (non-nasal),ENSG00000166959,0.02210228643998758,1.8291001,0.9767510732014973
Multiciliated (non-nasal),ENSG00000152611,0.01921619798595941,2.084815,0.9760108530521393
Multiciliated (non-nasal),ENSG00000174844,0.02385150244103492,1.721444,0.9755514552195866
Multiciliated (non-nasal),ENSG00000164972,0.026986574738651545,3.0521736,0.974293961127599
Multiciliated (non-nasal),ENSG00000160188,0.032582329856556,2.6529143,0.9741240968306859
Multiciliated (non-nasal),ENSG00000186973,0.03913146399540141,2.6514962,0.973122697075208
Club (non-nasal),ENSG00000124875,0.022568064987110736,0.80370694,1.0
Club (non-nasal),ENSG00000197446,0.029015182873541587,1.5634623,0.9758978337049484
Club (non-nasal),ENSG00000137975,0.018052475801675228,0.27368608,0.95
Club (non-nasal),ENSG00000149021,0.12400075652071431,7.540132,0.9421070724725723
Club (non-nasal),ENSG00000127324,0.03588256839169285,1.9037209,0.9402722458044688
Club (non-nasal),ENSG00000117983,0.02834558074036145,1.1371105,0.9393405636151632
Club (non-nasal),ENSG00000263639,0.019210427566566463,3.8043432,0.931865452726682
Club (non-nasal),ENSG00000153446,0.01459349908242573,0.59710974,0.9166666666666666
Club (non-nasal),ENSG00000198959,0.017123139980445904,1.1468396,0.9158906737963358
Club (non-nasal),ENSG00000167757,0.015436898717241238,1.4391614,0.9155016521612803
Club (nasal),ENSG00000173610,0.016662767714152656,0.8723384,1.0
Club (nasal),ENSG00000162174,0.01999515904881548,1.0637045,0.9818117161591847
Club (nasal),ENSG00000197353,0.040426550375598634,2.290946,0.974784920612971
Club (nasal),ENSG00000115112,0.02027207855347228,0.8937391,0.9651352783044179
Club (nasal),ENSG00000167653,0.021530535461293007,2.863281,0.9602743953466415
Club (nasal),ENSG00000111907,0.017578561475820435,0.7742234,0.9524318367242813
Club (nasal),ENSG00000108602,0.023693328035763187,2.9228053,0.9393600523471832
Club (nasal),ENSG00000057149,0.029066386764053362,3.4983904,0.9316801697015762
Club (nasal),ENSG00000110492,0.01720185091229137,2.0598662,0.8642750044663747
Club (nasal),ENSG00000148346,0.016963217437132114,1.9853241,0.8523804406325023
Goblet (nasal),ENSG00000105388,0.05762420385517348,1.9839256,1.0
Goblet (nasal),ENSG00000180155,0.03797084457807838,2.176435,1.0
Goblet (nasal),ENSG00000197353,0.1016104651377715,4.473909,0.9870881627003352
Goblet (nasal),ENSG00000121039,0.020061851643698777,1.5827801,0.9837819298108419
Goblet (nasal),ENSG00000124102,0.04483242957682462,2.3298538,0.9806922644376754
Goblet (nasal),ENSG00000215182,0.05861150273890602,2.8060703,0.9780562937259674
Goblet (nasal),ENSG00000198183,0.020559995733457136,1.6870484,0.9666666666666667
Goblet (nasal),ENSG00000167653,0.027433166099443265,3.297379,0.9648268143335978
Goblet (nasal),ENSG00000181143,0.01825339552330437,1.6854951,0.9617611914873123
Goblet (nasal),ENSG00000163993,0.022413580863319606,2.8551192,0.9439768145481745
Goblet (bronchial),ENSG00000091137,0.013826632759353233,0.5580564,1.0
Goblet (bronchial),ENSG00000079841,0.009756687121712895,0.79681766,1.0
Goblet (bronchial),ENSG00000197943,0.052871416039705854,1.4799539,0.9910423348347346
Goblet (bronchial),ENSG00000174501,0.042474724793581324,2.6488256,0.9850707570711772
Goblet (bronchial),ENSG00000134339,0.014991449660972647,2.0629435,0.9780448695023854
Goblet (bronchial),ENSG00000215182,0.011972250281817198,2.6627436,0.9768751362959543
Goblet (bronchial),ENSG00000173432,0.014521629809877253,2.6831388,0.9753268341223399
Goblet (bronchial),ENSG00000117983,0.08303361252649269,3.3803594,0.9634755333264668
Goblet (bronchial),ENSG00000149021,0.0254858321342397,6.1667147,0.9365476588408153
Goblet (bronchial),ENSG00000118849,0.017502873772494404,2.7934232,0.9251297374566396
Goblet (subsegmental),ENSG00000137975,0.016425785658543742,1.0963511,0.9752295523881912
Goblet (subsegmental),ENSG00000117983,0.02352788082964838,2.1632223,0.9523025413354238
Goblet (subsegmental),ENSG00000012223,0.015640626291062627,0.6581359,0.95
Goblet (subsegmental),ENSG00000149021,0.13574201278914394,8.283966,0.9473053932189941
Goblet (subsegmental),ENSG00000263639,0.023236731455944185,4.97153,0.9439487814903259
Goblet (subsegmental),ENSG00000161055,0.04851519761058935,7.632537,0.9160120377937953
Goblet (subsegmental),ENSG00000125999,0.02639503888887116,5.1107597,0.906299443046252
Goblet (subsegmental),ENSG00000160180,0.02315265728230993,3.8138957,0.8875259786844254
Goblet (subsegmental),ENSG00000125730,0.020096618240255434,1.5549452,0.8650461385647455
Goblet (subsegmental),ENSG00000189377,0.019706601259016552,2.8903892,0.8390856514374415
AT0,ENSG00000025423,0.025652263928812678,1.4518654,0.9924715409676234
AT0,ENSG00000229807,0.011005859882264303,0.85518444,0.9888155003388722
AT0,ENSG00000164265,0.05586931954181131,4.9072943,0.9793779224157333
AT0,ENSG00000131400,0.013456369730326627,1.373924,0.95
AT0,ENSG00000153446,0.01102915301240587,1.5860934,0.9474001010258992
AT0,ENSG00000198189,0.017349959266449656,1.4849008,0.9427871257066727
AT0,ENSG00000173467,0.012143459265134035,2.0036979,0.9378115882476171
AT0,ENSG00000013588,0.012443248470224945,2.1289032,0.9361959775288899
AT0,ENSG00000168484,0.019550870388450877,2.678502,0.8957891871531805
AT0,ENSG00000213853,0.011343991486509457,2.0286891,0.8098692576090495
pre-TB secretory,ENSG00000129451,0.013877042553349143,0.45019498,1.0
pre-TB secretory,ENSG00000181458,0.03575061937269594,0.9488661,0.9890734891096751
pre-TB secretory,ENSG00000164265,0.11662036913520549,4.6931853,0.9784371167421341
pre-TB secretory,ENSG00000225383,0.017308949697506584,0.58548486,0.951032946507136
pre-TB secretory,ENSG00000149021,0.07166638549116079,7.5069675,0.9419249405463537
pre-TB secretory,ENSG00000168878,0.06538346192354783,4.1218967,0.9303211142619451
pre-TB secretory,ENSG00000167757,0.02468727623994667,1.5172083,0.9181336383024852
pre-TB secretory,ENSG00000161055,0.06027857457422076,6.9352837,0.90779021581014
pre-TB secretory,ENSG00000110195,0.015249894218162597,1.7660487,0.9020281463861466
pre-TB secretory,ENSG00000168484,0.023812992046157742,1.0840279,0.8273743331432343
Ionocyte,ENSG00000176009,0.08047856592665732,2.1255317,1.0
Ionocyte,ENSG00000168269,0.06751073901911622,1.5347866,1.0
Ionocyte,ENSG00000162399,0.06156284580178489,1.1581016,1.0
Ionocyte,ENSG00000184908,0.0591567346050888,1.6262885,1.0
