clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
AT0,0.05652975351527958,0.25168650793650793,0.05484217883286433,0.06338145
AT1,0.46033035717531035,0.38734844593481355,0.38934624630369,0.21574245
AT2,0.6394833742292938,0.42425328554360814,0.5601839274091,0.2522345
AT2 proliferating,0.14741282640124648,0.13579234972677595,0.1275234503248139,0.15934378
Adventitial fibroblasts,0.7198990697788671,0.3544036430578432,0.5890945528548517,0.21378697
Alveolar Mph CCL3+,0.45451435897133163,0.26866707997520145,0.3958291203681148,0.38665473
Alveolar Mph MT-positive,0.07590295637768481,0.2850611566322289,0.07695686848620584,0.11628522
Alveolar Mph proliferating,0.3139641793069137,0.2160226201696513,0.2588528555262074,0.37014773
Alveolar fibroblasts,0.3231694336051456,0.29811986546837954,0.2655726771831372,0.18553977
Alveolar macrophages,0.5170830776198906,0.4010774022870797,0.4802811829489358,0.15609702
B cells,0.07665662560723206,0.41875415650631787,0.07619087215701467,0.16194426
Basal resting,0.322402617901484,0.3071641918416112,0.28563450331475077,0.17450081
CD4 T cells,0.20740271462393006,0.395751535286419,0.21646965348192415,0.16019161
CD8 T cells,0.33135188152406236,0.5463931118295843,0.3551355245246975,0.18030138
Classical monocytes,0.22155761317642192,0.33238202882170104,0.22132093950206683,0.10136472
Club (nasal),0.2986440700716802,0.2755792542580942,0.28701364696748066,0.08455885
Club (non-nasal),0.12629513114238053,0.5123053741838272,0.14120013813832702,0.11144674
DC1,0.2663289952827799,0.22008281573498964,0.22116203103319934,0.16763425
DC2,0.1308013422733122,0.36031971969779925,0.13434838070200789,0.071595386
Deuterosomal,0.29692441589721214,0.1347277556440903,0.20927399383595013,0.25168768
EC aerocyte capillary,0.4144387624497043,0.34047585780155293,0.3650025023599342,0.27651447
EC arterial,0.21043449093158081,0.2876761312020411,0.20090498276115865,0.13745283
EC general capillary,0.3409146850538868,0.4610064038653271,0.3414020233674279,0.18223271
EC venous pulmonary,0.23287150197563714,0.35895438310520894,0.2105807504463744,0.15024018
EC venous systemic,0.18411501148461074,0.36599331734301993,0.17750301964036105,0.19005875
Goblet (bronchial),0.09876996905353366,0.23796407185628743,0.08384201611024468,0.17443117
Goblet (nasal),0.4437206295727662,0.41460146782727425,0.41850427276751734,0.25134325
Goblet (subsegmental),0.017389606868590327,0.6031179564237416,0.02134597571996279,0.0798875
Hematopoietic stem cells,0.026821093907915525,0.13555555555555554,0.027533513306388202,0.10178136
Hillock-like,0.18404092484289053,0.2724782608695652,0.19436200557237562,0.40486696
Interstitial Mph perivascular,0.1471846319678079,0.18834547346514047,0.14602207608576945,0.193335
Ionocyte,0.5144140080401517,0.1423648247177659,0.312721684571703,0.2741558
Lymphatic EC differentiating,0.18082601514088023,0.23239104829210835,0.15873769211636932,0.37781116
Lymphatic EC mature,0.32259565187829015,0.3768673216311307,0.29011739355714317,0.15287322
Lymphatic EC proliferating,0.37318000611699403,0.10476190476190476,0.18231461771790247,0.23893595
Mast cells,0.31316406855468215,0.4862180616370561,0.2900070501393772,0.2663926
Mesothelium,0.19094079765409352,0.1655072463768116,0.09165337055837959,0.17888127
Migratory DCs,0.27097983657144026,0.13824786324786326,0.16868571339578237,0.22098435
Monocyte-derived Mph,0.29471222351517457,0.33163495494218664,0.29804110078791785,0.09721751
Multiciliated (nasal),0.30152322474524423,0.297186280550421,0.2806642950142745,0.5616815
Multiciliated (non-nasal),0.7830363820921974,0.5369815668202765,0.7041452696613418,0.3896393
Myofibroblasts,0.16888866849938494,0.20909816440542697,0.10443237207775725,0.1084602
NK cells,0.3410746764389583,0.5145696569892588,0.3420589984018184,0.3130926
Neuroendocrine,0.8381096125991306,0.3454926624737945,0.6367839642574804,0.94480485
Non-classical monocytes,0.19715225888233248,0.2552260206776847,0.1887299175290043,0.11830938
Peribronchial fibroblasts,0.2156897907358066,0.29216995126086037,0.1872701461404771,0.15818694
Pericytes,0.4475544161034305,0.3997107773492998,0.36104058382761745,0.3827706
Plasma cells,0.1042553751630567,0.4570066143670205,0.0933483411058977,0.22839203
Plasmacytoid DCs,0.19719223643534137,0.22414361001317526,0.15599105314214437,0.15587305
SM activated stress response,0.44204725357289043,0.19352517985611511,0.33262876229060384,0.35932794
SMG duct,0.09206022187708893,0.21135531135531135,0.08664259744110722,0.10611804
SMG mucous,0.45637024306999174,0.3333333333333333,0.36732525904904484,0.3837652
SMG serous (bronchial),0.14872497631806883,0.49428369795342275,0.13849778925899753,0.1544538
SMG serous (nasal),0.20303983618524815,0.4760137959866221,0.19977066439649024,0.21621524
Smooth muscle,0.3091097583607832,0.3692256341789052,0.3005787066345286,0.13121617
Smooth muscle FAM83D+,0.20430880202397644,0.35902306648575305,0.19719920288489579,0.26432154
Subpleural fibroblasts,0.16545220215037607,0.1753623188405797,0.1420069766069534,0.14650713
Suprabasal,0.5258245555580278,0.3062681344939409,0.45824786652412797,0.21622482
T cells proliferating,0.3797737080416044,0.13013333333333332,0.26830286246889196,0.30081975
Tuft,0.17145767601209608,0.1486868686868687,0.08846607493847045,0.30230254
pre-TB secretory,0.10002726504534289,0.49382133914344245,0.10127642517153543,0.06902573
