software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,ann_finest_level,Basal resting,31248,0.43170835702103466,0.6212926978932297,0.19441244239631336,456394,3703,25173,6075,2,"['ENSG00000196344', 'ENSG00000100353']","['ENSG00000196344', 'ENSG00000108602', 'ENSG00000100353', 'ENSG00000250479']",0.18836789,fold_1
4.1,ann_finest_level,Suprabasal,31248,0.457105719237435,0.5396419437340153,0.28360215053763443,452537,7560,22386,8862,4,"['ENSG00000196344', 'ENSG00000183844', 'ENSG00000168938', 'ENSG00000186298']","['ENSG00000196344', 'ENSG00000183844', 'ENSG00000108602', 'ENSG00000168938', 'ENSG00000186298', 'ENSG00000088205', 'ENSG00000130706', 'ENSG00000135624', 'ENSG00000141753', 'ENSG00000100353']",0.09193019,fold_1
4.1,ann_finest_level,Hillock-like,4600,0.19042831759094736,0.17070103740961962,0.3541304347826087,478831,7914,2971,1629,4,"['ENSG00000198074', 'ENSG00000134375', 'ENSG00000163110', 'ENSG00000130706']","['ENSG00000198074', 'ENSG00000134375', 'ENSG00000196344', 'ENSG00000108602', 'ENSG00000163110', 'ENSG00000130706', 'ENSG00000175203', 'ENSG00000088205', 'ENSG00000171314', 'ENSG00000135624']",0.22850785,fold_1
4.1,ann_finest_level,Deuterosomal,1004,0.2849264705882353,0.4232081911262799,0.12350597609561753,490172,169,880,124,4,"['ENSG00000204852', 'ENSG00000214022', 'ENSG00000184709', 'ENSG00000135624']","['ENSG00000106628', 'ENSG00000204852', 'ENSG00000214022', 'ENSG00000184709', 'ENSG00000135624', 'ENSG00000088205', 'ENSG00000130706', 'ENSG00000232388', 'ENSG00000145912', 'ENSG00000100353']",0.2117987,fold_1
4.1,ann_finest_level,Multiciliated (nasal),4869,0.4093216954760682,0.45339652448657186,0.29472170876976794,484746,1730,3434,1435,4,"['ENSG00000130413', 'ENSG00000196344', 'ENSG00000108602', 'ENSG00000002549']","['ENSG00000197580', 'ENSG00000130413', 'ENSG00000204852', 'ENSG00000196344', 'ENSG00000108602', 'ENSG00000002549', 'ENSG00000130706', 'ENSG00000232388', 'ENSG00000145912', 'ENSG00000100353']",0.22059472,fold_1
4.1,ann_finest_level,Multiciliated (non-nasal),31248,0.6773295828595368,0.7071780051550418,0.5794930875576036,452599,7498,13140,18108,1,['ENSG00000130413'],"['ENSG00000130413', 'ENSG00000204852', 'ENSG00000183828', 'ENSG00000108602', 'ENSG00000232388']",0.54529303,fold_1
4.1,ann_finest_level,Club (non-nasal),9955,0.29283301873217144,0.2558234119648007,0.6950276243093922,461263,20127,3036,6919,1,['ENSG00000127324'],['ENSG00000127324'],0.19543599,fold_1
4.1,ann_finest_level,Club (nasal),26068,0.3606529744307868,0.4358351613914134,0.2134034064753721,458076,7201,20505,5563,3,"['ENSG00000108602', 'ENSG00000250479', 'ENSG00000116171']","['ENSG00000108602', 'ENSG00000250479', 'ENSG00000145912', 'ENSG00000116171']",0.0539149,fold_1
4.1,ann_finest_level,Goblet (nasal),31248,0.29623837612040554,0.25815745546841057,0.7226062467997952,395211,64886,8668,22580,1,['ENSG00000108602'],"['ENSG00000196344', 'ENSG00000108602']",0.19487204,fold_1
4.1,ann_finest_level,Goblet (bronchial),1670,0.09214326978625072,0.08158567774936061,0.19101796407185628,486084,3591,1351,319,4,"['ENSG00000079841', 'ENSG00000127324', 'ENSG00000171988', 'ENSG00000250479']","['ENSG00000079841', 'ENSG00000127324', 'ENSG00000171988', 'ENSG00000250479']",0.08643967,fold_1
4.1,ann_finest_level,Goblet (subsegmental),968,0.05362559583995378,0.04366362834460453,0.6136363636363636,477367,13010,374,594,1,['ENSG00000127324'],['ENSG00000127324'],0.23126604,fold_1
4.1,ann_finest_level,AT0,1440,0.007840772014475271,0.006309148264984227,0.2708333333333333,428480,61425,1050,390,2,"['ENSG00000125970', 'ENSG00000250479']","['ENSG00000125970', 'ENSG00000250479']",0.02944367,fold_1
