,0
Astro L1 FGFR3 SERPINI2,5
Astro L1-6 FGFR3 AQP1,3
Astro L1-6 FGFR3 PLCG1,2
Endo L2-5 NOSTRIN SRGN,3
Exc L2 LAMP5 KCNG3,16
Exc L2 LINC00507 ATP7B,17
Exc L2 LINC00507 GLRA3,17
Exc L2-3 LINC00507 DSG3,36
Exc L2-3 RORB CCDC68,27
Exc L2-3 RORB PTPN3,14
Exc L2-3 RORB RTKN2,32
Exc L3 LAMP5 CARM1P1,39
Exc L3 RORB OTOGL,17
Exc L3 THEMIS ENPEP,34
Exc L3-5 FEZF2 ASGR2,54
Exc L3-5 FEZF2 LINC01107,82
Exc L3-5 RORB LAMA4,18
Exc L3-5 RORB LINC01202,14
Exc L3-5 RORB LNX2,28
Exc L3-5 RORB RPRM,19
Exc L3-5 RORB TNNT2,35
Exc L5 FEZF2 CSN1S1,66
Exc L5 FEZF2 NREP-AS1,45
Exc L5 FEZF2 PKD2L1,33
Exc L5 FEZF2 RNF144A-AS1,30
Exc L5 RORB MED8,17
Exc L5 THEMIS FGF10,37
Exc L5 THEMIS LINC01116,77
Exc L5 THEMIS RGPD6,41
Exc L5 THEMIS SLC22A18,79
Exc L5 THEMIS VILL,31
Exc L5-6 FEZF2 C9orf135-AS1,24
Exc L5-6 FEZF2 CFTR,33
Exc L5-6 FEZF2 FILIP1L,43
Exc L5-6 FEZF2 IFNG-AS1,23
Exc L5-6 FEZF2 LPO,50
Exc L5-6 FEZF2 OR1L8,54
Exc L5-6 FEZF2 SH2D1B,40
Exc L5-6 THEMIS SMYD1,35
Exc L5-6 THEMIS TNFAIP6,26
Exc L6 FEZF2 FFAR4,37
Exc L6 FEZF2 KLK7,43
Exc L6 FEZF2 PDYN,53
Exc L6 FEZF2 POGK,40
Exc L6 FEZF2 PROKR2,41
Exc L6 THEMIS LINC00343,29
Exc L6 THEMIS SLN,37
Exc L6 THEMIS SNTG2,36
Inh L1 LAMP5 BMP2,14
Inh L1 LAMP5 NMBR,15
Inh L1 LAMP5 PVRL2,13
Inh L1 LAMP5 RAB11FIP1,14
Inh L1 PAX6 CHRFAM7A,6
Inh L1 PAX6 MIR101-1,16
Inh L1 PVALB SST ASIC4,10
Inh L1 SST DEFB108B,10
Inh L1 SST P4HA3,19
Inh L1 VIP KLHDC8B,17
Inh L1-2 PVALB CDK20,15
Inh L1-2 SST CCNJL,3
Inh L1-2 SST CLIC6,5
Inh L1-2 SST PRRT4,4
Inh L1-2 VIP EXPH5,15
Inh L1-2 VIP HTR3A,13
Inh L1-2 VIP PTGER3,19
Inh L1-2 VIP SCML4,24
Inh L1-2 VIP WNT4,32
Inh L1-3 SST FAM20A,4
Inh L1-3 VIP CBLN1,13
Inh L1-3 VIP CHRNA2,15
Inh L1-3 VIP FNDC1,20
Inh L1-3 VIP HSPB6,9
Inh L1-5 VIP CD27-AS1,14
Inh L1-5 VIP LINC01013,23
Inh L1-5 VIP PHLDB3,14
Inh L1-5 VIP SMOC1,6
Inh L1-6 LAMP5 AARD,15
Inh L1-6 LAMP5 CA1,8
Inh L1-6 LAMP5 NES,9
Inh L1-6 PVALB COL15A1,15
Inh L1-6 SST NPY,13
Inh L1-6 VIP SLC7A6OS,17
Inh L2 PAX6 FREM2,33
Inh L2 PVALB FRZB,13
Inh L2 VIP SLC6A16,19
Inh L2-3 SST NMU,6
Inh L2-5 PVALB HHIPL1,23
Inh L2-5 PVALB RPH3AL,16
Inh L2-5 VIP BSPRY,12
Inh L2-5 VIP SOX11,20
Inh L3 PVALB SAMD13,15
Inh L3-5 PVALB ISG20,83
Inh L3-5 SST CDH3,8
Inh L3-5 SST GGTLC3,3
Inh L3-5 SST OR5AH1P,5
Inh L3-5 VIP HS3ST3A1,12
Inh L3-5 VIP IGDCC3,12
Inh L3-5 VIP TAC3,11
Inh L3-6 PAX6 LINC01497,22
Inh L3-6 VIP UG0898H09,20
Inh L3-6 VIP ZIM2-AS1,20
Inh L5 PVALB LRIG3,36
Inh L5 SST RPL35AP11,5
Inh L5-6 LAMP5 CRABP1,17
Inh L5-6 PVALB FAM150B,12
Inh L5-6 PVALB GAPDHP60,16
Inh L5-6 PVALB KCNIP2,31
Inh L5-6 PVALB MEPE,10
Inh L5-6 PVALB SST CRHR2,16
Inh L5-6 PVALB ZFPM2-AS1,32
Inh L5-6 SST BEAN1,11
Inh L5-6 SST C4orf26,19
Inh L5-6 SST DNAJC14,23
Inh L5-6 SST FBN2,6
Inh L5-6 SST ISX,8
Inh L5-6 SST KLHL1,7
Inh L5-6 SST PAWR,4
Inh L5-6 SST PIK3CD,6
Inh L5-6 VIP COL4A3,20
Inh L6 SST TH,22
Micro L1-6 TYROBP CD74,4
OPC L1-6 PDGFRA COL20A1,6
Oligo L2-6 OPALIN FTH1P3,8
Oligo L2-6 OPALIN MAP6D1,21
Oligo L3-6 OPALIN ENPP6,13
Oligo L5-6 OPALIN LDLRAP1,17
VLMC L1-5 PDGFRA COLEC12,5
