clusterName,markerGene,score
Inh L1 LAMP5 PVRL2,LINC00299,0.1187648456057007
Inh L1 LAMP5 PVRL2,LINC00472,0.1187648456057007
Inh L1 LAMP5 PVRL2,SLC6A1-AS1,0.1187648456057007
Inh L1 LAMP5 PVRL2,ARHGEF26-AS1,0.1187648456057007
Inh L1 LAMP5 RAB11FIP1,LINC00298,0.23082942097026604
Inh L1 LAMP5 RAB11FIP1,LINC00299,0.23082942097026604
Inh L1 LAMP5 RAB11FIP1,TTTY14,0.23082942097026604
Inh L1 LAMP5 RAB11FIP1,BDNF-AS,0.23082942097026604
Inh L1-6 LAMP5 AARD,RORA-AS1,0.4820936639118457
Inh L1-6 LAMP5 AARD,LINC00299,0.4820936639118457
Inh L1-6 LAMP5 AARD,LINC00472,0.4820936639118457
Inh L1-6 LAMP5 NES,SLC6A1-AS1,0.1855779427359491
Inh L1-6 LAMP5 NES,LINC00472,0.1855779427359491
Inh L1-6 LAMP5 CA1,LINC00299,0.1902328222600795
Inh L1-6 LAMP5 CA1,PWRN1,0.1902328222600795
Inh L1-6 LAMP5 CA1,ADAMTS9-AS2,0.1902328222600795
Inh L1-6 LAMP5 CA1,KLF3-AS1,0.1902328222600795
Inh L5-6 LAMP5 CRABP1,SFTA3,0.6857931880945075
Inh L5-6 LAMP5 CRABP1,LINC00299,0.6857931880945075
Inh L3-6 PAX6 LINC01497,SPANXA2-OT1,0.25
Inh L3-6 PAX6 LINC01497,ZNF385D-AS2,0.25
Inh L3-6 PAX6 LINC01497,PRKCA-AS1,0.25
Inh L3-6 PAX6 LINC01497,INHBA-AS1,0.25
Inh L1 PAX6 MIR101-1,LINC01539,0.33692722371967654
Inh L1 PAX6 MIR101-1,ADARB2-AS1,0.33692722371967654
Inh L1 PAX6 MIR101-1,ZNF385D-AS2,0.33692722371967654
Inh L1 PAX6 CHRFAM7A,LINC01539,0.496
Inh L1 PAX6 CHRFAM7A,NR2F2-AS1,0.496
Inh L1-6 VIP SLC7A6OS,LINC01470,0.26881720430107525
Inh L1-6 VIP SLC7A6OS,LINC00609,0.26881720430107525
Inh L1-6 VIP SLC7A6OS,GNG12-AS1,0.26881720430107525
Inh L1-6 VIP SLC7A6OS,INHBA-AS1,0.26881720430107525
Inh L2 PAX6 FREM2,LINC01470,0.5711206896551724
Inh L2 PAX6 FREM2,ZNF385D-AS2,0.5711206896551724
Inh L1-2 VIP HTR3A,CPB2-AS1,0.25862068965517243
Inh L1-2 VIP HTR3A,LINC00290,0.25862068965517243
Inh L1-2 VIP HTR3A,LINC01060,0.25862068965517243
Inh L1-2 VIP HTR3A,LINC00472,0.25862068965517243
Inh L1-2 VIP WNT4,LINC01539,0.4296875
Inh L1-2 VIP WNT4,ADARB2-AS1,0.4296875
Inh L1-2 VIP WNT4,CPB2-AS1,0.4296875
Inh L1-2 VIP WNT4,PRKCA-AS1,0.4296875
Inh L1 LAMP5 BMP2,LINC00298,0.33256880733944955
Inh L1 LAMP5 BMP2,LINC00299,0.33256880733944955
Inh L1 LAMP5 BMP2,PVT1,0.33256880733944955
Inh L1 LAMP5 NMBR,LINC00299,0.25107604017216645
Inh L1 LAMP5 NMBR,CHRM3-AS2,0.25107604017216645
Inh L1 LAMP5 NMBR,LINC00472,0.25107604017216645
Inh L1 LAMP5 NMBR,ARHGEF26-AS1,0.25107604017216645
Inh L1 PVALB SST ASIC4,PROX1-AS1,0.4142857142857143
Inh L1 PVALB SST ASIC4,ADAMTS9-AS2,0.4142857142857143
Inh L1 SST P4HA3,LINC00298,0.3225806451612903
Inh L1 SST P4HA3,LINC00290,0.3225806451612903
Inh L1 SST P4HA3,GNG12-AS1,0.3225806451612903
Inh L1 SST DEFB108B,ARHGEF26-AS1,0.2290909090909091
Inh L1 SST DEFB108B,NR2F2-AS1,0.2290909090909091
Inh L1 SST DEFB108B,ADAMTS9-AS2,0.2290909090909091
