clusterName,onTarget
Inh L1 LAMP5 PVRL2,0.044783683730394874
Inh L1 LAMP5 RAB11FIP1,0.05672260617289921
Inh L1-6 LAMP5 AARD,0.06022170289904423
Inh L1-6 LAMP5 NES,0.053602533763627135
Inh L1-6 LAMP5 CA1,0.02557293747189386
Inh L5-6 LAMP5 CRABP1,0.5250156399741469
Inh L3-6 PAX6 LINC01497,0.06901846483479729
Inh L1 PAX6 MIR101-1,0.20358612352828218
Inh L1 PAX6 CHRFAM7A,0.22127449360974966
Inh L1-6 VIP SLC7A6OS,0.07134770889153462
Inh L2 PAX6 FREM2,0.17790557640507512
Inh L1-2 VIP HTR3A,0.08668942314193917
Inh L1-2 VIP WNT4,0.1377514703793574
Inh L1 LAMP5 BMP2,0.06441806711887461
Inh L1 LAMP5 NMBR,0.05052661362527744
Inh L1 PVALB SST ASIC4,0.03652611633006471
Inh L1 SST P4HA3,0.060357399190591174
Inh L1 SST DEFB108B,0.03399957924460563
Inh L1-3 VIP CBLN1,0.03359846300730697
Inh L1-2 VIP EXPH5,0.03819008862835545
Inh L1-3 VIP HSPB6,0.03467630563119317
Inh L1-2 VIP PTGER3,0.06432561639679892
Inh L1-2 VIP SCML4,0.09606932693592268
Inh L1-3 VIP FNDC1,0.10938685462642339
Inh L1-3 VIP CHRNA2,0.06934498807714307
Inh L2 VIP SLC6A16,0.06431001093601765
Inh L1 VIP KLHDC8B,0.10009455598496311
Inh L3-5 VIP IGDCC3,0.05149858040646638
Inh L1-5 VIP SMOC1,0.04201578654524556
Inh L3-5 VIP HS3ST3A1,0.03750253837708254
Inh L5-6 VIP COL4A3,0.04707904030733956
Inh L1-5 VIP CD27-AS1,0.050394905131847204
Inh L2-5 VIP BSPRY,0.04571405214392054
Inh L2-5 VIP SOX11,0.5269493785620523
Inh L3-6 VIP ZIM2-AS1,0.12234404566380798
Inh L1-5 VIP PHLDB3,0.07746296434676415
Inh L1-5 VIP LINC01013,0.37942638157917696
Inh L3-6 VIP UG0898H09,0.4189950589213673
Inh L3-5 VIP TAC3,0.034443728584321064
Inh L1-6 SST NPY,0.07536415326523042
Inh L3-5 SST CDH3,0.02803280046345031
Inh L5 SST RPL35AP11,0.02409742848511838
Inh L5-6 SST ISX,0.021452952665251022
Inh L5-6 PVALB SST CRHR2,0.28047955480349734
Inh L3-5 SST OR5AH1P,0.02190802119202108
Inh L3-5 SST GGTLC3,0.02548503236373179
Inh L2-3 SST NMU,0.02243437860249768
Inh L5-6 SST PAWR,0.02532632243860032
Inh L5-6 SST PIK3CD,0.03749000836994687
Inh L1-2 SST CCNJL,0.030998173346090535
Inh L1-3 SST FAM20A,0.020180977238902713
Inh L1-2 SST PRRT4,0.03621434434036937
Inh L5-6 SST BEAN1,0.04432717597764521
Inh L5-6 SST DNAJC14,0.08852575567604568
Inh L5-6 SST C4orf26,0.049387398925415826
Inh L5-6 SST FBN2,0.03795639358415856
