clusterName,markerGene,onTarget_per_gene,onTarget
Inh L1 LAMP5 PVRL2,LINC00299,0.06700124440618994,0.044783683730394874
Inh L1 LAMP5 PVRL2,LINC00472,0.04475541235151375,0.044783683730394874
Inh L1 LAMP5 PVRL2,SLC6A1-AS1,0.044811955109276005,0.044783683730394874
Inh L1 LAMP5 PVRL2,ARHGEF26-AS1,0.03716927971851847,0.044783683730394874
Inh L1 LAMP5 RAB11FIP1,LINC00298,0.14467367850504972,0.05672260617289921
Inh L1 LAMP5 RAB11FIP1,LINC00299,0.06551941155534123,0.05672260617289921
Inh L1 LAMP5 RAB11FIP1,TTTY14,0.04792580079045719,0.05672260617289921
Inh L1 LAMP5 RAB11FIP1,BDNF-AS,0.038856205809708416,0.05672260617289921
Inh L1-6 LAMP5 AARD,RORA-AS1,0.08698492929761975,0.06022170289904423
Inh L1-6 LAMP5 AARD,LINC00299,0.06022170289904423,0.06022170289904423
Inh L1-6 LAMP5 AARD,LINC00472,0.0431040497059676,0.06022170289904423
Inh L1-6 LAMP5 NES,SLC6A1-AS1,0.0697822068942359,0.053602533763627135
Inh L1-6 LAMP5 NES,LINC00472,0.037422860633018376,0.053602533763627135
Inh L1-6 LAMP5 CA1,LINC00299,0.041168144240740875,0.02557293747189386
Inh L1-6 LAMP5 CA1,PWRN1,0.02407632415947543,0.02557293747189386
Inh L1-6 LAMP5 CA1,ADAMTS9-AS2,0.02706955078431229,0.02557293747189386
Inh L1-6 LAMP5 CA1,KLF3-AS1,0.01905379132381986,0.02557293747189386
Inh L5-6 LAMP5 CRABP1,SFTA3,1.0,0.5250156399741469
Inh L5-6 LAMP5 CRABP1,LINC00299,0.050031279948293865,0.5250156399741469
Inh L3-6 PAX6 LINC01497,SPANXA2-OT1,0.4775471815509323,0.06901846483479729
Inh L3-6 PAX6 LINC01497,ZNF385D-AS2,0.0630318632467164,0.06901846483479729
Inh L3-6 PAX6 LINC01497,PRKCA-AS1,0.07500506642287819,0.06901846483479729
Inh L3-6 PAX6 LINC01497,INHBA-AS1,0.0489616215973087,0.06901846483479729
Inh L1 PAX6 MIR101-1,LINC01539,0.2558659181757763,0.20358612352828218
Inh L1 PAX6 MIR101-1,ADARB2-AS1,0.20358612352828218,0.20358612352828218
Inh L1 PAX6 MIR101-1,ZNF385D-AS2,0.08995950828598098,0.20358612352828218
