software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cluster_id,Inh L1 LAMP5 PVRL2,94,0.1187648456057007,0.10695187165775401,0.2127659574468085,76272,167,74,20,4,"['LINC00299', 'LINC00472', 'SLC6A1-AS1', 'ARHGEF26-AS1']","['LINC00298', 'LINC00299', 'LINC00472', 'SLC6A1-AS1', 'ARHGEF26-AS1', 'LIPE-AS1', 'PVT1', 'MIR4500HG', 'POT1-AS1', 'DLX6-AS1']",0.044783683730394874
4.1,cluster_id,Inh L1 LAMP5 RAB11FIP1,246,0.23082942097026604,0.22868217054263565,0.23983739837398374,76088,199,187,59,4,"['LINC00298', 'LINC00299', 'TTTY14', 'BDNF-AS']","['LINC00298', 'LINC00299', 'TTTY14', 'LINC00472', 'LIPE-AS1', 'BDNF-AS', 'ARHGEF26-AS1', 'LMCD1-AS1', 'PVT1', 'DLX6-AS1']",0.05672260617289921
4.1,cluster_id,Inh L1-6 LAMP5 AARD,1539,0.4820936639118457,0.5723270440251572,0.29564652371669914,74654,340,1084,455,3,"['RORA-AS1', 'LINC00299', 'LINC00472']","['LINC00298', 'RORA-AS1', 'SLC6A1-AS1', 'LINC00299', 'LINC00472', 'LIPE-AS1', 'PROX1-AS1', 'LMCD1-AS1', 'ADAMTS9-AS2', 'DLX6-AS1']",0.06022170289904423
4.1,cluster_id,Inh L1-6 LAMP5 NES,419,0.1855779427359491,0.26717557251908397,0.08353221957040573,76018,96,384,35,2,"['SLC6A1-AS1', 'LINC00472']","['LINC00298', 'SLC6A1-AS1', 'LINC00299', 'LINC00472', 'LMCD1-AS1', 'ADAMTS9-AS2', 'SOX2-OT', 'DLX6-AS1', 'KLF3-AS1']",0.053602533763627135
4.1,cluster_id,Inh L1-6 LAMP5 CA1,465,0.1902328222600795,0.20679012345679013,0.14408602150537633,75811,257,398,67,4,"['LINC00299', 'PWRN1', 'ADAMTS9-AS2', 'KLF3-AS1']","['SLC6A1-AS1', 'LINC00299', 'ARHGEF26-AS1', 'PWRN1', 'ADAMTS9-AS2', 'KLF3-AS1', 'MIR4500HG', 'CASC15']",0.02557293747189386
4.1,cluster_id,Inh L5-6 LAMP5 CRABP1,923,0.6857931880945075,0.7654109589041096,0.48429035752979416,75473,137,476,447,2,"['SFTA3', 'LINC00299']","['SFTA3', 'LINC00298', 'IPO9-AS1', 'ZNF385D-AS2', 'SLC6A1-AS1', 'LINC00299', 'LIPE-AS1', 'ARHGEF26-AS1', 'SOX2-OT', 'SRGAP2-AS1']",0.5250156399741469
4.1,cluster_id,Inh L3-6 PAX6 LINC01497,84,0.25,0.6666666666666666,0.07142857142857142,76446,3,78,6,4,"['SPANXA2-OT1', 'ZNF385D-AS2', 'PRKCA-AS1', 'INHBA-AS1']","['SPANXA2-OT1', 'MIR7-3HG', 'LINC00290', 'ZNF385D-AS2', 'PRKCA-AS1', 'INHBA-AS1', 'STARD4-AS1', 'LINC00472', 'TTTY14', 'NR2F2-AS1']",0.06901846483479729
4.1,cluster_id,Inh L1 PAX6 MIR101-1,139,0.33692722371967654,0.43103448275862066,0.17985611510791366,76361,33,114,25,3,"['LINC01539', 'ADARB2-AS1', 'ZNF385D-AS2']","['LINC01539', 'ADARB2-AS1', 'ZNF385D-AS2', 'LINC00472', 'INHBA-AS1', 'CHRM3-AS2', 'TTTY14', 'POT1-AS1', 'PVT1', 'LINC00299']",0.20358612352828218
4.1,cluster_id,Inh L1 PAX6 CHRFAM7A,185,0.496,0.5636363636363636,0.33513513513513515,76300,48,123,62,2,"['LINC01539', 'NR2F2-AS1']","['LINC01539', 'LINC00472', 'TTTY14', 'NR2F2-AS1', 'LINC01551', 'MIR325HG']",0.22127449360974966
4.1,cluster_id,Inh L1-6 VIP SLC7A6OS,61,0.26881720430107525,0.625,0.08196721311475409,76469,3,56,5,4,"['LINC01470', 'LINC00609', 'GNG12-AS1', 'INHBA-AS1']","['ENTPD3-AS1', 'LINC01470', 'LINC00609', 'GNG12-AS1', 'INHBA-AS1', 'FOXG1-AS1', 'LINC00472', 'NEAT1', 'NR2F2-AS1', 'LMCD1-AS1']",0.07134770889153462
4.1,cluster_id,Inh L2 PAX6 FREM2,108,0.5711206896551724,0.5955056179775281,0.49074074074074076,76389,36,55,53,2,"['LINC01470', 'ZNF385D-AS2']","['LINC01162', 'LINC01539', 'LINC01470', 'ADARB2-AS1', 'ZNF385D-AS2', 'GNG12-AS1', 'LINC01060', 'LINC00472', 'FOXG1-AS1', 'CHRM3-AS2']",0.17790557640507512
4.1,cluster_id,Inh L1-2 VIP HTR3A,42,0.25862068965517243,0.75,0.07142857142857142,76490,1,39,3,4,"['CPB2-AS1', 'LINC00290', 'LINC01060', 'LINC00472']","['CPB2-AS1', 'LINC00290', 'PRKCA-AS1', 'EPHA5-AS1', 'LINC01060', 'LINC00472', 'PROX1-AS1', 'NR2F2-AS1', 'POT1-AS1', 'ADAMTS9-AS2']",0.08668942314193917
4.1,cluster_id,Inh L1-2 VIP WNT4,52,0.4296875,0.5789473684210527,0.21153846153846154,76473,8,41,11,4,"['LINC01539', 'ADARB2-AS1', 'CPB2-AS1', 'PRKCA-AS1']","['LINC01539', 'ADARB2-AS1', 'MIR646HG', 'LINC01470', 'CPB2-AS1', 'PRKCA-AS1', 'ZNF385D-AS2', 'LINC01060', 'LINC00472', 'NR2F2-AS1']",0.1377514703793574
