clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Inh L1 LAMP5 PVRL2,LINC00298,0.09515035895574002,1.0810083235910644,0.9529442810686631
Inh L1 LAMP5 PVRL2,LINC00299,0.13205667512519845,2.8561326131664635,0.8894833656576353
Inh L1 LAMP5 PVRL2,LINC00472,0.0553351062652574,0.554260849097082,0.8510487846298795
Inh L1 LAMP5 PVRL2,SLC6A1-AS1,0.06349279772133015,0.6782295094186646,0.8490426607263045
Inh L1 LAMP5 PVRL2,ARHGEF26-AS1,0.08412292291964871,0.7143949084534542,0.8188969678209852
Inh L1 LAMP5 PVRL2,LIPE-AS1,0.052008741549328524,0.4262086781208798,0.7912220270723104
Inh L1 LAMP5 PVRL2,PVT1,0.05640773325000549,0.5400557660058172,0.7623987584644085
Inh L1 LAMP5 PVRL2,MIR4500HG,0.10146469590382894,1.1318208238508758,0.7536338076537508
Inh L1 LAMP5 PVRL2,POT1-AS1,0.05735026185358958,0.554260849097082,0.7232661774735992
Inh L1 LAMP5 PVRL2,DLX6-AS1,0.09515501932620335,1.7934086124318014,0.6931514362419569
Inh L1 LAMP5 RAB11FIP1,LINC00298,0.0964270190006381,1.0841008456357528,0.9530785129057745
Inh L1 LAMP5 RAB11FIP1,LINC00299,0.13259322226554252,2.7929649635193554,0.8869838441349882
Inh L1 LAMP5 RAB11FIP1,TTTY14,0.09412020072501047,1.489382803566453,0.8427652724564938
Inh L1 LAMP5 RAB11FIP1,LINC00472,0.04933538997199229,0.4476786511722224,0.836843277006911
Inh L1 LAMP5 RAB11FIP1,LIPE-AS1,0.04780929713924336,0.5015720990177919,0.8199941807179894
Inh L1 LAMP5 RAB11FIP1,BDNF-AS,0.04406519034931655,0.4048965656041513,0.8108408527212496
Inh L1 LAMP5 RAB11FIP1,ARHGEF26-AS1,0.06168946436578976,0.6219573083728119,0.8102254631146325
Inh L1 LAMP5 RAB11FIP1,LMCD1-AS1,0.07325359352033407,0.9391613560000811,0.7733938854504138
Inh L1 LAMP5 RAB11FIP1,PVT1,0.04727788704189594,0.4364789816245713,0.7327995143050188
Inh L1 LAMP5 RAB11FIP1,DLX6-AS1,0.09908496514300628,1.8848681281827242,0.7066994585776224
Inh L1-6 LAMP5 AARD,LINC00298,0.1145028625904657,0.8902971082126578,0.9462368947149588
Inh L1-6 LAMP5 AARD,RORA-AS1,0.03357610248806073,0.4531100418364147,0.9225807674801815
Inh L1-6 LAMP5 AARD,SLC6A1-AS1,0.05589118657250757,1.051226312183778,0.8945062004266697
Inh L1-6 LAMP5 AARD,LINC00299,0.18109997930662847,2.567133956910376,0.8788324790750635
Inh L1-6 LAMP5 AARD,LINC00472,0.04599920717448473,0.5338100116676586,0.8480788085078609
Inh L1-6 LAMP5 AARD,LIPE-AS1,0.03333003314933026,0.551083465945449,0.8361665660612785
Inh L1-6 LAMP5 AARD,PROX1-AS1,0.02859790299797412,0.43895509782693876,0.8008889610259207
Inh L1-6 LAMP5 AARD,LMCD1-AS1,0.07835629980559901,0.9342236938233848,0.7724898301571991
Inh L1-6 LAMP5 AARD,ADAMTS9-AS2,0.09075128390328349,1.7372413209482827,0.7088255194559903
Inh L1-6 LAMP5 AARD,DLX6-AS1,0.07871123525541608,1.6221447005361793,0.6699703491998581
Inh L1-6 LAMP5 NES,LINC00298,0.08134735320393377,0.5759821873832386,0.9370437166977813
Inh L1-6 LAMP5 NES,SLC6A1-AS1,0.10377623769937466,1.0561545871546332,0.8949614265502371
Inh L1-6 LAMP5 NES,LINC00299,0.15568134424636185,2.201582098467451,0.8659990875614497
Inh L1-6 LAMP5 NES,LINC00472,0.08359498712822444,0.46345291932936405,0.8388848523281319
Inh L1-6 LAMP5 NES,LMCD1-AS1,0.0894394698175678,0.8241035899327172,0.7515552506617428
Inh L1-6 LAMP5 NES,ADAMTS9-AS2,0.12274628416532882,1.7476698167755718,0.710102501760934
Inh L1-6 LAMP5 NES,SOX2-OT,0.1599714227640984,3.3119546540047002,0.6631374419940235
