,0
Astro L1 FGFR3 SERPINI2,248
Astro L1-6 FGFR3 AQP1,133
Astro L1-6 FGFR3 PLCG1,189
Endo L2-5 NOSTRIN SRGN,145
Exc L2 LAMP5 KCNG3,411
Exc L2 LINC00507 ATP7B,498
Exc L2 LINC00507 GLRA3,568
Exc L2-3 LINC00507 DSG3,1097
Exc L2-3 RORB CCDC68,770
Exc L2-3 RORB PTPN3,255
Exc L2-3 RORB RTKN2,1053
Exc L3 LAMP5 CARM1P1,1226
Exc L3 RORB OTOGL,305
Exc L3 THEMIS ENPEP,1020
Exc L3-5 FEZF2 ASGR2,1894
Exc L3-5 FEZF2 LINC01107,2194
Exc L3-5 RORB LAMA4,641
Exc L3-5 RORB LINC01202,331
Exc L3-5 RORB LNX2,1011
Exc L3-5 RORB RPRM,1104
Exc L3-5 RORB TNNT2,965
Exc L5 FEZF2 CSN1S1,2472
Exc L5 FEZF2 NREP-AS1,1101
Exc L5 FEZF2 PKD2L1,909
Exc L5 FEZF2 RNF144A-AS1,572
Exc L5 RORB MED8,739
Exc L5 THEMIS FGF10,1377
Exc L5 THEMIS LINC01116,2452
Exc L5 THEMIS RGPD6,1422
Exc L5 THEMIS SLC22A18,2429
Exc L5 THEMIS VILL,1190
Exc L5-6 FEZF2 C9orf135-AS1,564
Exc L5-6 FEZF2 CFTR,968
Exc L5-6 FEZF2 FILIP1L,1299
Exc L5-6 FEZF2 IFNG-AS1,535
Exc L5-6 FEZF2 LPO,1626
Exc L5-6 FEZF2 OR1L8,1833
Exc L5-6 FEZF2 SH2D1B,1163
Exc L5-6 THEMIS SMYD1,1235
Exc L5-6 THEMIS TNFAIP6,748
Exc L6 FEZF2 FFAR4,976
Exc L6 FEZF2 KLK7,1137
Exc L6 FEZF2 PDYN,1732
Exc L6 FEZF2 POGK,1069
Exc L6 FEZF2 PROKR2,1405
Exc L6 THEMIS LINC00343,942
Exc L6 THEMIS SLN,1071
Exc L6 THEMIS SNTG2,1206
Inh L1 LAMP5 BMP2,183
Inh L1 LAMP5 NMBR,163
Inh L1 LAMP5 PVRL2,229
Inh L1 LAMP5 RAB11FIP1,321
Inh L1 PAX6 CHRFAM7A,89
Inh L1 PAX6 MIR101-1,302
Inh L1 PVALB SST ASIC4,151
Inh L1 SST DEFB108B,110
Inh L1 SST P4HA3,290
Inh L1 VIP KLHDC8B,193
Inh L1-2 PVALB CDK20,403
Inh L1-2 SST CCNJL,95
Inh L1-2 SST CLIC6,158
Inh L1-2 SST PRRT4,149
Inh L1-2 VIP EXPH5,196
Inh L1-2 VIP HTR3A,277
Inh L1-2 VIP PTGER3,566
Inh L1-2 VIP SCML4,582
Inh L1-2 VIP WNT4,1035
Inh L1-3 SST FAM20A,57
Inh L1-3 VIP CBLN1,164
Inh L1-3 VIP CHRNA2,216
Inh L1-3 VIP FNDC1,342
Inh L1-3 VIP HSPB6,94
Inh L1-5 VIP CD27-AS1,247
Inh L1-5 VIP LINC01013,233
Inh L1-5 VIP PHLDB3,161
Inh L1-5 VIP SMOC1,105
Inh L1-6 LAMP5 AARD,308
Inh L1-6 LAMP5 CA1,261
Inh L1-6 LAMP5 NES,123
Inh L1-6 PVALB COL15A1,240
Inh L1-6 SST NPY,540
Inh L1-6 VIP SLC7A6OS,385
Inh L2 PAX6 FREM2,848
Inh L2 PVALB FRZB,334
Inh L2 VIP SLC6A16,197
Inh L2-3 SST NMU,149
Inh L2-5 PVALB HHIPL1,765
Inh L2-5 PVALB RPH3AL,459
Inh L2-5 VIP BSPRY,203
Inh L2-5 VIP SOX11,455
Inh L3 PVALB SAMD13,376
Inh L3-5 PVALB ISG20,2343
Inh L3-5 SST CDH3,183
Inh L3-5 SST GGTLC3,66
Inh L3-5 SST OR5AH1P,132
Inh L3-5 VIP HS3ST3A1,203
Inh L3-5 VIP IGDCC3,149
Inh L3-5 VIP TAC3,101
Inh L3-6 PAX6 LINC01497,535
Inh L3-6 VIP UG0898H09,244
Inh L3-6 VIP ZIM2-AS1,423
Inh L5 PVALB LRIG3,1018
Inh L5 SST RPL35AP11,102
Inh L5-6 LAMP5 CRABP1,412
Inh L5-6 PVALB FAM150B,399
Inh L5-6 PVALB GAPDHP60,366
Inh L5-6 PVALB KCNIP2,1071
Inh L5-6 PVALB MEPE,337
Inh L5-6 PVALB SST CRHR2,361
Inh L5-6 PVALB ZFPM2-AS1,752
Inh L5-6 SST BEAN1,255
Inh L5-6 SST C4orf26,919
Inh L5-6 SST DNAJC14,967
Inh L5-6 SST FBN2,152
Inh L5-6 SST ISX,176
Inh L5-6 SST KLHL1,308
Inh L5-6 SST PAWR,149
Inh L5-6 SST PIK3CD,150
Inh L5-6 VIP COL4A3,480
Inh L6 SST TH,759
Micro L1-6 TYROBP CD74,129
OPC L1-6 PDGFRA COL20A1,195
Oligo L2-6 OPALIN FTH1P3,251
Oligo L2-6 OPALIN MAP6D1,548
Oligo L3-6 OPALIN ENPP6,396
Oligo L5-6 OPALIN LDLRAP1,547
VLMC L1-5 PDGFRA COLEC12,133
