clusterName,markerGene,score
Inh L1 LAMP5 PVRL2,NDNF,0.56
Inh L1 LAMP5 PVRL2,TRPC3,0.56
Inh L1 LAMP5 PVRL2,GOLIM4,0.56
Inh L1 LAMP5 RAB11FIP1,MYH11,0.5148883374689827
Inh L1 LAMP5 RAB11FIP1,ADAMTS20,0.5148883374689827
Inh L1 LAMP5 RAB11FIP1,KIT,0.5148883374689827
Inh L1 LAMP5 RAB11FIP1,FREM1,0.5148883374689827
Inh L1-6 LAMP5 AARD,KIT,0.7456076666182663
Inh L1-6 LAMP5 AARD,FREM1,0.7456076666182663
Inh L1-6 LAMP5 AARD,FBXL7,0.7456076666182663
Inh L1-6 LAMP5 NES,ROR2,0.27740492170022374
Inh L1-6 LAMP5 NES,EYA4,0.27740492170022374
Inh L1-6 LAMP5 NES,KIT,0.27740492170022374
Inh L1-6 LAMP5 NES,NTNG1,0.27740492170022374
Inh L1-6 LAMP5 CA1,CHST9,0.707641196013289
Inh L1-6 LAMP5 CA1,NOS1,0.707641196013289
Inh L5-6 LAMP5 CRABP1,PDGFD,0.7275590551181103
Inh L5-6 LAMP5 CRABP1,NTNG1,0.7275590551181103
Inh L3-6 PAX6 LINC01497,PALMD,0.8333333333333334
Inh L3-6 PAX6 LINC01497,RELN,0.8333333333333334
Inh L1 PAX6 MIR101-1,TGFBR2,0.8097928436911488
Inh L1 PAX6 MIR101-1,RELN,0.8097928436911488
Inh L1 PAX6 CHRFAM7A,LAMA3,0.6293706293706294
Inh L1 PAX6 CHRFAM7A,ARHGAP42,0.6293706293706294
Inh L1 PAX6 CHRFAM7A,CNR1,0.6293706293706294
Inh L1-6 VIP SLC7A6OS,TRPC7,0.6766917293233082
Inh L1-6 VIP SLC7A6OS,PBX3,0.6766917293233082
Inh L1-6 VIP SLC7A6OS,PDLIM5,0.6766917293233082
Inh L2 PAX6 FREM2,CILP2,0.7886904761904762
Inh L2 PAX6 FREM2,IGFBP7,0.7886904761904762
Inh L1-2 VIP HTR3A,HTR3A,0.7017543859649122
Inh L1-2 VIP HTR3A,MCTP2,0.7017543859649122
Inh L1-2 VIP WNT4,CFAP47,0.47413793103448276
Inh L1-2 VIP WNT4,SYT9,0.47413793103448276
Inh L1-2 VIP WNT4,GABRG1,0.47413793103448276
Inh L1 LAMP5 BMP2,NPNT,0.7162921348314607
Inh L1 LAMP5 BMP2,LAMP5,0.7162921348314607
Inh L1 LAMP5 BMP2,RELN,0.7162921348314607
Inh L1 LAMP5 NMBR,NDNF,0.7413010590015129
Inh L1 LAMP5 NMBR,PTGFR,0.7413010590015129
Inh L1 LAMP5 NMBR,RELN,0.7413010590015129
Inh L1 PVALB SST ASIC4,ADAM33,0.6607929515418502
Inh L1 PVALB SST ASIC4,BCAS1,0.6607929515418502
Inh L1 SST P4HA3,NDNF,0.5844155844155844
Inh L1 SST P4HA3,FOXO1,0.5844155844155844
Inh L1 SST P4HA3,SEMA3C,0.5844155844155844
Inh L1 SST DEFB108B,SYT10,0.5323590814196242
Inh L1 SST DEFB108B,TMEM47,0.5323590814196242
Inh L1-3 VIP CBLN1,HTR2C,0.7412472647702407
Inh L1-3 VIP CBLN1,TAC3,0.7412472647702407
Inh L1-3 VIP CBLN1,RELN,0.7412472647702407
Inh L1-2 VIP EXPH5,FLT1,0.6451612903225806
Inh L1-2 VIP EXPH5,ST18,0.6451612903225806
Inh L1-2 VIP EXPH5,SHISA8,0.6451612903225806
Inh L1-3 VIP HSPB6,IGFBP5,0.32823741007194246
Inh L1-3 VIP HSPB6,CCNG2,0.32823741007194246
Inh L1-2 VIP PTGER3,SYT10,0.49019607843137253
Inh L1-2 VIP PTGER3,KCNH8,0.49019607843137253
Inh L1-2 VIP PTGER3,PARD3B,0.49019607843137253
Inh L1-2 VIP SCML4,ABI3BP,0.6666666666666666
Inh L1-2 VIP SCML4,KCNH8,0.6666666666666666
Inh L1-2 VIP SCML4,NCKAP5,0.6666666666666666
Inh L1-2 VIP SCML4,LYPD6,0.6666666666666666
Inh L1-3 VIP FNDC1,SLC6A11,0.43478260869565216
Inh L1-3 VIP FNDC1,TBL1X,0.43478260869565216
Inh L1-3 VIP FNDC1,KCNH8,0.43478260869565216
Inh L1-3 VIP FNDC1,LRRC1,0.43478260869565216
Inh L1-3 VIP CHRNA2,PPP1R1C,0.5467091295116773
Inh L1-3 VIP CHRNA2,KCNG2,0.5467091295116773
Inh L1-3 VIP CHRNA2,COBLL1,0.5467091295116773
Inh L2 VIP SLC6A16,LRRC63,0.5536529680365296
Inh L2 VIP SLC6A16,TNS3,0.5536529680365296
Inh L2 VIP SLC6A16,COBLL1,0.5536529680365296
Inh L1 VIP KLHDC8B,ITGBL1,0.6367041198501873
Inh L1 VIP KLHDC8B,SLITRK4,0.6367041198501873
Inh L3-5 VIP IGDCC3,EREG,0.6112469437652812
Inh L3-5 VIP IGDCC3,CBLN4,0.6112469437652812
Inh L1-5 VIP SMOC1,PRTG,0.5583437892095358
Inh L1-5 VIP SMOC1,SMOC1,0.5583437892095358
Inh L1-5 VIP SMOC1,VIP,0.5583437892095358
Inh L3-5 VIP HS3ST3A1,ABI3BP,0.624133148404993
Inh L3-5 VIP HS3ST3A1,IQGAP2,0.624133148404993
Inh L3-5 VIP HS3ST3A1,SLC22A3,0.624133148404993
Inh L5-6 VIP COL4A3,ABI3BP,0.5583756345177665
Inh L5-6 VIP COL4A3,COL4A3,0.5583756345177665
Inh L5-6 VIP COL4A3,KCNG2,0.5583756345177665
Inh L5-6 VIP COL4A3,PARD3B,0.5583756345177665
Inh L1-5 VIP CD27-AS1,IQGAP2,0.5042016806722689
Inh L1-5 VIP CD27-AS1,PARD3B,0.5042016806722689
Inh L1-5 VIP CD27-AS1,RAB37,0.5042016806722689
Inh L1-5 VIP CD27-AS1,NTNG1,0.5042016806722689
Inh L2-5 VIP BSPRY,NTN1,0.5932203389830508
Inh L2-5 VIP BSPRY,ST18,0.5932203389830508
Inh L2-5 VIP BSPRY,KCNH8,0.5932203389830508
Inh L2-5 VIP BSPRY,PDE3A,0.5932203389830508
Inh L2-5 VIP SOX11,PENK,0.6076388888888888
Inh L2-5 VIP SOX11,GFRA1,0.6076388888888888
Inh L3-6 VIP ZIM2-AS1,PENK,0.7981220657276995
Inh L3-6 VIP ZIM2-AS1,NPNT,0.7981220657276995
Inh L1-5 VIP PHLDB3,EGF,0.5961538461538461
Inh L1-5 VIP PHLDB3,TAC3,0.5961538461538461
Inh L1-5 VIP PHLDB3,ARHGAP42,0.5961538461538461
Inh L1-5 VIP LINC01013,DACH2,0.633245382585752
Inh L1-5 VIP LINC01013,SRGAP1,0.633245382585752
Inh L1-5 VIP LINC01013,SEMA3C,0.633245382585752
Inh L3-6 VIP UG0898H09,PSG5,0.5371900826446281
Inh L3-6 VIP UG0898H09,DACH2,0.5371900826446281
Inh L3-6 VIP UG0898H09,THSD7B,0.5371900826446281
Inh L3-5 VIP TAC3,MEGF11,0.5326231691078562
Inh L3-5 VIP TAC3,CMTM8,0.5326231691078562
Inh L3-5 VIP TAC3,TSHZ2,0.5326231691078562
Inh L1-6 SST NPY,NPY,0.9192200557103064
Inh L3-5 SST CDH3,ENPP1,0.5095541401273885
Inh L3-5 SST CDH3,QRFPR,0.5095541401273885
Inh L3-5 SST CDH3,NPNT,0.5095541401273885
Inh L5 SST RPL35AP11,EDNRA,0.5575757575757576
Inh L5 SST RPL35AP11,FREM1,0.5575757575757576
Inh L5 SST RPL35AP11,SST,0.5575757575757576
Inh L5-6 SST ISX,KLHL1,0.4449648711943794
Inh L5-6 SST ISX,MBP,0.4449648711943794
Inh L5-6 SST ISX,COL19A1,0.4449648711943794
Inh L5-6 PVALB SST CRHR2,HPGD,0.672782874617737
Inh L5-6 PVALB SST CRHR2,FLT1,0.672782874617737
Inh L5-6 PVALB SST CRHR2,RGS5,0.672782874617737
Inh L3-5 SST OR5AH1P,ADAMTS5,0.4
Inh L3-5 SST OR5AH1P,SST,0.4
Inh L3-5 SST OR5AH1P,VGF,0.4
Inh L3-5 SST GGTLC3,EYS,0.6076975016880486
Inh L3-5 SST GGTLC3,RELN,0.6076975016880486
Inh L2-3 SST NMU,PIEZO2,0.5323819978046103
Inh L2-3 SST NMU,HPSE2,0.5323819978046103
Inh L2-3 SST NMU,EYA4,0.5323819978046103
Inh L5-6 SST PAWR,COL25A1,0.4908675799086758
Inh L5-6 SST PAWR,SPON1,0.4908675799086758
Inh L5-6 SST PAWR,ANGPT1,0.4908675799086758
Inh L5-6 SST PIK3CD,ADGRG6,0.6153846153846154
Inh L5-6 SST PIK3CD,KLHL14,0.6153846153846154
Inh L5-6 SST PIK3CD,VCAN,0.6153846153846154
Inh L1-2 SST CCNJL,HTR2C,0.4719387755102041
Inh L1-2 SST CCNJL,CRYBG3,0.4719387755102041
Inh L1-3 SST FAM20A,LPAR1,0.5289256198347108
Inh L1-3 SST FAM20A,TAC1,0.5289256198347108
Inh L1-3 SST FAM20A,SST,0.5289256198347108
Inh L1-2 SST PRRT4,CALB1,0.6403508771929824
Inh L1-2 SST PRRT4,CBLN4,0.6403508771929824
Inh L1-2 SST PRRT4,EYA4,0.6403508771929824
Inh L5-6 SST BEAN1,FBN2,0.5327868852459017
Inh L5-6 SST BEAN1,ZBBX,0.5327868852459017
Inh L5-6 SST BEAN1,LYPD6,0.5327868852459017
Inh L5-6 SST BEAN1,ADAMTSL1,0.5327868852459017
Inh L5-6 SST DNAJC14,STON2,0.5063291139240507
Inh L5-6 SST DNAJC14,NPFFR2,0.5063291139240507
Inh L5-6 SST DNAJC14,PAMR1,0.5063291139240507
Inh L5-6 SST DNAJC14,ITGA1,0.5063291139240507
Inh L5-6 SST C4orf26,ADAMTS20,0.6143344709897611
Inh L5-6 SST C4orf26,PENK,0.6143344709897611
Inh L5-6 SST C4orf26,KLHL14,0.6143344709897611
Inh L5-6 SST FBN2,KLHL14,0.46568627450980393
Inh L5-6 SST FBN2,TBL1X,0.46568627450980393
Inh L5-6 SST FBN2,HCRTR2,0.46568627450980393
Inh L5-6 SST KLHL1,SLC17A8,0.6156716417910447
Inh L5-6 SST KLHL1,KLHL14,0.6156716417910447
Inh L5-6 SST KLHL1,NDST4,0.6156716417910447
Inh L6 SST TH,TH,0.7407407407407407
Inh L6 SST TH,EPB41L4A,0.7407407407407407
Inh L5-6 PVALB KCNIP2,NPFFR2,0.6764705882352942
Inh L5-6 PVALB KCNIP2,VAV3,0.6764705882352942
Inh L5-6 PVALB KCNIP2,GPC5,0.6764705882352942
Inh L5-6 PVALB ZFPM2-AS1,BLM,0.5092297899427116
Inh L5-6 PVALB ZFPM2-AS1,LYPD6,0.5092297899427116
Inh L5-6 PVALB ZFPM2-AS1,PAWR,0.5092297899427116
Inh L5-6 PVALB ZFPM2-AS1,LYPD6B,0.5092297899427116
Inh L3-5 PVALB ISG20,SMOC2,0.5535055350553506
Inh L3-5 PVALB ISG20,LCNL1,0.5535055350553506
Inh L3-5 PVALB ISG20,SYT2,0.5535055350553506
Inh L3-5 PVALB ISG20,PDGFD,0.5535055350553506
Inh L5 PVALB LRIG3,PLCE1,0.7027992852888624
Inh L5 PVALB LRIG3,GPC5,0.7027992852888624
Inh L5 PVALB LRIG3,CDH6,0.7027992852888624
Inh L2-5 PVALB HHIPL1,MEPE,0.4844961240310077
Inh L2-5 PVALB HHIPL1,ADAMTS20,0.4844961240310077
Inh L2-5 PVALB HHIPL1,ADAMTS17,0.4844961240310077
Inh L2-5 PVALB RPH3AL,POSTN,0.656624179219776
Inh L2-5 PVALB RPH3AL,MYO5B,0.656624179219776
Inh L2-5 PVALB RPH3AL,ARHGAP42,0.656624179219776
Inh L3 PVALB SAMD13,HOMER3,0.7182783678032421
Inh L3 PVALB SAMD13,SULF1,0.7182783678032421
Inh L1-2 PVALB CDK20,ADAMTS12,0.504885993485342
Inh L1-2 PVALB CDK20,SYT10,0.504885993485342
Inh L1-2 PVALB CDK20,TMEM132C,0.504885993485342
Inh L1-2 PVALB CDK20,ANGPT1,0.504885993485342
Inh L2 PVALB FRZB,RGS5,0.46255506607929514
Inh L2 PVALB FRZB,CBLN4,0.46255506607929514
Inh L2 PVALB FRZB,SLC9A9,0.46255506607929514
Inh L1-2 SST CLIC6,NEDD4,0.5203045685279187
Inh L1-2 SST CLIC6,TAC1,0.5203045685279187
Inh L1-2 SST CLIC6,BMP6,0.5203045685279187
Inh L5-6 PVALB GAPDHP60,MYBPC1,0.6983240223463687
Inh L5-6 PVALB GAPDHP60,GPC5,0.6983240223463687
Inh L5-6 PVALB GAPDHP60,SEMA3C,0.6983240223463687
Inh L5-6 PVALB FAM150B,MYBPC1,0.576271186440678
Inh L5-6 PVALB FAM150B,TNC,0.576271186440678
Inh L5-6 PVALB FAM150B,TTN,0.576271186440678
Inh L5-6 PVALB MEPE,MEPE,0.5555555555555556
Inh L5-6 PVALB MEPE,COL27A1,0.5555555555555556
Inh L5-6 PVALB MEPE,MYBPC1,0.5555555555555556
Inh L1-6 PVALB COL15A1,COL15A1,0.8534136546184738
Inh L1-6 PVALB COL15A1,NPNT,0.8534136546184738
Exc L2 LAMP5 KCNG3,FAM163A,0.36906854130052724
Exc L2 LAMP5 KCNG3,IGFBP5,0.36906854130052724
Exc L2 LAMP5 KCNG3,SAMD3,0.36906854130052724
Exc L2 LAMP5 KCNG3,CCBE1,0.36906854130052724
Exc L2 LINC00507 ATP7B,ACVR1C,0.44776119402985076
Exc L2 LINC00507 ATP7B,PAMR1,0.44776119402985076
Exc L2 LINC00507 ATP7B,ITGB8,0.44776119402985076
Exc L2 LINC00507 GLRA3,GLRA3,0.8014888337468983
Exc L2 LINC00507 GLRA3,SERPINE2,0.8014888337468983
Exc L2 LINC00507 GLRA3,CUX2,0.8014888337468983
Exc L2-3 RORB RTKN2,TPBG,0.47270535560530397
Exc L2-3 RORB RTKN2,COL5A2,0.47270535560530397
Exc L2-3 RORB RTKN2,RORB,0.47270535560530397
Exc L2-3 RORB RTKN2,PCSK6,0.47270535560530397
Exc L2-3 RORB RTKN2,SEMA3A,0.47270535560530397
Exc L2-3 LINC00507 DSG3,ENPEP,0.5088028169014085
Exc L2-3 LINC00507 DSG3,BDNF,0.5088028169014085
Exc L2-3 LINC00507 DSG3,BMPR1B,0.5088028169014085
Exc L3 LAMP5 CARM1P1,BMPR1B,0.7194221300855144
Exc L3 LAMP5 CARM1P1,SYT2,0.7194221300855144
Exc L3 LAMP5 CARM1P1,SV2C,0.7194221300855144
Oligo L2-6 OPALIN MAP6D1,ENPP2,0.7641196013289037
Oligo L2-6 OPALIN MAP6D1,ST18,0.7641196013289037
Oligo L2-6 OPALIN MAP6D1,PDGFD,0.7641196013289037
Oligo L2-6 OPALIN MAP6D1,ART3,0.7641196013289037
Exc L2-3 RORB CCDC68,PRSS12,0.7853496910539984
Exc L2-3 RORB CCDC68,COBLL1,0.7853496910539984
Exc L2-3 RORB CCDC68,COL5A2,0.7853496910539984
Exc L2-3 RORB PTPN3,LAMA2,0.22720981730946668
Exc L2-3 RORB PTPN3,RORB,0.22720981730946668
Exc L2-3 RORB PTPN3,NTNG1,0.22720981730946668
Exc L3 THEMIS ENPEP,FAP,0.4674457429048414
Exc L3 THEMIS ENPEP,LAMA2,0.4674457429048414
Exc L3 THEMIS ENPEP,THEMIS,0.4674457429048414
Exc L3 THEMIS ENPEP,SV2C,0.4674457429048414
Exc L3-5 RORB TNNT2,FSHR,0.46084546084546085
Exc L3-5 RORB TNNT2,ITGA11,0.46084546084546085
Exc L3-5 RORB LAMA4,CNKSR3,0.42387543252595156
Exc L3-5 RORB LAMA4,KCNH8,0.42387543252595156
Exc L3-5 RORB LAMA4,ITGA11,0.42387543252595156
Exc L3-5 RORB LAMA4,TRPC3,0.42387543252595156
Exc L5 THEMIS VILL,TNC,0.6818181818181818
Exc L5 THEMIS VILL,ABCA1,0.6818181818181818
Exc L5 THEMIS VILL,DACH1,0.6818181818181818
Exc L3 RORB OTOGL,COL22A1,0.6446203380735176
Exc L3 RORB OTOGL,ITGA11,0.6446203380735176
Exc L3-5 RORB LINC01202,TSHZ2,0.5998322147651006
Exc L3-5 RORB LINC01202,HS3ST4,0.5998322147651006
Exc L3-5 RORB LINC01202,ST8SIA4,0.5998322147651006
Exc L5 THEMIS SLC22A18,TRABD2A,0.727176220806794
Exc L5 THEMIS SLC22A18,BTNL9,0.727176220806794
Exc L5 THEMIS SLC22A18,ADTRP,0.727176220806794
Exc L5-6 THEMIS TNFAIP6,THEMIS,0.5033252720677146
Exc L5-6 THEMIS TNFAIP6,COL24A1,0.5033252720677146
Exc L5-6 THEMIS TNFAIP6,HS3ST2,0.5033252720677146
Exc L5-6 THEMIS TNFAIP6,TPD52L1,0.5033252720677146
Exc L3-5 RORB LNX2,TLL1,0.7489422495741525
Exc L3-5 RORB LNX2,ARSJ,0.7489422495741525
Exc L3-5 RORB LNX2,RORB,0.7489422495741525
Exc L3-5 RORB RPRM,RPRM,0.5558517728605705
Exc L3-5 RORB RPRM,MKX,0.5558517728605705
Exc L5 RORB MED8,COL22A1,0.5492154065620543
Exc L5 RORB MED8,RANBP3L,0.5492154065620543
Exc L5 RORB MED8,NPFFR2,0.5492154065620543
Exc L5 THEMIS FGF10,BDNF,0.47404063205417607
Exc L5 THEMIS FGF10,NPFFR2,0.47404063205417607
Exc L5 THEMIS FGF10,PLEKHH2,0.47404063205417607
Exc L5 THEMIS FGF10,SLC7A11,0.47404063205417607
Exc L6 THEMIS LINC00343,THEMIS,0.5643639109097772
Exc L6 THEMIS LINC00343,FRMD6,0.5643639109097772
Exc L6 THEMIS LINC00343,SEMA3A,0.5643639109097772
Exc L6 THEMIS SLN,FAM163A,0.6223628691983122
Exc L6 THEMIS SLN,ITGA11,0.6223628691983122
Exc L6 THEMIS SLN,THEMIS,0.6223628691983122
Exc L6 THEMIS SLN,HPCAL1,0.6223628691983122
Exc L6 THEMIS SNTG2,SNTG2,0.46404682274247494
Exc L6 THEMIS SNTG2,THEMIS,0.46404682274247494
Exc L6 THEMIS SNTG2,DCHS2,0.46404682274247494
Exc L5-6 THEMIS SMYD1,ATP10A,0.8190954773869347
Exc L5-6 THEMIS SMYD1,STK32B,0.8190954773869347
Exc L5-6 FEZF2 OR1L8,LGR6,0.6324110671936759
Exc L5-6 FEZF2 OR1L8,MYOF,0.6324110671936759
Exc L5 THEMIS LINC01116,GAS2L3,0.6746987951807228
Exc L5 THEMIS LINC01116,SYT6,0.6746987951807228
Exc L5 THEMIS LINC01116,ITGA11,0.6746987951807228
Exc L5 THEMIS LINC01116,SYT2,0.6746987951807228
Exc L5 THEMIS LINC01116,DPP4,0.6746987951807228
Exc L5 THEMIS RGPD6,DDR2,0.4898336414048059
Exc L5 THEMIS RGPD6,ITGA11,0.4898336414048059
Exc L5 THEMIS RGPD6,THEMIS,0.4898336414048059
Exc L5 THEMIS RGPD6,ADAMTSL1,0.4898336414048059
Exc L5-6 FEZF2 C9orf135-AS1,SULF1,0.6942645698427382
Exc L5-6 FEZF2 C9orf135-AS1,SEMA3E,0.6942645698427382
Exc L5-6 FEZF2 C9orf135-AS1,HS3ST4,0.6942645698427382
Exc L5-6 FEZF2 FILIP1L,MYBPC1,0.4020618556701031
Exc L5-6 FEZF2 FILIP1L,MCTP2,0.4020618556701031
Exc L5-6 FEZF2 FILIP1L,SULF1,0.4020618556701031
Exc L5-6 FEZF2 SH2D1B,ADAMTSL1,0.43175487465181056
Exc L5-6 FEZF2 SH2D1B,SLC5A8,0.43175487465181056
Exc L5-6 FEZF2 SH2D1B,NLGN4Y,0.43175487465181056
Exc L5-6 FEZF2 SH2D1B,PAPSS2,0.43175487465181056
Exc L6 FEZF2 PDYN,PDYN,0.6521739130434783
Exc L6 FEZF2 PDYN,GBP2,0.6521739130434783
Exc L6 FEZF2 FFAR4,PCOLCE2,0.6153846153846154
Exc L6 FEZF2 FFAR4,ERG,0.6153846153846154
Exc L6 FEZF2 FFAR4,SEMA3C,0.6153846153846154
Exc L6 FEZF2 PROKR2,SLC15A5,0.589622641509434
Exc L6 FEZF2 PROKR2,RNF220,0.589622641509434
Exc L6 FEZF2 PROKR2,VCAN,0.589622641509434
Exc L5-6 FEZF2 CFTR,CLDN1,0.42338709677419356
Exc L5-6 FEZF2 CFTR,NR4A2,0.42338709677419356
Exc L5-6 FEZF2 CFTR,ITGA11,0.42338709677419356
Exc L6 FEZF2 KLK7,SEMA3D,0.8125595967851791
Exc L6 FEZF2 KLK7,MDFIC,0.8125595967851791
Exc L6 FEZF2 POGK,PCOLCE2,0.42735042735042733
Exc L6 FEZF2 POGK,MGST1,0.42735042735042733
Exc L6 FEZF2 POGK,MYOF,0.42735042735042733
Exc L6 FEZF2 POGK,GLRA3,0.42735042735042733
Exc L5 FEZF2 CSN1S1,OPN4,0.6979695431472082
Exc L5 FEZF2 CSN1S1,NRP2,0.6979695431472082
Exc L5 FEZF2 CSN1S1,VAT1L,0.6979695431472082
Exc L5 FEZF2 CSN1S1,SULF2,0.6979695431472082
Exc L3-5 FEZF2 ASGR2,OR51E2,0.8512611275964391
Exc L3-5 FEZF2 ASGR2,SEMA3D,0.8512611275964391
Exc L3-5 FEZF2 LINC01107,EDNRB,0.8545918367346939
Exc L3-5 FEZF2 LINC01107,OR51E2,0.8545918367346939
Exc L5 FEZF2 PKD2L1,VGLL3,0.7828282828282829
Exc L5 FEZF2 PKD2L1,ATP2C2,0.7828282828282829
Exc L5 FEZF2 NREP-AS1,C4orf19,0.6648451730418944
Exc L5 FEZF2 NREP-AS1,ADAMTS12,0.6648451730418944
Exc L5 FEZF2 NREP-AS1,GALNT10,0.6648451730418944
Exc L5 FEZF2 RNF144A-AS1,NPSR1,0.37202380952380953
Exc L5 FEZF2 RNF144A-AS1,CD36,0.37202380952380953
Exc L5 FEZF2 RNF144A-AS1,TSHZ2,0.37202380952380953
Exc L5-6 FEZF2 IFNG-AS1,BARX2,0.6282231598687295
Exc L5-6 FEZF2 IFNG-AS1,PDE9A,0.6282231598687295
Exc L5-6 FEZF2 LPO,LPO,0.5633802816901409
Exc L5-6 FEZF2 LPO,SULF1,0.5633802816901409
OPC L1-6 PDGFRA COL20A1,STK32A,0.896358543417367
OPC L1-6 PDGFRA COL20A1,VCAN,0.896358543417367
Oligo L3-6 OPALIN ENPP6,LRRC63,0.6041784302653868
Oligo L3-6 OPALIN ENPP6,S100B,0.6041784302653868
Oligo L3-6 OPALIN ENPP6,ST18,0.6041784302653868
Oligo L3-6 OPALIN ENPP6,CDK18,0.6041784302653868
Oligo L2-6 OPALIN FTH1P3,OPALIN,0.8925318761384335
Oligo L2-6 OPALIN FTH1P3,ENPP2,0.8925318761384335
Oligo L5-6 OPALIN LDLRAP1,TGFA,0.5
Oligo L5-6 OPALIN LDLRAP1,SLC25A44,0.5
Astro L1-6 FGFR3 AQP1,TNC,0.8554216867469879
Astro L1-6 FGFR3 AQP1,GFAP,0.8554216867469879
