clusterName,onTarget
Inh L1 LAMP5 PVRL2,0.11743262869363623
Inh L1 LAMP5 RAB11FIP1,0.15815297663707076
Inh L1-6 LAMP5 AARD,0.07088745134645429
Inh L1-6 LAMP5 NES,0.1086301680738877
Inh L1-6 LAMP5 CA1,0.3138040045374525
Inh L5-6 LAMP5 CRABP1,0.13692319884136334
Inh L3-6 PAX6 LINC01497,0.17405075933420494
Inh L1 PAX6 MIR101-1,0.14805396886666689
Inh L1 PAX6 CHRFAM7A,0.04293535687567842
Inh L1-6 VIP SLC7A6OS,0.16229346189887545
Inh L2 PAX6 FREM2,0.5924997537353268
Inh L1-2 VIP HTR3A,0.38687356549180674
Inh L1-2 VIP WNT4,0.1756908235930616
Inh L1 LAMP5 BMP2,0.11137550876485797
Inh L1 LAMP5 NMBR,0.11470190669654187
Inh L1 PVALB SST ASIC4,0.1498544086853002
Inh L1 SST P4HA3,0.11483422674300885
Inh L1 SST DEFB108B,0.13614849021438236
Inh L1-3 VIP CBLN1,0.09660956608439615
Inh L1-2 VIP EXPH5,0.09284677500995263
Inh L1-3 VIP HSPB6,0.119991187001569
Inh L1-2 VIP PTGER3,0.08010808854024143
Inh L1-2 VIP SCML4,0.05762443887887956
Inh L1-3 VIP FNDC1,0.09870118409555037
Inh L1-3 VIP CHRNA2,0.09687201576465927
Inh L2 VIP SLC6A16,0.12808215131294234
Inh L1 VIP KLHDC8B,0.5236440201076911
Inh L3-5 VIP IGDCC3,0.5372506227688627
Inh L1-5 VIP SMOC1,0.15293629086092442
Inh L3-5 VIP HS3ST3A1,0.1712730107003444
Inh L5-6 VIP COL4A3,0.11246823161905081
Inh L1-5 VIP CD27-AS1,0.06248950420452522
Inh L2-5 VIP BSPRY,0.07310419819696273
Inh L2-5 VIP SOX11,0.2380907308938215
Inh L3-6 VIP ZIM2-AS1,0.2998070171007589
Inh L1-5 VIP PHLDB3,0.0876611820170675
Inh L1-5 VIP LINC01013,0.07079114984528526
Inh L3-6 VIP UG0898H09,0.11018115301340715
Inh L3-5 VIP TAC3,0.06470782840399852
Inh L1-6 SST NPY,1.0
Inh L3-5 SST CDH3,0.2717024206550517
Inh L5 SST RPL35AP11,0.05827735477152863
Inh L5-6 SST ISX,0.03535413099819915
Inh L5-6 PVALB SST CRHR2,0.11109275733019806
Inh L3-5 SST OR5AH1P,0.06389464477179645
Inh L3-5 SST GGTLC3,0.07720930325872004
Inh L2-3 SST NMU,0.07506466199385713
Inh L5-6 SST PAWR,0.03808570302907826
Inh L5-6 SST PIK3CD,0.14037724273599103
Inh L1-2 SST CCNJL,0.062125626142682265
Inh L1-3 SST FAM20A,0.06382355638990295
Inh L1-2 SST PRRT4,0.13379896066519106
Inh L5-6 SST BEAN1,0.04855717050103282
Inh L5-6 SST DNAJC14,0.09321722622060379
Inh L5-6 SST C4orf26,0.12036477771949332
Inh L5-6 SST FBN2,0.09777727348263585
Inh L5-6 SST KLHL1,0.16473657331572583
Inh L6 SST TH,0.5470036274393404
Inh L5-6 PVALB KCNIP2,0.07431044019992303
Inh L5-6 PVALB ZFPM2-AS1,0.05230078199557087
Inh L3-5 PVALB ISG20,0.1509252031706836
Inh L5 PVALB LRIG3,0.05124892183904244
Inh L2-5 PVALB HHIPL1,0.10070659867947053
Inh L2-5 PVALB RPH3AL,0.06341210177211065
Inh L3 PVALB SAMD13,0.5554000541082142
Inh L1-2 PVALB CDK20,0.06337478376062332
Inh L2 PVALB FRZB,0.0683563278899614
Inh L1-2 SST CLIC6,0.09553485114425278
Inh L5-6 PVALB GAPDHP60,0.05608551325449624
Inh L5-6 PVALB FAM150B,0.24606842195224132
Inh L5-6 PVALB MEPE,0.41711748121585235
Inh L1-6 PVALB COL15A1,0.3332200727134859
Exc L2 LAMP5 KCNG3,0.07705243954001273
Exc L2 LINC00507 ATP7B,0.08135076277642454
Exc L2 LINC00507 GLRA3,0.050126846103289026
Exc L2-3 RORB RTKN2,0.05280071221721379
Exc L2-3 LINC00507 DSG3,0.24882821408651215
Exc L3 LAMP5 CARM1P1,0.10809988688093822
Oligo L2-6 OPALIN MAP6D1,0.11170830425161421
Exc L2-3 RORB CCDC68,0.08795507528627958
Exc L2-3 RORB PTPN3,0.06599433184825751
Exc L3 THEMIS ENPEP,0.07441641281097039
Exc L3-5 RORB TNNT2,0.5442098398122026
Exc L3-5 RORB LAMA4,0.05926224434447858
Exc L5 THEMIS VILL,0.1275512518733161
Exc L3 RORB OTOGL,0.2767078190490023
Exc L3-5 RORB LINC01202,0.02297243493047731
Exc L5 THEMIS SLC22A18,0.232946076501131
Exc L5-6 THEMIS TNFAIP6,0.03759546910146817
Exc L3-5 RORB LNX2,0.06220010327908559
Exc L3-5 RORB RPRM,0.3625378850589669
Exc L5 RORB MED8,0.13767803764955974
Exc L5 THEMIS FGF10,0.13877493097948415
Exc L6 THEMIS LINC00343,0.058926182451539716
Exc L6 THEMIS SLN,0.061722023452242925
Exc L6 THEMIS SNTG2,0.10912112492978125
Exc L5-6 THEMIS SMYD1,0.25033573608954507
Exc L5-6 FEZF2 OR1L8,0.3758241286516695
Exc L5 THEMIS LINC01116,0.08107866408136723
Exc L5 THEMIS RGPD6,0.05649067767363762
Exc L5-6 FEZF2 C9orf135-AS1,0.044692974388172116
Exc L5-6 FEZF2 FILIP1L,0.05271084965747985
Exc L5-6 FEZF2 SH2D1B,0.05622185899860606
Exc L6 FEZF2 PDYN,1.0
Exc L6 FEZF2 FFAR4,0.10320039000000414
Exc L6 FEZF2 PROKR2,0.08689754673187274
Exc L5-6 FEZF2 CFTR,0.2664534422757295
Exc L6 FEZF2 KLK7,0.18120144856237264
Exc L6 FEZF2 POGK,0.19626835011600346
Exc L5 FEZF2 CSN1S1,0.11609091906591246
Exc L3-5 FEZF2 ASGR2,0.2952033530425283
Exc L3-5 FEZF2 LINC01107,0.750612959031398
Exc L5 FEZF2 PKD2L1,0.32667686782226807
Exc L5 FEZF2 NREP-AS1,0.18959894886425901
Exc L5 FEZF2 RNF144A-AS1,0.3184760317848143
Exc L5-6 FEZF2 IFNG-AS1,0.3397024281055616
Exc L5-6 FEZF2 LPO,0.5413087896782844
OPC L1-6 PDGFRA COL20A1,0.5832362758233589
Oligo L3-6 OPALIN ENPP6,0.279378345063669
Oligo L2-6 OPALIN FTH1P3,0.36813277774577546
Oligo L5-6 OPALIN LDLRAP1,1.0
Astro L1-6 FGFR3 AQP1,0.5741242104247104
Astro L1 FGFR3 SERPINI2,0.761531702185785
Astro L1-6 FGFR3 PLCG1,0.35517129335426945
Endo L2-5 NOSTRIN SRGN,1.0
