clusterName,markerGene,onTarget_per_gene,onTarget
Inh L1 LAMP5 PVRL2,NDNF,0.11743262869363623,0.11743262869363623
Inh L1 LAMP5 PVRL2,TRPC3,0.1295936462195632,0.11743262869363623
Inh L1 LAMP5 PVRL2,GOLIM4,0.05517965267174111,0.11743262869363623
Inh L1 LAMP5 RAB11FIP1,MYH11,0.5020071499039573,0.15815297663707076
Inh L1 LAMP5 RAB11FIP1,ADAMTS20,0.20961616790114446,0.15815297663707076
Inh L1 LAMP5 RAB11FIP1,KIT,0.10668978537299707,0.15815297663707076
Inh L1 LAMP5 RAB11FIP1,FREM1,0.08431190243484984,0.15815297663707076
Inh L1-6 LAMP5 AARD,KIT,0.11142510888471119,0.07088745134645429
Inh L1-6 LAMP5 AARD,FREM1,0.07088745134645429,0.07088745134645429
Inh L1-6 LAMP5 AARD,FBXL7,0.062456965221470775,0.07088745134645429
Inh L1-6 LAMP5 NES,ROR2,0.20624052962602998,0.1086301680738877
Inh L1-6 LAMP5 NES,EYA4,0.10864095223913624,0.1086301680738877
Inh L1-6 LAMP5 NES,KIT,0.10861938390863918,0.1086301680738877
Inh L1-6 LAMP5 NES,NTNG1,0.07546260136780775,0.1086301680738877
Inh L1-6 LAMP5 CA1,CHST9,0.42314690459253484,0.3138040045374525
Inh L1-6 LAMP5 CA1,NOS1,0.20446110448237015,0.3138040045374525
Inh L5-6 LAMP5 CRABP1,PDGFD,0.18268140220943702,0.13692319884136334
Inh L5-6 LAMP5 CRABP1,NTNG1,0.09116499547328963,0.13692319884136334
Inh L3-6 PAX6 LINC01497,PALMD,0.2655720620171739,0.17405075933420494
Inh L3-6 PAX6 LINC01497,RELN,0.08252945665123597,0.17405075933420494
Inh L1 PAX6 MIR101-1,TGFBR2,0.20649398573646638,0.14805396886666689
Inh L1 PAX6 MIR101-1,RELN,0.08961395199686742,0.14805396886666689
Inh L1 PAX6 CHRFAM7A,LAMA3,0.04293535687567842,0.04293535687567842
Inh L1 PAX6 CHRFAM7A,ARHGAP42,0.05344360293810986,0.04293535687567842
Inh L1 PAX6 CHRFAM7A,CNR1,0.04199329463319346,0.04293535687567842
Inh L1-6 VIP SLC7A6OS,TRPC7,0.6271068114855242,0.16229346189887545
Inh L1-6 VIP SLC7A6OS,PBX3,0.16229346189887545,0.16229346189887545
Inh L1-6 VIP SLC7A6OS,PDLIM5,0.1469957268869057,0.16229346189887545
Inh L2 PAX6 FREM2,CILP2,1.0,0.5924997537353268
Inh L2 PAX6 FREM2,IGFBP7,0.18499950747065358,0.5924997537353268
Inh L1-2 VIP HTR3A,HTR3A,0.6690227499695487,0.38687356549180674
Inh L1-2 VIP HTR3A,MCTP2,0.10472438101406473,0.38687356549180674
Inh L1-2 VIP WNT4,CFAP47,0.22198769718380904,0.1756908235930616
Inh L1-2 VIP WNT4,SYT9,0.1756908235930616,0.1756908235930616
Inh L1-2 VIP WNT4,GABRG1,0.1307945488655931,0.1756908235930616
Inh L1 LAMP5 BMP2,NPNT,0.19203278862504683,0.11137550876485797
