clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Inh L1 LAMP5 PVRL2,NDNF,0.014096420065244083,0.5865330524790113,0.9650018894439009
Inh L1 LAMP5 PVRL2,TRPC3,0.023155243609778914,2.5022309760490598,0.9470356929006527
Inh L1 LAMP5 PVRL2,CBLN4,0.017573479151404833,1.4880593549248045,0.946239704365186
Inh L1 LAMP5 PVRL2,RELN,0.03169853393553674,4.463725876634532,0.922758967668078
Inh L1 LAMP5 PVRL2,FREM1,0.0175876366404066,2.64620586206974,0.9208965395962836
Inh L1 LAMP5 PVRL2,GOLIM4,0.012273647417016982,1.5870712288627873,0.8648342531072574
Inh L1 LAMP5 PVRL2,ALK,0.0152114323091481,2.7421012389172894,0.8136436236556231
Inh L1 LAMP5 PVRL2,KCNH5,0.01475560915701947,1.770193047564212,0.7762999199256755
Inh L1 LAMP5 PVRL2,DOCK10,0.011502314097733677,2.7001082212040615,0.7265072833188799
Inh L1 LAMP5 PVRL2,HS3ST5,0.015612724758146774,2.795016976029795,0.7228470245440546
Inh L1 LAMP5 RAB11FIP1,MYH11,0.01733596870368972,0.5853948508461115,0.9921269563434154
Inh L1 LAMP5 RAB11FIP1,ADAMTS20,0.027323075106542773,0.7963280066010391,0.9730867717149205
Inh L1 LAMP5 RAB11FIP1,TRPC3,0.02432822549596879,2.6096392267519875,0.9492156124531013
Inh L1 LAMP5 RAB11FIP1,CBLN4,0.016531739945305147,1.3000204940451021,0.9396116143624111
Inh L1 LAMP5 RAB11FIP1,KIT,0.010777818434070989,2.344945343925581,0.9340436633476743
Inh L1 LAMP5 RAB11FIP1,FREM1,0.013118017403927972,2.4468186699177044,0.9145340519921518
Inh L1 LAMP5 RAB11FIP1,RELN,0.045895920289840166,3.70216434009624,0.9117334526123185
Inh L1 LAMP5 RAB11FIP1,KCNH5,0.01822428283714448,2.0041263737300694,0.8019703257728306
Inh L1 LAMP5 RAB11FIP1,TRPC5,0.013106731965020622,1.0983365153042493,0.7884775629738268
Inh L1 LAMP5 RAB11FIP1,HS3ST4,0.014406797701993681,1.540987259628939,0.7879876262528204
Inh L1-6 LAMP5 AARD,CPLX3,0.015866309020809342,0.5061497553639691,0.9847552465189298
Inh L1-6 LAMP5 AARD,TRPC3,0.04976057057911826,2.192576383433771,0.9406764778185783
Inh L1-6 LAMP5 AARD,KIT,0.052402673005237335,2.4490234876949635,0.9367092233868499
Inh L1-6 LAMP5 AARD,PKP2,0.020196557298534146,1.631748854147306,0.9171560793495884
Inh L1-6 LAMP5 AARD,FREM1,0.029116633052400007,2.0572272052740823,0.9015187090673186
Inh L1-6 LAMP5 AARD,FBXL7,0.03807871851528197,3.354906787833955,0.8808648849659505
Inh L1-6 LAMP5 AARD,PRELID2,0.02478566838057972,3.585247048518791,0.8767040105417191
Inh L1-6 LAMP5 AARD,EPHA3,0.02183964619777065,2.1561795088007134,0.8546641198436317
Inh L1-6 LAMP5 AARD,FGF13,0.027172206186279167,3.322120154062635,0.8237723104648492
Inh L1-6 LAMP5 AARD,UNC13C,0.02951656529835711,2.9046850938935522,0.7680101971581259
Inh L1-6 LAMP5 NES,ROR2,0.022031889232549343,0.9735955746780144,0.9716818456546307
Inh L1-6 LAMP5 NES,EYA4,0.01435004994558926,2.3003253597764894,0.9360046028162383
Inh L1-6 LAMP5 NES,KIT,0.025341538827028574,2.3873561809703876,0.9350743723472986
Inh L1-6 LAMP5 NES,NTNG1,0.017398711611761698,2.5098128867930094,0.9049147236517712
Inh L1-6 LAMP5 NES,PRELID2,0.015403175985464692,2.828843356817958,0.8517352589564637
Inh L1-6 LAMP5 NES,FGF13,0.016625392989148138,3.2118509918135287,0.8181713343084072
Inh L1-6 LAMP5 NES,CXCL14,0.021568170884494895,1.3049350565745526,0.7758475790795709
Inh L1-6 LAMP5 NES,UNC13C,0.023385430778202515,2.8980726619166477,0.767480874063234
Inh L1-6 LAMP5 NES,DGKD,0.017643316645790913,1.8356328817172942,0.7528135780713755
Inh L1-6 LAMP5 NES,COL25A1,0.012620256548021541,0.9590702555946597,0.7523302319343748
