clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
Astro L1 FGFR3 SERPINI2,0.42411582850065316,0.2287037037037037,0.32638829332067093,0.38719157349390393
Astro L1-6 FGFR3 AQP1,0.6005249995856689,0.33501400560224087,0.4664165220417567,0.2760246035568896
Astro L1-6 FGFR3 PLCG1,0.7188900105399912,0.5237842617152962,0.6509610360732917,0.2872120149058882
Endo L2-5 NOSTRIN SRGN,0.754305858715236,0.5323660714285714,0.6378970948984198,0.5425602063432946
Exc L2 LAMP5 KCNG3,0.1498751458299551,0.0842911877394636,0.11668411623782134,0.05618239178512511
Exc L2 LINC00507 ATP7B,0.2047368450025975,0.07941712204007285,0.12727709694372277,0.05726524837467554
Exc L2 LINC00507 GLRA3,0.5448130058595247,0.4156027232679215,0.505506583119097,0.061563008878369116
Exc L2-3 LINC00507 DSG3,0.2334558577286048,0.1783700980392157,0.20761826246671283,0.05807366877358969
Exc L2-3 RORB CCDC68,0.5366024583702111,0.3144200940658461,0.45183162453889697,0.06928172301707436
Exc L2-3 RORB PTPN3,0.13412551235089018,0.2585995085995086,0.13202226329468936,0.033664701742709406
Exc L2-3 RORB RTKN2,0.13909158526959714,0.17131846958436553,0.1429746261435608,0.05423444538455954
Exc L3 LAMP5 CARM1P1,0.4798098751694072,0.29571381470491265,0.41585903755407266,0.05712206929707036
Exc L3 RORB OTOGL,0.353686426809966,0.24454857856919712,0.3148950550797264,0.04192777286625405
Exc L3 THEMIS ENPEP,0.09798494152926694,0.16101910828025476,0.10223388841217565,0.040760753220010854
Exc L3-5 FEZF2 ASGR2,0.636117249602793,0.26731182795698927,0.4936886709271563,0.12044681886938265
Exc L3-5 FEZF2 LINC01107,0.36819897236648297,0.19015151515151513,0.29287107891180264,0.17611025381724804
Exc L3-5 RORB LAMA4,0.1193168449452842,0.09893333333333333,0.10600138221738714,0.04670168568619293
Exc L3-5 RORB LINC01202,0.17617747054121205,0.15208333333333332,0.16769644711596696,0.03320010700059964
