software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,cluster_id,Inh L1 LAMP5 PVRL2,94,0.08602150537634409,0.07655502392344497,0.1702127659574468,76246,193,78,16,5,"['PAPSS2', 'FBXL7', 'FGF13', 'GOLGA1', 'PPP1R3E']","['PAPSS2', 'FBXL7', 'HES4', 'FGF13', 'GOLGA1', 'PPP1R3E', 'EIF2AK3', 'COLQ', 'SERINC5']",0.037120103595407676,fold_1
4.1,cluster_id,Inh L1 LAMP5 RAB11FIP1,246,0.19271948608137046,0.20930232558139536,0.14634146341463414,76151,136,210,36,4,"['PAPSS2', 'FBXL7', 'HES4', 'EIF2AK3']","['PAPSS2', 'FBXL7', 'HES4', 'FGF13', 'COLQ', 'EIF2AK3', 'GOLGA1', 'TCERG1L', 'DOK5', 'TAMM41']",0.048920034160664705,fold_1
4.1,cluster_id,Inh L1-6 LAMP5 AARD,1539,0.6819168959027074,0.7019374068554396,0.6120857699805068,74594,400,597,942,3,"['PAPSS2', 'FBXL7', 'FGF13']","['CITED2', 'PAPSS2', 'FBXL7', 'HES4', 'FGF13', 'PPP1R3E', 'COLQ', 'DOK5', 'EIF2AK3', 'SERINC5']",0.06174787265285502,fold_1
4.1,cluster_id,Inh L1-6 LAMP5 NES,419,0.24202420242024203,0.22876949740034663,0.315035799522673,75669,445,287,132,3,"['FBXL7', 'FGF13', 'SERINC5']","['FBXL7', 'FGF13', 'COLQ', 'DOK5', 'SERINC5']",0.04166373983384847,fold_1
4.1,cluster_id,Inh L1-6 LAMP5 CA1,465,0.2795470629865534,0.3333333333333333,0.16989247311827957,75910,158,386,79,3,"['PAPSS2', 'MAMLD1', 'FGF13']","['PAPSS2', 'MAMLD1', 'FBXL7', 'FGF13']",0.052506870711232764,fold_1
4.1,cluster_id,Inh L5-6 LAMP5 CRABP1,923,0.48789784638841244,0.47363552266419984,0.5547128927410617,75041,569,411,512,3,"['NOTCH2', 'FBXL7', 'FGF13']","['NOTCH2', 'FBXL7', 'SEMA4B', 'MAMLD1', 'PAPSS2', 'FGF13', 'HES4', 'PPP1R3E', 'GOLGA1', 'ELOVL5']",0.05448153153980833,fold_1
4.1,cluster_id,Inh L3-6 PAX6 LINC01497,84,0.4,0.5517241379310345,0.19047619047619047,76436,13,68,16,4,"['RASGEF1B', 'WNT5A', 'HES4', 'ARHGAP28']","['RASGEF1B', 'WNT5A', 'NRP2', 'OSBPL5', 'HES4', 'ARHGAP28', 'SEMA4B', 'FBXL7', 'ZNF420', 'TCERG1L']",0.19983815538713962,fold_1
4.1,cluster_id,Inh L1 PAX6 MIR101-1,139,0.25054466230936817,0.2875,0.16546762589928057,76337,57,116,23,4,"['WNT5A', 'HES4', 'FBXL7', 'ARHGAP28']","['WNT5A', 'HES4', 'FBXL7', 'ARHGAP28', 'PPP1R3E', 'CTSF', 'FGF13', 'TBC1D30', 'TAMM41', 'EIF2AK3']",0.03900407737495059,fold_1
4.1,cluster_id,Inh L1 PAX6 CHRFAM7A,185,0.02144338095373342,0.017245317496573778,0.8162162162162162,67743,8605,34,151,1,['FBXL7'],['FBXL7'],0.037820338999241435,fold_1
4.1,cluster_id,Inh L1-6 VIP SLC7A6OS,61,0.1652892561983471,0.26666666666666666,0.06557377049180328,76461,11,57,4,4,"['ABCA1', 'CRY1', 'FBXL7', 'ARHGAP28']","['ABCA1', 'SEMA4B', 'CRY1', 'FBXL7', 'ARHGAP28', 'CPQ', 'CHD4', 'ZNF420', 'CTSF', 'ELOVL5']",0.03937674190940203,fold_1
4.1,cluster_id,Inh L2 PAX6 FREM2,108,0.1893939393939394,0.2564102564102564,0.09259259259259259,76396,29,98,10,6,"['SNW1', 'GPR12', 'MTRR', 'SEMA4B', 'FBXL7', 'HES4']","['SNW1', 'GPR12', 'MTRR', 'SEMA4B', 'FBXL7', 'HES4', 'CHD4', 'TBC1D30', 'CPQ', 'WDR35']",0.059160756718266594,fold_1
4.1,cluster_id,Inh L1-2 VIP HTR3A,42,0.2702702702702703,0.5,0.09523809523809523,76487,4,38,4,4,"['UBE2Z', 'ARHGAP28', 'FBXL7', 'DOK5']","['UBE2Z', 'CRY1', 'ARHGAP28', 'SEMA4B', 'FBXL7', 'DOK5', 'DCP2', 'CNTNAP3', 'ADGRB2', 'MLXIP']",0.03308834239935239,fold_1
4.1,cluster_id,Inh L1-2 VIP WNT4,52,0.32894736842105265,0.8333333333333334,0.09615384615384616,76480,1,47,5,3,"['FBXL7', 'ARHGAP28', 'DOK5']","['FBXO2', 'SEMA4B', 'FBXL7', 'ARHGAP28', 'DOK5', 'HES4', 'CHD4', 'CPQ', 'ELOVL5', 'DCP2']",0.03764734321206046,fold_1
4.1,cluster_id,Inh L1 LAMP5 BMP2,352,0.17257462686567165,0.20555555555555555,0.10511363636363637,76038,143,315,37,4,"['PAPSS2', 'FGF13', 'GOLGA1', 'CTSF']","['PAPSS2', 'FBXL7', 'FGF13', 'GOLGA1', 'CTSF', 'EIF2AK3', 'COLQ', 'MB21D2']",0.03198160597977693,fold_1
