,0
Astro L1-2 FGFR3 GFAP,442
Astro L1-6 FGFR3 SLC14A1,617
Endo L2-6 NOSTRIN,338
Exc L2 LAMP5 LTK,332
Exc L2-3 LINC00507 FREM3,1750
Exc L2-4 LINC00507 GLP2R,359
Exc L3-4 RORB CARM1P1,1657
Exc L3-5 RORB COL22A1,336
Exc L3-5 RORB ESR1,236
Exc L3-5 RORB FILIP1L,516
Exc L3-5 RORB TWIST2,288
Exc L4-5 FEZF2 SCN4B,3447
Exc L4-5 RORB DAPK2,228
Exc L4-5 RORB FOLH1B,2236
Exc L4-6 FEZF2 IL26,678
Exc L4-6 RORB C1R,517
Exc L4-6 RORB SEMA3E,299
Exc L5-6 FEZF2 ABO,1413
Exc L5-6 FEZF2 EFTUD1P1,2177
Exc L5-6 FEZF2 IL15,1299
Exc L5-6 RORB TTC12,1764
Exc L5-6 THEMIS C1QL3,2032
Exc L5-6 THEMIS CRABP1,1927
Exc L5-6 THEMIS DCSTAMP,2386
Exc L5-6 THEMIS FGF10,2073
Exc L6 FEZF2 OR2T8,2933
Exc L6 FEZF2 SCUBE1,1910
Inh L1 LAMP5 NMBR,166
Inh L1 SST CHRNA4,221
Inh L1-2 ADARB2 MC4R,146
Inh L1-2 LAMP5 DBP,576
Inh L1-2 PAX6 CDH12,275
Inh L1-2 PAX6 TNFAIP8L3,1797
Inh L1-2 SST BAGE2,90
Inh L1-2 VIP LBH,615
Inh L1-2 VIP PCDH20,188
Inh L1-2 VIP TSPAN12,312
Inh L1-3 SST CALB1,234
Inh L1-3 VIP ADAMTSL1,224
Inh L1-3 VIP CCDC184,384
Inh L1-3 VIP CHRM2,160
Inh L1-3 VIP GGH,172
Inh L1-3 VIP SYT6,1354
Inh L1-4 LAMP5 LCP2,217
Inh L1-4 VIP CHRNA6,362
Inh L1-4 VIP OPRM1,198
Inh L1-4 VIP PENK,1194
Inh L2-3 VIP CASC6,763
Inh L2-4 PVALB WFDC2,456
Inh L2-4 SST FRZB,236
Inh L2-4 VIP CBLN1,150
Inh L2-4 VIP SPAG17,222
Inh L2-5 PVALB SCUBE3,501
Inh L2-5 VIP SERPINF1,168
Inh L2-5 VIP TYR,218
Inh L2-6 LAMP5 CA1,316
Inh L2-6 VIP QPCT,338
Inh L3-5 SST ADGRG6,191
Inh L3-6 SST HPGD,455
Inh L3-6 SST NPY,1391
Inh L3-6 VIP HS3ST3A1,295
Inh L4-5 PVALB MEPE,1120
Inh L4-5 SST STK32A,117
Inh L4-6 PVALB SULF1,286
Inh L4-6 SST B3GAT2,145
Inh L4-6 SST GXYLT2,488
Inh L5-6 LHX6 GLP1R,1061
Inh L5-6 PVALB LGR5,362
Inh L5-6 SST KLHDC8A,821
Inh L5-6 SST MIR548F2,852
Inh L5-6 SST NPM1P10,291
Inh L5-6 SST TH,1077
Micro L1-6 TYROBP,347
OPC L1-6 PDGFRA,232
Oligo L1-6 OPALIN,347
