clusterName,markerGene,onTarget_per_gene,onTarget
Inh L1-2 PAX6 CDH12,TGFBR2,0.2037090546473243,0.20640588147533756
Inh L1-2 PAX6 CDH12,CPLX3,0.20910270830335084,0.20640588147533756
Inh L1-2 PAX6 TNFAIP8L3,LINC01497,1.0,0.770144263213003
Inh L1-2 PAX6 TNFAIP8L3,EYA1,0.540288526426006,0.770144263213003
Inh L1 LAMP5 NMBR,NDNF,0.5084574512661992,0.3815703361981745
Inh L1 LAMP5 NMBR,SV2C,0.25468322113014974,0.3815703361981745
Inh L1-4 LAMP5 LCP2,CPLX3,0.20377377161838192,0.17711393622434277
Inh L1-4 LAMP5 LCP2,KIT,0.1504541008303036,0.17711393622434277
Inh L1-2 LAMP5 DBP,CBLN4,0.2318365150003452,0.2318365150003452
Inh L2-6 LAMP5 CA1,SFRP1,0.8686319296202538,0.6105180035590905
Inh L2-6 LAMP5 CA1,PDGFD,0.3524040774979271,0.6105180035590905
Inh L1 SST CHRNA4,SEMA3C,0.22420785552001615,0.17299795581477456
Inh L1 SST CHRNA4,ANKFN1,0.121788056109533,0.17299795581477456
Inh L1-2 ADARB2 MC4R,ARHGAP36,0.4978435754510321,0.32932369332369776
Inh L1-2 ADARB2 MC4R,ADAM33,0.16080381119636342,0.32932369332369776
Inh L1-2 SST BAGE2,BAGE2,1.0,0.5779229995227202
Inh L1-2 SST BAGE2,SEMA3C,0.1558459990454404,0.5779229995227202
Inh L1-3 VIP SYT6,SYT6,1.0,0.6153973791176923
Inh L1-3 VIP SYT6,VIPR2,0.6153973791176923,0.6153973791176923
Inh L1-3 VIP SYT6,EPS8,0.22291930296209295,0.6153973791176923
Inh L1-2 VIP TSPAN12,LINC01539,0.09435771208281486,0.10893141747548486
Inh L1-2 VIP TSPAN12,DCN,0.17520267782705648,0.10893141747548486
Inh L1-2 VIP TSPAN12,LAMA3,0.10893141747548486,0.10893141747548486
Inh L1-4 VIP CHRNA6,SYT9,0.2837326575215779,0.22144021447101558
Inh L1-4 VIP CHRNA6,CCDC141,0.22144021447101558,0.22144021447101558
Inh L1-4 VIP CHRNA6,EPS8,0.19748507967101597,0.22144021447101558
Inh L1-3 VIP ADAMTSL1,DACH2,0.2716929951600058,0.25029585853592184
Inh L1-3 VIP ADAMTSL1,PCDH18,0.22889872191183785,0.25029585853592184
Inh L1-4 VIP PENK,PENK,0.8967806291888876,0.793603205037273
Inh L1-4 VIP PENK,DNAH11,0.6904257808856583,0.793603205037273
Inh L2-6 VIP QPCT,IGFBP7,0.19937164075556424,0.23804445950895803
Inh L2-6 VIP QPCT,PCP4,0.2767172782623518,0.23804445950895803
Inh L3-6 VIP HS3ST3A1,ABI3BP,0.3995668655947279,0.2563272615852643
Inh L3-6 VIP HS3ST3A1,IQGAP2,0.2563272615852643,0.2563272615852643
Inh L3-6 VIP HS3ST3A1,SLC22A3,0.2095026315483236,0.2563272615852643
Inh L1-2 VIP PCDH20,SP8,0.21668528801055706,0.12340262243402646
Inh L1-2 VIP PCDH20,MCTP2,0.07450671394662316,0.12340262243402646
Inh L1-2 VIP PCDH20,CRH,0.12340262243402646,0.12340262243402646
Inh L2-5 VIP SERPINF1,SERPINF1,0.6004790671978856,0.4609754598329874
Inh L2-5 VIP SERPINF1,LINC01583,0.32147185246808924,0.4609754598329874
Inh L2-5 VIP TYR,COL15A1,0.0662738942436729,0.14880192555809996
Inh L2-5 VIP TYR,IQGAP2,0.23132995687252703,0.14880192555809996
Inh L1-3 VIP CHRM2,HRH3,0.3413578733307548,0.2682906382991328
Inh L1-3 VIP CHRM2,EMID1,0.19522340326751075,0.2682906382991328
Inh L2-4 VIP CBLN1,MME,0.31773656243582504,0.25491228985606806
Inh L2-4 VIP CBLN1,HTR2C,0.25491228985606806,0.25491228985606806
Inh L2-4 VIP CBLN1,SLC22A3,0.17784951881558142,0.25491228985606806
Inh L1-3 VIP CCDC184,SCML4,0.5255493731536971,0.3613951366992729
Inh L1-3 VIP CCDC184,CD163L1,0.19724090024484872,0.3613951366992729
