software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cluster_id,Inh L1-2 PAX6 CDH12,90,0.78,0.975,0.43333333333333335,15512,1,51,39,2,"['TGFBR2', 'CPLX3']","['TGFBR2', 'DDR2', 'BCHE', 'SP8', 'CPLX3', 'DCN', 'WIF1', 'SDK2', 'RELN', 'COL16A1']",0.20640588147533756
4.1,cluster_id,Inh L1-2 PAX6 TNFAIP8L3,16,0.6944444444444444,1.0,0.3125,15587,0,11,5,2,"['LINC01497', 'EYA1']","['LINC01497', 'SCGN', 'PLSCR2', 'EYA1', 'PALMD', 'BMP3', 'SP8', 'DDR2', 'ANGPT1', 'HCRTR2']",0.770144263213003
4.1,cluster_id,Inh L1 LAMP5 NMBR,283,0.8962693357597816,0.9656862745098039,0.696113074204947,15313,7,86,197,2,"['NDNF', 'SV2C']","['NMBR', 'HS3ST5', 'NDNF', 'BMP6', 'NPNT', 'SV2C', 'FAT1', 'COL5A2', 'FREM1', 'LINC00299']",0.3815703361981745
4.1,cluster_id,Inh L1-4 LAMP5 LCP2,356,0.8171641791044776,0.8902439024390244,0.6151685393258427,15220,27,137,219,2,"['CPLX3', 'KIT']","['TRPC3', 'HAPLN1', 'EYA4', 'CPLX3', 'KIT', 'FREM1', 'PKP2', 'NXPH2', 'FBXL7', 'PRELID2']",0.17711393622434277
4.1,cluster_id,Inh L1-2 LAMP5 DBP,21,0.3448275862068966,1.0,0.09523809523809523,15582,0,19,2,1,['CBLN4'],"['ADAMTS20', 'MYH11', 'LAMP5', 'EYA4', 'CBLN4', 'CPLX3', 'FREM1', 'UFL1', 'KIT', 'RELN']",0.2318365150003452
4.1,cluster_id,Inh L2-6 LAMP5 CA1,256,0.78125,0.9583333333333334,0.44921875,15342,5,141,115,2,"['SFRP1', 'PDGFD']","['TMEM255A', 'SFTA3', 'SFRP1', 'CA8', 'PDGFD', 'LTBP1', 'LAMP5', 'EYA4', 'HCRTR2', 'ITGA8']",0.6105180035590905
4.1,cluster_id,Inh L1 SST CHRNA4,52,0.5555555555555556,0.625,0.38461538461538464,15539,12,32,20,2,"['SEMA3C', 'ANKFN1']","['ARHGAP36', 'MC4R', 'SEMA3C', 'RGMB', 'ANKFN1', 'ADAM33', 'LINC00299', 'PRELID2', 'THSD7B', 'COL12A1']",0.17299795581477456
4.1,cluster_id,Inh L1-2 ADARB2 MC4R,107,0.6188925081433225,0.76,0.35514018691588783,15484,12,69,38,2,"['ARHGAP36', 'ADAM33']","['MC4R', 'ARHGAP36', 'RXRG', 'LINC01435', 'NDST4', 'ADAM33', 'ADAMTS9-AS2', 'PRELID2', 'NTN4', 'COBLL1']",0.32932369332369776
4.1,cluster_id,Inh L1-2 SST BAGE2,108,0.4846938775510204,0.8636363636363636,0.17592592592592593,15492,3,89,19,2,"['BAGE2', 'SEMA3C']","['BAGE2', 'SCN5A', 'SYT10', 'PCDH18', 'SEMA3C', 'NDST4', 'GRB14', 'THSD7B', 'ARHGAP18', 'ADAMTSL1']",0.5779229995227202
4.1,cluster_id,Inh L1-3 VIP SYT6,29,0.684931506849315,0.9090909090909091,0.3448275862068966,15573,1,19,10,3,"['SYT6', 'VIPR2', 'EPS8']","['SYT6', 'LINC01539', 'VIPR2', 'SLC17A8', 'EPS8', 'PDLIM5', 'CHRNA7', 'PDE3A', 'CNR1', 'PLCXD3']",0.6153973791176923
