,0
Astro L1-2 FGFR3 GFAP,17
Astro L1-6 FGFR3 SLC14A1,24
Endo L2-6 NOSTRIN,5
Exc L2 LAMP5 LTK,27
Exc L2-3 LINC00507 FREM3,88
Exc L2-4 LINC00507 GLP2R,22
Exc L3-4 RORB CARM1P1,85
Exc L3-5 RORB COL22A1,19
Exc L3-5 RORB ESR1,15
Exc L3-5 RORB FILIP1L,32
Exc L3-5 RORB TWIST2,15
Exc L4-5 FEZF2 SCN4B,125
Exc L4-5 RORB DAPK2,15
Exc L4-5 RORB FOLH1B,95
Exc L4-6 FEZF2 IL26,33
Exc L4-6 RORB C1R,33
Exc L4-6 RORB SEMA3E,22
Exc L5-6 FEZF2 ABO,75
Exc L5-6 FEZF2 EFTUD1P1,89
Exc L5-6 FEZF2 IL15,54
Exc L5-6 RORB TTC12,68
Exc L5-6 THEMIS C1QL3,77
Exc L5-6 THEMIS CRABP1,58
Exc L5-6 THEMIS DCSTAMP,91
Exc L5-6 THEMIS FGF10,70
Exc L6 FEZF2 OR2T8,106
Exc L6 FEZF2 SCUBE1,69
Inh L1 LAMP5 NMBR,13
Inh L1 SST CHRNA4,11
Inh L1-2 ADARB2 MC4R,9
Inh L1-2 LAMP5 DBP,34
Inh L1-2 PAX6 CDH12,11
Inh L1-2 PAX6 TNFAIP8L3,51
Inh L1-2 SST BAGE2,8
Inh L1-2 VIP LBH,22
Inh L1-2 VIP PCDH20,10
Inh L1-2 VIP TSPAN12,14
Inh L1-3 SST CALB1,22
Inh L1-3 VIP ADAMTSL1,15
Inh L1-3 VIP CCDC184,20
Inh L1-3 VIP CHRM2,9
Inh L1-3 VIP GGH,9
Inh L1-3 VIP SYT6,44
Inh L1-4 LAMP5 LCP2,13
Inh L1-4 VIP CHRNA6,18
Inh L1-4 VIP OPRM1,15
Inh L1-4 VIP PENK,37
Inh L2-3 VIP CASC6,40
Inh L2-4 PVALB WFDC2,26
Inh L2-4 SST FRZB,19
Inh L2-4 VIP CBLN1,11
Inh L2-4 VIP SPAG17,22
Inh L2-5 PVALB SCUBE3,29
Inh L2-5 VIP SERPINF1,16
Inh L2-5 VIP TYR,10
Inh L2-6 LAMP5 CA1,24
Inh L2-6 VIP QPCT,10
Inh L3-5 SST ADGRG6,12
Inh L3-6 SST HPGD,26
Inh L3-6 SST NPY,59
Inh L3-6 VIP HS3ST3A1,14
Inh L4-5 PVALB MEPE,43
Inh L4-5 SST STK32A,9
Inh L4-6 PVALB SULF1,9
Inh L4-6 SST B3GAT2,7
Inh L4-6 SST GXYLT2,24
Inh L5-6 LHX6 GLP1R,57
Inh L5-6 PVALB LGR5,13
Inh L5-6 SST KLHDC8A,45
Inh L5-6 SST MIR548F2,40
Inh L5-6 SST NPM1P10,8
Inh L5-6 SST TH,29
Micro L1-6 TYROBP,12
OPC L1-6 PDGFRA,7
Oligo L1-6 OPALIN,14
