clusterName,markerGene,score
Inh L1-2 PAX6 CDH12,LINC00472,0.18518518518518517
Inh L1-2 PAX6 CDH12,PVT1,0.18518518518518517
Inh L1-2 PAX6 CDH12,POT1-AS1,0.18518518518518517
Inh L1-2 PAX6 TNFAIP8L3,LINC01497,0.625
Inh L1-2 PAX6 TNFAIP8L3,MAPT-AS1,0.625
Inh L1-2 PAX6 TNFAIP8L3,LINC01162,0.625
Inh L1 LAMP5 NMBR,PVT1,0.4842219804134929
Inh L1 LAMP5 NMBR,LINC00299,0.4842219804134929
Inh L1-4 LAMP5 LCP2,LINC00842,0.3973509933774834
Inh L1-4 LAMP5 LCP2,LINC00299,0.3973509933774834
Inh L1-2 LAMP5 DBP,NNT-AS1,0.17647058823529413
Inh L1-2 LAMP5 DBP,ALOX12-AS1,0.17647058823529413
Inh L1-2 LAMP5 DBP,LINC00299,0.17647058823529413
Inh L2-6 LAMP5 CA1,SFTA3,0.6555555555555556
Inh L1 SST CHRNA4,LINC00298,0.18518518518518517
Inh L1 SST CHRNA4,CRTC3-AS1,0.18518518518518517
Inh L1 SST CHRNA4,EPHA5-AS1,0.18518518518518517
Inh L1 SST CHRNA4,LINC00299,0.18518518518518517
Inh L1-2 ADARB2 MC4R,ADAMTS9-AS2,0.33112582781456956
Inh L1-2 ADARB2 MC4R,VSTM2A-OT1,0.33112582781456956
Inh L1-2 SST BAGE2,ADAMTS9-AS2,0.15306122448979592
Inh L1-2 SST BAGE2,LINC01411,0.15306122448979592
Inh L1-3 VIP SYT6,LINC01539,0.5263157894736842
Inh L1-3 VIP SYT6,LINC01359,0.5263157894736842
Inh L1-3 VIP SYT6,ADARB2-AS1,0.5263157894736842
Inh L1-2 VIP TSPAN12,LINC01539,0.3723404255319149
Inh L1-2 VIP TSPAN12,LINC00472,0.3723404255319149
Inh L1-2 VIP TSPAN12,LINC00571,0.3723404255319149
Inh L1-4 VIP CHRNA6,ADARB2-AS1,0.18867924528301888
Inh L1-4 VIP CHRNA6,MIATNB,0.18867924528301888
Inh L1-4 VIP CHRNA6,INHBA-AS1,0.18867924528301888
Inh L1-3 VIP ADAMTSL1,LINC01411,0.21875
Inh L1-3 VIP ADAMTSL1,PROX1-AS1,0.21875
Inh L1-4 VIP PENK,ZIM2-AS1,0.23809523809523808
Inh L1-4 VIP PENK,LINC00472,0.23809523809523808
Inh L2-6 VIP QPCT,LINC01583,0.5913978494623656
Inh L2-6 VIP QPCT,LINC00299,0.5913978494623656
Inh L3-6 VIP HS3ST3A1,LINC00571,0.19021739130434784
Inh L3-6 VIP HS3ST3A1,PROX1-AS1,0.19021739130434784
Inh L1-2 VIP PCDH20,LINC01470,0.24896265560165975
Inh L1-2 VIP PCDH20,INHBA-AS1,0.24896265560165975
Inh L2-5 VIP SERPINF1,LINC01583,0.4838709677419355
Inh L2-5 VIP SERPINF1,ARHGEF26-AS1,0.4838709677419355
Inh L2-5 VIP TYR,PROX1-AS1,0.2722772277227723
Inh L2-5 VIP TYR,LINC01470,0.2722772277227723
Inh L2-5 VIP TYR,ARHGEF26-AS1,0.2722772277227723
Inh L2-5 VIP TYR,ADAMTS9-AS2,0.2722772277227723
Inh L1-3 VIP CHRM2,LINC00970,0.29227557411273486
Inh L1-3 VIP CHRM2,ARHGEF26-AS1,0.29227557411273486
Inh L2-4 VIP CBLN1,PROX1-AS1,0.20930232558139536
Inh L2-4 VIP CBLN1,KLF3-AS1,0.20930232558139536
Inh L1-3 VIP CCDC184,NLGN1-AS1,0.29411764705882354
Inh L1-3 VIP CCDC184,LINC01170,0.29411764705882354
Inh L1-3 VIP CCDC184,PROX1-AS1,0.29411764705882354
Inh L1-3 VIP GGH,EPHA5-AS1,0.2403846153846154
Inh L1-3 VIP GGH,LINC01102,0.2403846153846154
Inh L1-2 VIP LBH,FLJ40288,0.22580645161290322
Inh L1-2 VIP LBH,LINC00923,0.22580645161290322
Inh L1-2 VIP LBH,PROX1-AS1,0.22580645161290322
Inh L2-3 VIP CASC6,CASC6,0.45454545454545453
Inh L2-3 VIP CASC6,ADARB2-AS1,0.45454545454545453
Inh L2-3 VIP CASC6,LINC01170,0.45454545454545453
Inh L2-4 VIP SPAG17,LINC00836,0.46153846153846156
Inh L2-4 VIP SPAG17,CDR1,0.46153846153846156
Inh L2-4 VIP SPAG17,NEAT1,0.46153846153846156
Inh L1-4 VIP OPRM1,LINC01583,0.4
Inh L1-4 VIP OPRM1,PWRN1,0.4
Inh L3-6 SST NPY,LINC01014,0.6451612903225806
Inh L3-6 SST NPY,RAPGEF4-AS1,0.6451612903225806
Inh L3-6 SST HPGD,LINC01237,0.3409090909090909
Inh L3-6 SST HPGD,CYP1B1-AS1,0.3409090909090909
Inh L3-6 SST HPGD,DLGAP1-AS5,0.3409090909090909
Inh L3-6 SST HPGD,DNM3OS,0.3409090909090909
Inh L4-6 SST B3GAT2,LINC01237,0.29850746268656714
Inh L4-6 SST B3GAT2,GNG12-AS1,0.29850746268656714
Inh L4-6 SST B3GAT2,TRHDE-AS1,0.29850746268656714
Inh L5-6 SST KLHDC8A,ZBED3-AS1,0.3252032520325203
Inh L5-6 SST KLHDC8A,LINC00943,0.3252032520325203
Inh L5-6 SST KLHDC8A,ZIM2-AS1,0.3252032520325203
Inh L5-6 SST NPM1P10,TRHDE-AS1,0.21052631578947367
Inh L4-6 SST GXYLT2,KCNMB2-AS1,0.41237113402061853
Inh L4-6 SST GXYLT2,TRHDE-AS1,0.41237113402061853
Inh L4-6 SST GXYLT2,OVCH1-AS1,0.41237113402061853
Inh L4-5 SST STK32A,ADAMTS9-AS2,0.210727969348659
Inh L4-5 SST STK32A,LINC01411,0.210727969348659
Inh L4-5 SST STK32A,TRHDE-AS1,0.210727969348659
Inh L1-3 SST CALB1,LINC00534,0.20344287949921752
Inh L3-5 SST ADGRG6,LINC01482,0.41015625
Inh L3-5 SST ADGRG6,ADAMTS9-AS2,0.41015625
Inh L2-4 SST FRZB,EIF1B-AS1,0.23809523809523808
Inh L2-4 SST FRZB,KIRREL3-AS2,0.23809523809523808
Inh L2-4 SST FRZB,SLC26A4-AS1,0.23809523809523808
Inh L2-4 SST FRZB,KLF3-AS1,0.23809523809523808
Inh L5-6 SST TH,LINC01551,0.24096385542168675
Inh L5-6 SST TH,LINC00290,0.24096385542168675
Inh L5-6 LHX6 GLP1R,TMEM51-AS1,0.2857142857142857
Inh L5-6 LHX6 GLP1R,IDI2-AS1,0.2857142857142857
Inh L5-6 LHX6 GLP1R,FGF12-AS3,0.2857142857142857
Inh L5-6 PVALB LGR5,FGF12-AS3,0.14705882352941177
Inh L5-6 PVALB LGR5,CDR1,0.14705882352941177
Inh L4-5 PVALB MEPE,ADGRL3-AS1,0.32051282051282054
Inh L4-5 PVALB MEPE,FGF12-AS3,0.32051282051282054
Inh L4-5 PVALB MEPE,TMEM26-AS1,0.32051282051282054
Inh L4-5 PVALB MEPE,RASSF8-AS1,0.32051282051282054
Inh L2-4 PVALB WFDC2,RASGRF2-AS1,0.26479750778816197
Inh L2-4 PVALB WFDC2,DLGAP1-AS5,0.26479750778816197
Inh L2-4 PVALB WFDC2,RASSF8-AS1,0.26479750778816197
Inh L4-6 PVALB SULF1,RASGRF2-AS1,0.12129380053908356
Inh L4-6 PVALB SULF1,ADAMTS9-AS2,0.12129380053908356
Inh L4-6 PVALB SULF1,LINC01492,0.12129380053908356
Inh L5-6 SST MIR548F2,ZFPM2-AS1,0.5208333333333334
Inh L5-6 SST MIR548F2,ZIM2-AS1,0.5208333333333334
Inh L2-5 PVALB SCUBE3,LINC00943,0.4017857142857143
Inh L2-5 PVALB SCUBE3,IDI2-AS1,0.4017857142857143
Inh L2-5 PVALB SCUBE3,RASGRF2-AS1,0.4017857142857143
Exc L2 LAMP5 LTK,LINC01500,0.6100746268656716
Exc L2 LAMP5 LTK,LINC01378,0.6100746268656716
Exc L2-4 LINC00507 GLP2R,LINC00507,0.16427104722792607
Exc L2-4 LINC00507 GLP2R,LINC01378,0.16427104722792607
Exc L2-4 LINC00507 GLP2R,PVT1,0.16427104722792607
Exc L2-4 LINC00507 GLP2R,PART1,0.16427104722792607
Exc L2-4 LINC00507 GLP2R,LINC00299,0.16427104722792607
Exc L2-3 LINC00507 FREM3,CYP1B1-AS1,0.6447425356988317
Exc L2-3 LINC00507 FREM3,LINC00507,0.6447425356988317
Exc L5-6 THEMIS C1QL3,LINC00343,0.6012084592145015
Exc L5-6 THEMIS C1QL3,LINC01478,0.6012084592145015
Exc L3-4 RORB CARM1P1,VLDLR-AS1,0.31565656565656564
Exc L3-4 RORB CARM1P1,LINC00470,0.31565656565656564
Exc L3-4 RORB CARM1P1,LINC01141,0.31565656565656564
Exc L3-4 RORB CARM1P1,MIR31HG,0.31565656565656564
Exc L3-5 RORB ESR1,MIR31HG,0.5415590008613265
Exc L3-5 RORB ESR1,RORB-AS1,0.5415590008613265
Exc L3-5 RORB ESR1,LY86-AS1,0.5415590008613265
Exc L3-5 RORB COL22A1,F11-AS1,0.6496062992125984
Exc L3-5 RORB COL22A1,RMST,0.6496062992125984
Exc L3-5 RORB FILIP1L,LINC00333,0.3001579778830964
Exc L3-5 RORB FILIP1L,LINC00470,0.3001579778830964
Exc L3-5 RORB FILIP1L,RMST,0.3001579778830964
Exc L3-5 RORB FILIP1L,RORB-AS1,0.3001579778830964
Exc L3-5 RORB TWIST2,LINC01202,0.16574585635359115
Exc L3-5 RORB TWIST2,SNHG8,0.16574585635359115
Exc L4-5 RORB FOLH1B,LINC01435,0.523728813559322
Exc L4-5 RORB FOLH1B,LINC01378,0.523728813559322
Exc L4-5 RORB FOLH1B,RMST,0.523728813559322
Exc L4-5 RORB FOLH1B,RORB-AS1,0.523728813559322
Exc L4-5 RORB FOLH1B,LINC01202,0.523728813559322
Exc L4-6 RORB SEMA3E,MIR31HG,0.29473135106937925
Exc L4-6 RORB SEMA3E,RORB-AS1,0.29473135106937925
Exc L4-6 RORB SEMA3E,LINC01378,0.29473135106937925
Exc L4-6 RORB SEMA3E,LINC01579,0.29473135106937925
Exc L4-5 RORB DAPK2,LINC01179,0.421792618629174
Exc L4-5 RORB DAPK2,LINC01202,0.421792618629174
Exc L5-6 RORB TTC12,LINC00320,0.36619718309859156
Exc L5-6 RORB TTC12,LINC01141,0.36619718309859156
Exc L5-6 RORB TTC12,TUSC7,0.36619718309859156
Exc L5-6 RORB TTC12,ZNF790-AS1,0.36619718309859156
Exc L4-6 RORB C1R,LINC01141,0.23514851485148514
Exc L4-6 RORB C1R,TEX41,0.23514851485148514
Exc L4-5 FEZF2 SCN4B,PRKCQ-AS1,0.4444444444444444
Exc L4-5 FEZF2 SCN4B,ASAP1-IT2,0.4444444444444444
Exc L4-5 FEZF2 SCN4B,FOXP1-AS1,0.4444444444444444
Exc L4-5 FEZF2 SCN4B,BHLHE40-AS1,0.4444444444444444
Exc L4-5 FEZF2 SCN4B,CYP1B1-AS1,0.4444444444444444
Exc L5-6 THEMIS DCSTAMP,STPG2-AS1,0.43795620437956206
Exc L5-6 THEMIS DCSTAMP,SYNPR-AS1,0.43795620437956206
Exc L5-6 THEMIS DCSTAMP,ERC2-IT1,0.43795620437956206
Exc L5-6 THEMIS DCSTAMP,LSAMP-AS1,0.43795620437956206
Exc L5-6 THEMIS CRABP1,LINC00951,0.33444816053511706
