clusterName,markerGene,onTarget_per_gene,onTarget
Inh L1-2 PAX6 CDH12,LINC00472,0.028846290581111853,0.07715097115377158
Inh L1-2 PAX6 CDH12,PVT1,0.11615388892029932,0.07715097115377158
Inh L1-2 PAX6 CDH12,POT1-AS1,0.07715097115377158,0.07715097115377158
Inh L1-2 PAX6 TNFAIP8L3,LINC01497,1.0,0.8717393840927068
Inh L1-2 PAX6 TNFAIP8L3,MAPT-AS1,0.8717393840927068,0.8717393840927068
Inh L1-2 PAX6 TNFAIP8L3,LINC01162,0.3798470791697908,0.8717393840927068
Inh L1 LAMP5 NMBR,PVT1,0.11625172362370534,0.11581420103597179
Inh L1 LAMP5 NMBR,LINC00299,0.11537667844823822,0.11581420103597179
Inh L1-4 LAMP5 LCP2,LINC00842,0.04548436301042879,0.07542071218996242
Inh L1-4 LAMP5 LCP2,LINC00299,0.10535706136949606,0.07542071218996242
Inh L1-2 LAMP5 DBP,NNT-AS1,0.04893653591440844,0.1143034756629669
Inh L1-2 LAMP5 DBP,ALOX12-AS1,0.1248330916476961,0.1143034756629669
Inh L1-2 LAMP5 DBP,LINC00299,0.1143034756629669,0.1143034756629669
Inh L2-6 LAMP5 CA1,SFTA3,1.0,1.0
Inh L1 SST CHRNA4,LINC00298,0.1623474688906951,0.14622581889444858
Inh L1 SST CHRNA4,CRTC3-AS1,0.15137149851925283,0.14622581889444858
Inh L1 SST CHRNA4,EPHA5-AS1,0.1410801392696443,0.14622581889444858
Inh L1 SST CHRNA4,LINC00299,0.10269087480355985,0.14622581889444858
Inh L1-2 ADARB2 MC4R,ADAMTS9-AS2,0.10093758842887758,0.08070624446874033
Inh L1-2 ADARB2 MC4R,VSTM2A-OT1,0.060474900508603095,0.08070624446874033
Inh L1-2 SST BAGE2,ADAMTS9-AS2,0.054756755731730146,0.053593387289880126
Inh L1-2 SST BAGE2,LINC01411,0.052430018848030106,0.053593387289880126
Inh L1-3 VIP SYT6,LINC01539,0.9056422879171852,0.748375413969285
Inh L1-3 VIP SYT6,LINC01359,0.748375413969285,0.748375413969285
Inh L1-3 VIP SYT6,ADARB2-AS1,0.4790326346811922,0.748375413969285
Inh L1-2 VIP TSPAN12,LINC01539,0.09435771208281486,0.11308068278512269
Inh L1-2 VIP TSPAN12,LINC00472,0.39719903893001585,0.11308068278512269
Inh L1-2 VIP TSPAN12,LINC00571,0.11308068278512269,0.11308068278512269
Inh L1-4 VIP CHRNA6,ADARB2-AS1,0.25253995598334866,0.1916399275704169
Inh L1-4 VIP CHRNA6,MIATNB,0.1916399275704169,0.1916399275704169
Inh L1-4 VIP CHRNA6,INHBA-AS1,0.09037678565264262,0.1916399275704169
Inh L1-3 VIP ADAMTSL1,LINC01411,0.07632907306329421,0.044289566107256984
Inh L1-3 VIP ADAMTSL1,PROX1-AS1,0.012250059151219756,0.044289566107256984
Inh L1-4 VIP PENK,ZIM2-AS1,0.8465916205311376,0.5721994739855263
Inh L1-4 VIP PENK,LINC00472,0.2978073274399149,0.5721994739855263
Inh L2-6 VIP QPCT,LINC01583,0.19039584100655874,0.13510834621505352
Inh L2-6 VIP QPCT,LINC00299,0.07982085142354832,0.13510834621505352
Inh L3-6 VIP HS3ST3A1,LINC00571,0.12489484259338621,0.10760399059229481
Inh L3-6 VIP HS3ST3A1,PROX1-AS1,0.09031313859120342,0.10760399059229481
Inh L1-2 VIP PCDH20,LINC01470,0.1870010478418298,0.12098735138940156
Inh L1-2 VIP PCDH20,INHBA-AS1,0.05497365493697332,0.12098735138940156
Inh L2-5 VIP SERPINF1,LINC01583,0.32147185246808924,0.20264874308478958
Inh L2-5 VIP SERPINF1,ARHGEF26-AS1,0.08382563370148996,0.20264874308478958
Inh L2-5 VIP TYR,PROX1-AS1,0.13671572200253596,0.06173300198648414
Inh L2-5 VIP TYR,LINC01470,0.07833312059463252,0.06173300198648414
Inh L2-5 VIP TYR,ARHGEF26-AS1,0.036910069854059625,0.06173300198648414
