software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cluster_id,Inh L1-2 PAX6 CDH12,90,0.18518518518518517,0.3333333333333333,0.06666666666666667,15501,12,84,6,3,"['LINC00472', 'PVT1', 'POT1-AS1']","['LINC00472', 'PVT1', 'POT1-AS1', 'INHBA-AS1', 'LINC00922', 'KIRREL3-AS2', 'LINC00299', 'ENTPD3-AS1', 'ZNF528-AS1', 'NR2F2-AS1']",0.07715097115377158
4.1,cluster_id,Inh L1-2 PAX6 TNFAIP8L3,16,0.625,1.0,0.25,15587,0,12,4,3,"['LINC01497', 'MAPT-AS1', 'LINC01162']","['LINC01497', 'MAPT-AS1', 'DIO2-AS1', 'LINC01563', 'MIR4458HG', 'LINC01162', 'LINC01473', 'RASSF8-AS1', 'MIR7-3HG', 'SLC16A1-AS1']",0.8717393840927068
4.1,cluster_id,Inh L1 LAMP5 NMBR,283,0.4842219804134929,0.559748427672956,0.31448763250883394,15250,70,194,89,2,"['PVT1', 'LINC00299']","['LINC00298', 'PVT1', 'LINC00299', 'LINC01094', 'ARHGEF26-AS1', 'LINC01237', 'POT1-AS1', 'LINC00937', 'ADAMTS9-AS2', 'LINC00922']",0.11581420103597179
4.1,cluster_id,Inh L1-4 LAMP5 LCP2,356,0.3973509933774834,0.7741935483870968,0.1348314606741573,15233,14,308,48,2,"['LINC00842', 'LINC00299']","['LINC00842', 'MIRLET7BHG', 'LINC00298', 'VLDLR-AS1', 'LINC00299', 'LINC01237', 'TARID', 'ADAMTS9-AS2', 'TEX41', 'KLF3-AS1']",0.07542071218996242
4.1,cluster_id,Inh L1-2 LAMP5 DBP,21,0.17647058823529413,0.1875,0.14285714285714285,15569,13,18,3,3,"['NNT-AS1', 'ALOX12-AS1', 'LINC00299']","['LINC00298', 'TTTY10', 'ARHGEF26-AS1', 'NNT-AS1', 'ALOX12-AS1', 'LINC00299', 'LINC01094', 'RNF216P1', 'TARID', 'POT1-AS1']",0.1143034756629669
4.1,cluster_id,Inh L2-6 LAMP5 CA1,256,0.6555555555555556,0.7329192546583851,0.4609375,15304,43,138,118,1,['SFTA3'],"['SFTA3', 'LINC01344', 'LINC01237', 'TARID', 'LINC00534', 'LINC00298', 'VLDLR-AS1', 'AQP4-AS1', 'LINC00299', 'KIRREL3-AS2']",1.0
4.1,cluster_id,Inh L1 SST CHRNA4,52,0.18518518518518517,0.2857142857142857,0.07692307692307693,15541,10,48,4,4,"['LINC00298', 'CRTC3-AS1', 'EPHA5-AS1', 'LINC00299']","['LINC00298', 'CRTC3-AS1', 'EPHA5-AS1', 'LINC00299', 'PVT1', 'ARHGEF26-AS1', 'LINC01435', 'PROX1-AS1', 'VSTM2A-OT1', 'NR2F2-AS1']",0.14622581889444858
4.1,cluster_id,Inh L1-2 ADARB2 MC4R,107,0.33112582781456956,0.9090909090909091,0.09345794392523364,15495,1,97,10,2,"['ADAMTS9-AS2', 'VSTM2A-OT1']","['LINC01435', 'CDR1', 'ADAMTS9-AS2', 'LINC00265', 'VSTM2A-OT1', 'PROX1-AS1', 'RRN3P2', 'NR2F2-AS1', 'PVT1']",0.08070624446874033
4.1,cluster_id,Inh L1-2 SST BAGE2,108,0.15306122448979592,0.2727272727272727,0.05555555555555555,15479,16,102,6,2,"['ADAMTS9-AS2', 'LINC01411']","['PROX1-AS1', 'LINC00922', 'LINC01090', 'ADAMTS9-AS2', 'ARHGEF26-AS1', 'LINC01411', 'LINC01102', 'NR2F2-AS1']",0.053593387289880126
4.1,cluster_id,Inh L1-3 VIP SYT6,29,0.5263157894736842,0.8571428571428571,0.20689655172413793,15573,1,23,6,3,"['LINC01539', 'LINC01359', 'ADARB2-AS1']","['LINC01539', 'LINC01359', 'ADARB2-AS1', 'LINC00472', 'MIR646HG', 'LINC01470', 'MIR4458HG', 'FOXG1-AS1', 'LARGE-AS1', 'LINC00641']",0.748375413969285
4.1,cluster_id,Inh L1-2 VIP TSPAN12,42,0.3723404255319149,0.5384615384615384,0.16666666666666666,15555,6,35,7,3,"['LINC01539', 'LINC00472', 'LINC00571']","['LINC01539', 'LINC00472', 'LINC01509', 'LINC00571', 'RASSF8-AS1', 'PROX1-AS1', 'FOXG1-AS1', 'ENTPD3-AS1', 'VSTM2A-OT1', 'TEX41']",0.11308068278512269
4.1,cluster_id,Inh L1-4 VIP CHRNA6,25,0.18867924528301888,0.2857142857142857,0.08,15573,5,23,2,3,"['ADARB2-AS1', 'MIATNB', 'INHBA-AS1']","['LINC00836', 'ADARB2-AS1', 'MIATNB', 'FAM13A-AS1', 'INHBA-AS1', 'FOXG1-AS1', 'ZNF337-AS1', 'LINC00240', 'LINC01551', 'ENTPD3-AS1']",0.1916399275704169
4.1,cluster_id,Inh L1-3 VIP ADAMTSL1,72,0.21875,0.3181818181818182,0.09722222222222222,15516,15,65,7,2,"['LINC01411', 'PROX1-AS1']","['GRM7-AS3', 'EPHA5-AS1', 'ARHGEF26-AS1', 'KLF3-AS1', 'LINC01411', 'PROX1-AS1', 'PWRN1', 'LINC00290', 'MIR99AHG', 'FOXG1-AS1']",0.044289566107256984
