clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Inh L1-2 PAX6 CDH12,LINC00472,0.084477947742426,0.008750932084901256,0.9594594594594594
Inh L1-2 PAX6 CDH12,PVT1,0.11208298521955057,0.4763004372161032,0.8971834315117088
Inh L1-2 PAX6 CDH12,POT1-AS1,0.0817573711421722,0.4418336023504015,0.8541719843890211
Inh L1-2 PAX6 CDH12,INHBA-AS1,0.08601544990767952,0.258086823001565,0.8343064461778779
Inh L1-2 PAX6 CDH12,LINC00922,0.046471674229567474,0.004801504114226918,0.8175184414305389
Inh L1-2 PAX6 CDH12,KIRREL3-AS2,0.10019786336171738,0.20334467510871612,0.8172633231737588
Inh L1-2 PAX6 CDH12,LINC00299,0.09542920778352333,0.26416065193373595,0.7747935636608152
Inh L1-2 PAX6 CDH12,ENTPD3-AS1,0.0888526442020705,0.2735392526122459,0.767191983062311
Inh L1-2 PAX6 CDH12,ZNF528-AS1,0.06626122911466249,0.02681272390961627,0.764125092670357
Inh L1-2 PAX6 CDH12,NR2F2-AS1,0.17887642209689775,1.7053274386786859,0.7549206909685617
Inh L1-2 PAX6 TNFAIP8L3,LINC01497,0.10820364591676886,0.17743417278944806,1.0
Inh L1-2 PAX6 TNFAIP8L3,MAPT-AS1,0.02369399893162284,0.027057441793666853,0.9980117319488568
Inh L1-2 PAX6 TNFAIP8L3,DIO2-AS1,0.05056526705115263,0.20052079541604353,0.9954734849484097
Inh L1-2 PAX6 TNFAIP8L3,LINC01563,0.019587254348284802,0.0026915936750150837,0.9864864864864865
Inh L1-2 PAX6 TNFAIP8L3,MIR4458HG,0.03164639718609419,0.2897703201280358,0.9842331093988824
Inh L1-2 PAX6 TNFAIP8L3,LINC01162,0.0727559464212791,0.11067279048827677,0.9779373191590663
Inh L1-2 PAX6 TNFAIP8L3,LINC01473,0.023990762916631884,0.0024097605127956275,0.972972972972973
Inh L1-2 PAX6 TNFAIP8L3,RASSF8-AS1,0.023867017352221853,0.17994775843622218,0.9406426173525736
Inh L1-2 PAX6 TNFAIP8L3,MIR7-3HG,0.030758813234467094,0.3918854214014874,0.9401607410301609
Inh L1-2 PAX6 TNFAIP8L3,SLC16A1-AS1,0.021460428737353793,0.004857734609106348,0.9194581530358369
Inh L1 LAMP5 NMBR,LINC00298,0.09623374391208547,0.86421595766215,0.9701649530484562
Inh L1 LAMP5 NMBR,PVT1,0.0760313165335455,0.4767016180326936,0.8972699595060447
Inh L1 LAMP5 NMBR,LINC00299,0.21360797875534546,2.5909652285985856,0.8963883397326085
