,0
Astro L1-2 FGFR3 GFAP,406
Astro L1-6 FGFR3 SLC14A1,573
Endo L2-6 NOSTRIN,326
Exc L2 LAMP5 LTK,282
Exc L2-3 LINC00507 FREM3,1576
Exc L2-4 LINC00507 GLP2R,310
Exc L3-4 RORB CARM1P1,1500
Exc L3-5 RORB COL22A1,288
Exc L3-5 RORB ESR1,210
Exc L3-5 RORB FILIP1L,468
Exc L3-5 RORB TWIST2,254
Exc L4-5 FEZF2 SCN4B,3179
Exc L4-5 RORB DAPK2,204
Exc L4-5 RORB FOLH1B,2059
Exc L4-6 FEZF2 IL26,602
Exc L4-6 RORB C1R,457
Exc L4-6 RORB SEMA3E,267
Exc L5-6 FEZF2 ABO,1266
Exc L5-6 FEZF2 EFTUD1P1,1976
Exc L5-6 FEZF2 IL15,1173
Exc L5-6 RORB TTC12,1624
Exc L5-6 THEMIS C1QL3,1863
Exc L5-6 THEMIS CRABP1,1738
Exc L5-6 THEMIS DCSTAMP,2168
Exc L5-6 THEMIS FGF10,1880
Exc L6 FEZF2 OR2T8,2687
Exc L6 FEZF2 SCUBE1,1744
Inh L1 LAMP5 NMBR,147
Inh L1 SST CHRNA4,193
Inh L1-2 ADARB2 MC4R,131
Inh L1-2 LAMP5 DBP,522
Inh L1-2 PAX6 CDH12,252
Inh L1-2 PAX6 TNFAIP8L3,1643
Inh L1-2 SST BAGE2,78
Inh L1-2 VIP LBH,552
Inh L1-2 VIP PCDH20,171
Inh L1-2 VIP TSPAN12,277
Inh L1-3 SST CALB1,201
Inh L1-3 VIP ADAMTSL1,204
Inh L1-3 VIP CCDC184,344
Inh L1-3 VIP CHRM2,145
Inh L1-3 VIP GGH,152
Inh L1-3 VIP SYT6,1257
Inh L1-4 LAMP5 LCP2,194
Inh L1-4 VIP CHRNA6,317
Inh L1-4 VIP OPRM1,175
Inh L1-4 VIP PENK,1103
Inh L2-3 VIP CASC6,680
Inh L2-4 PVALB WFDC2,411
Inh L2-4 SST FRZB,205
Inh L2-4 VIP CBLN1,134
Inh L2-4 VIP SPAG17,194
Inh L2-5 PVALB SCUBE3,450
Inh L2-5 VIP SERPINF1,150
Inh L2-5 VIP TYR,196
Inh L2-6 LAMP5 CA1,276
Inh L2-6 VIP QPCT,308
Inh L3-5 SST ADGRG6,172
Inh L3-6 SST HPGD,415
Inh L3-6 SST NPY,1266
Inh L3-6 VIP HS3ST3A1,270
Inh L4-5 PVALB MEPE,1017
Inh L4-5 SST STK32A,103
Inh L4-6 PVALB SULF1,267
Inh L4-6 SST B3GAT2,134
Inh L4-6 SST GXYLT2,441
Inh L5-6 LHX6 GLP1R,956
Inh L5-6 PVALB LGR5,322
Inh L5-6 SST KLHDC8A,749
Inh L5-6 SST MIR548F2,763
Inh L5-6 SST NPM1P10,268
Inh L5-6 SST TH,1004
Micro L1-6 TYROBP,324
OPC L1-6 PDGFRA,222
Oligo L1-6 OPALIN,315
