clusterName,markerGene,score
Inh L1-2 PAX6 CDH12,TGFBR2,0.78
Inh L1-2 PAX6 CDH12,CPLX3,0.78
Inh L1-2 PAX6 TNFAIP8L3,PALMD,0.7954545454545454
Inh L1-2 PAX6 TNFAIP8L3,SP8,0.7954545454545454
Inh L1 LAMP5 NMBR,NDNF,0.8962693357597816
Inh L1 LAMP5 NMBR,SV2C,0.8962693357597816
Inh L1-4 LAMP5 LCP2,CPLX3,0.8171641791044776
Inh L1-4 LAMP5 LCP2,KIT,0.8171641791044776
Inh L1-2 LAMP5 DBP,COL4A3,0.4878048780487805
Inh L1-2 LAMP5 DBP,MYH11,0.4878048780487805
Inh L1-2 LAMP5 DBP,PELI2,0.4878048780487805
Inh L1-2 LAMP5 DBP,LAMP5,0.4878048780487805
Inh L2-6 LAMP5 CA1,TMEM255A,0.8392857142857143
Inh L2-6 LAMP5 CA1,EYA4,0.8392857142857143
Inh L1 SST CHRNA4,SEMA3C,0.5555555555555556
Inh L1 SST CHRNA4,ANKFN1,0.5555555555555556
Inh L1-2 ADARB2 MC4R,ARHGAP36,0.6167400881057269
Inh L1-2 ADARB2 MC4R,NDST4,0.6167400881057269
Inh L1-2 SST BAGE2,SYT10,0.46195652173913043
Inh L1-2 SST BAGE2,NDST4,0.46195652173913043
Inh L1-3 VIP SYT6,SYT6,0.684931506849315
Inh L1-3 VIP SYT6,VIPR2,0.684931506849315
Inh L1-3 VIP SYT6,EPS8,0.684931506849315
Inh L1-2 VIP TSPAN12,LAMA3,0.5851063829787234
Inh L1-2 VIP TSPAN12,HCRTR2,0.5851063829787234
Inh L1-4 VIP CHRNA6,CDKN1C,0.4444444444444444
Inh L1-4 VIP CHRNA6,SH3RF2,0.4444444444444444
Inh L1-3 VIP ADAMTSL1,DACH2,0.7336956521739131
Inh L1-3 VIP ADAMTSL1,PCDH18,0.7336956521739131
Inh L1-4 VIP PENK,PENK,0.6060606060606061
Inh L1-4 VIP PENK,DNAH11,0.6060606060606061
Inh L2-6 VIP QPCT,IGFBP7,0.7526881720430108
Inh L2-6 VIP QPCT,PCP4,0.7526881720430108
Inh L3-6 VIP HS3ST3A1,ABI3BP,0.6382978723404256
Inh L3-6 VIP HS3ST3A1,IQGAP2,0.6382978723404256
Inh L3-6 VIP HS3ST3A1,SLC22A3,0.6382978723404256
Inh L1-2 VIP PCDH20,ANGPT1,0.4696132596685083
Inh L1-2 VIP PCDH20,CRH,0.4696132596685083
Inh L2-5 VIP SERPINF1,IQGAP2,0.49707602339181284
Inh L2-5 VIP SERPINF1,TAC3,0.49707602339181284
Inh L2-5 VIP SERPINF1,MEGF11,0.49707602339181284
Inh L2-5 VIP TYR,COL15A1,0.5797101449275363
Inh L2-5 VIP TYR,IQGAP2,0.5797101449275363
Inh L1-3 VIP CHRM2,FLT1,0.5502392344497608
Inh L1-3 VIP CHRM2,SHISA8,0.5502392344497608
Inh L2-4 VIP CBLN1,MME,0.6830601092896175
Inh L2-4 VIP CBLN1,HTR2C,0.6830601092896175
Inh L2-4 VIP CBLN1,SLC22A3,0.6830601092896175
Inh L1-3 VIP CCDC184,SCML4,0.546875
Inh L1-3 VIP CCDC184,CD163L1,0.546875
Inh L1-3 VIP GGH,VWDE,0.4268292682926829
Inh L1-2 VIP LBH,SYT10,0.4945054945054945
Inh L1-2 VIP LBH,EDNRA,0.4945054945054945
Inh L1-2 VIP LBH,PCDH18,0.4945054945054945
Inh L2-3 VIP CASC6,SRL,0.5445544554455446
Inh L2-3 VIP CASC6,LRRC63,0.5445544554455446
Inh L2-3 VIP CASC6,SDC2,0.5445544554455446
Inh L2-4 VIP SPAG17,NPR3,0.5128205128205128
Inh L2-4 VIP SPAG17,SLC7A11,0.5128205128205128
Inh L1-4 VIP OPRM1,LYPD1,0.5208333333333334
Inh L1-4 VIP OPRM1,SLC22A3,0.5208333333333334
Inh L1-4 VIP OPRM1,PCP4,0.5208333333333334
Inh L3-6 SST NPY,NPY,0.9859154929577465
Inh L3-6 SST HPGD,HPGD,0.5902777777777778
Inh L3-6 SST HPGD,FAM89A,0.5902777777777778
Inh L3-6 SST HPGD,BMP3,0.5902777777777778
Inh L4-6 SST B3GAT2,RCAN3,0.46332046332046334
Inh L4-6 SST B3GAT2,NMU,0.46332046332046334
Inh L5-6 SST KLHDC8A,NDST4,0.7389162561576355
Inh L5-6 SST KLHDC8A,VCAN,0.7389162561576355
Inh L5-6 SST KLHDC8A,TRPC6,0.7389162561576355
Inh L5-6 SST NPM1P10,FBN2,0.7798165137614679
Inh L5-6 SST NPM1P10,SPON1,0.7798165137614679
Inh L4-6 SST GXYLT2,PROM1,0.7619047619047619
Inh L4-6 SST GXYLT2,NDST4,0.7619047619047619
