clusterName,markerGene,onTarget_per_gene,onTarget
Inh L1-2 PAX6 CDH12,TGFBR2,0.2037090546473243,0.20640588147533756
Inh L1-2 PAX6 CDH12,CPLX3,0.20910270830335084,0.20640588147533756
Inh L1-2 PAX6 TNFAIP8L3,PALMD,0.46736270909063105,0.4318215716062759
Inh L1-2 PAX6 TNFAIP8L3,SP8,0.39628043412192077,0.4318215716062759
Inh L1 LAMP5 NMBR,NDNF,0.5084574512661992,0.3815703361981745
Inh L1 LAMP5 NMBR,SV2C,0.25468322113014974,0.3815703361981745
Inh L1-4 LAMP5 LCP2,CPLX3,0.20377377161838192,0.17711393622434277
Inh L1-4 LAMP5 LCP2,KIT,0.1504541008303036,0.17711393622434277
Inh L1-2 LAMP5 DBP,COL4A3,0.7938414756272122,0.3440935227390961
Inh L1-2 LAMP5 DBP,MYH11,0.41328529704700506,0.3440935227390961
Inh L1-2 LAMP5 DBP,PELI2,0.27490174843118714,0.3440935227390961
Inh L1-2 LAMP5 DBP,LAMP5,0.2602704630932706,0.3440935227390961
Inh L2-6 LAMP5 CA1,TMEM255A,1.0,0.6276519375013961
Inh L2-6 LAMP5 CA1,EYA4,0.2553038750027923,0.6276519375013961
Inh L1 SST CHRNA4,SEMA3C,0.22420785552001615,0.17299795581477456
Inh L1 SST CHRNA4,ANKFN1,0.121788056109533,0.17299795581477456
Inh L1-2 ADARB2 MC4R,ARHGAP36,0.49784357545103214,0.3242837045975244
Inh L1-2 ADARB2 MC4R,NDST4,0.15072383374401668,0.3242837045975244
Inh L1-2 SST BAGE2,SYT10,0.3581724231922442,0.24113847261581006
Inh L1-2 SST BAGE2,NDST4,0.12410452203937593,0.24113847261581006
Inh L1-3 VIP SYT6,SYT6,1.0,0.6153973791176923
Inh L1-3 VIP SYT6,VIPR2,0.6153973791176923,0.6153973791176923
Inh L1-3 VIP SYT6,EPS8,0.22291930296209295,0.6153973791176923
Inh L1-2 VIP TSPAN12,LAMA3,0.10893141747548483,0.09627131111413265
Inh L1-2 VIP TSPAN12,HCRTR2,0.08361120475278046,0.09627131111413265
Inh L1-4 VIP CHRNA6,CDKN1C,1.0,0.5063611499735677
Inh L1-4 VIP CHRNA6,SH3RF2,0.01272229994713538,0.5063611499735677
Inh L1-3 VIP ADAMTSL1,DACH2,0.2716929951600058,0.25029585853592184
Inh L1-3 VIP ADAMTSL1,PCDH18,0.22889872191183785,0.25029585853592184
Inh L1-4 VIP PENK,PENK,0.8967806291888876,0.793603205037273
Inh L1-4 VIP PENK,DNAH11,0.6904257808856583,0.793603205037273
Inh L2-6 VIP QPCT,IGFBP7,0.19937164075556424,0.23804445950895803
Inh L2-6 VIP QPCT,PCP4,0.2767172782623518,0.23804445950895803
Inh L3-6 VIP HS3ST3A1,ABI3BP,0.3995668655947279,0.2563272615852643
Inh L3-6 VIP HS3ST3A1,IQGAP2,0.2563272615852643,0.2563272615852643
Inh L3-6 VIP HS3ST3A1,SLC22A3,0.2095026315483236,0.2563272615852643
Inh L1-2 VIP PCDH20,ANGPT1,0.18265263460699957,0.15302762852051302
Inh L1-2 VIP PCDH20,CRH,0.12340262243402646,0.15302762852051302
Inh L2-5 VIP SERPINF1,IQGAP2,0.1813161042766461,0.14453922239263142
Inh L2-5 VIP SERPINF1,TAC3,0.14453922239263142,0.14453922239263142
Inh L2-5 VIP SERPINF1,MEGF11,0.10541834673598822,0.14453922239263142
Inh L2-5 VIP TYR,COL15A1,0.0662738942436729,0.14880192555809996
Inh L2-5 VIP TYR,IQGAP2,0.23132995687252703,0.14880192555809996
Inh L1-3 VIP CHRM2,FLT1,0.11750004794022235,0.15821812758710055
Inh L1-3 VIP CHRM2,SHISA8,0.19893620723397873,0.15821812758710055
Inh L2-4 VIP CBLN1,MME,0.31773656243582504,0.25491228985606806
Inh L2-4 VIP CBLN1,HTR2C,0.25491228985606806,0.25491228985606806
Inh L2-4 VIP CBLN1,SLC22A3,0.17784951881558142,0.25491228985606806
Inh L1-3 VIP CCDC184,SCML4,0.5255493731536971,0.3613951366992729
