software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,cluster_id,Inh L1-2 PAX6 CDH12,90,0.78,0.975,0.43333333333333335,15512,1,51,39,2,"['TGFBR2', 'CPLX3']","['TGFBR2', 'DDR2', 'BCHE', 'SP8', 'CPLX3', 'DCN', 'WIF1', 'SDK2', 'RELN', 'ITGB8']",0.20640588147533756
4.1,cluster_id,Inh L1-2 PAX6 TNFAIP8L3,16,0.7954545454545454,1.0,0.4375,15587,0,9,7,2,"['PALMD', 'SP8']","['SCGN', 'PLSCR2', 'EYA1', 'PALMD', 'BMP3', 'SP8', 'DDR2', 'ANGPT1', 'HCRTR2', 'SPHKAP']",0.4318215716062759
4.1,cluster_id,Inh L1 LAMP5 NMBR,283,0.8962693357597816,0.9656862745098039,0.696113074204947,15313,7,86,197,2,"['NDNF', 'SV2C']","['NMBR', 'NDNF', 'SCRG1', 'BMP6', 'NPNT', 'SV2C', 'FAT1', 'COL5A2', 'CBLN4', 'FREM1']",0.3815703361981745
4.1,cluster_id,Inh L1-4 LAMP5 LCP2,356,0.8171641791044776,0.8902439024390244,0.6151685393258427,15220,27,137,219,2,"['CPLX3', 'KIT']","['TRPC3', 'HAPLN1', 'EYA4', 'CPLX3', 'KIT', 'FREM1', 'PKP2', 'NXPH2', 'FBXL7', 'PRELID2']",0.17711393622434277
4.1,cluster_id,Inh L1-2 LAMP5 DBP,21,0.4878048780487805,0.8,0.19047619047619047,15581,1,17,4,4,"['COL4A3', 'MYH11', 'PELI2', 'LAMP5']","['COL4A3', 'ADAMTS20', 'MYH11', 'PELI2', 'LAMP5', 'EYA4', 'CBLN4', 'CPLX3', 'FREM1', 'KIT']",0.3440935227390961
4.1,cluster_id,Inh L2-6 LAMP5 CA1,256,0.8392857142857143,0.9657534246575342,0.55078125,15342,5,115,141,2,"['TMEM255A', 'EYA4']","['TMEM255A', 'SFRP1', 'PDGFD', 'LTBP1', 'LAMP5', 'EYA4', 'VAV3', 'HCRTR2', 'ITGA8', 'CHST9']",0.6276519375013961
4.1,cluster_id,Inh L1 SST CHRNA4,52,0.5555555555555556,0.625,0.38461538461538464,15539,12,32,20,2,"['SEMA3C', 'ANKFN1']","['ARHGAP36', 'MC4R', 'SEMA3C', 'RGMB', 'MET', 'ANKFN1', 'PRELID2', 'THSD7B', 'COL12A1', 'RELN']",0.17299795581477456
4.1,cluster_id,Inh L1-2 ADARB2 MC4R,107,0.6167400881057269,0.9333333333333333,0.2616822429906542,15494,2,79,28,2,"['ARHGAP36', 'NDST4']","['MC4R', 'ARHGAP36', 'BCAS1', 'RXRG', 'UNC5B', 'NDST4', 'ADAM33', 'PRELID2', 'NTN4', 'COBLL1']",0.3242837045975244
4.1,cluster_id,Inh L1-2 SST BAGE2,108,0.46195652173913043,0.8947368421052632,0.1574074074074074,15493,2,91,17,2,"['SYT10', 'NDST4']","['SCN5A', 'SYT10', 'PCDH18', 'SEMA3C', 'NDST4', 'GRB14', 'THSD7B', 'ARHGAP18', 'ADAMTSL1', 'HTR7']",0.24113847261581006
4.1,cluster_id,Inh L1-3 VIP SYT6,29,0.684931506849315,0.9090909090909091,0.3448275862068966,15573,1,19,10,3,"['SYT6', 'VIPR2', 'EPS8']","['SYT6', 'VIPR2', 'SLC17A8', 'EPS8', 'PDLIM5', 'CHRNA7', 'PDE3A', 'WIF1', 'CNR1', 'PLCXD3']",0.6153973791176923
