clusterName,avg_precision,avg_recall,avg_f_score,avg_onTarget
Astro L1-2 FGFR3 GFAP,0.511428375358279,0.2448087431693989,0.39570054308215674,0.47375177077080083
Astro L1-6 FGFR3 SLC14A1,0.8171577876392672,0.4756521739130435,0.6986968219360122,0.5943209588041775
Endo L2-6 NOSTRIN,0.9866666666666667,0.31111111111111106,0.6552422560536151,0.49326696270531795
Exc L2 LAMP5 LTK,0.47505914285085216,0.24950738916256157,0.37065862201865973,0.1323094976944705
Exc L2-3 LINC00507 FREM3,0.6549696316879144,0.3995329830706363,0.5716840021841096,0.11690305667522066
Exc L2-4 LINC00507 GLP2R,0.2433597326841448,0.0992156862745098,0.1666089149315408,0.15046929366670672
Exc L3-4 RORB CARM1P1,0.47193519279938856,0.22476190476190477,0.3676051177501439,0.15152952986097853
Exc L3-5 RORB COL22A1,0.46195719970821286,0.17791666666666667,0.3164203491551393,0.14223239964663734
Exc L3-5 RORB ESR1,0.6220116561706218,0.34112978524743226,0.5197483636635156,0.15360475951708988
Exc L3-5 RORB FILIP1L,0.18917270839224717,0.10108932461873638,0.1465695477001797,0.08371988936074043
Exc L3-5 RORB TWIST2,0.2758631969373689,0.07885304659498209,0.1458557725539277,0.06450611073766713
Exc L4-5 FEZF2 SCN4B,0.5528316128316128,0.18666666666666665,0.3876845288248617,0.68950513586792
Exc L4-5 RORB DAPK2,0.3727390522954452,0.11830443159922928,0.23467048721027334,0.10469639337675635
Exc L4-5 RORB FOLH1B,0.5397708771243094,0.32850574712643676,0.47071724670257703,0.1426790389396797
Exc L4-6 FEZF2 IL26,0.731718891013552,0.29689922480620157,0.5531445088071124,0.31918173966222535
Exc L4-6 RORB C1R,0.3514553172597011,0.10791666666666666,0.2145010485935562,0.0952447998174903
Exc L4-6 RORB SEMA3E,0.3093847862401268,0.23595023595023598,0.2813411689384032,0.10243284346067974
Exc L5-6 FEZF2 ABO,0.5382600518273831,0.2005361930294906,0.39266436998960075,0.13987781490078785
Exc L5-6 FEZF2 EFTUD1P1,0.6893706410980128,0.34798301486199573,0.5624445119734907,0.26473760540337843
Exc L5-6 FEZF2 IL15,0.5620052654327236,0.18690476190476188,0.37932290008783753,0.1887676814249341
Exc L5-6 RORB TTC12,0.367590543271389,0.16846307385229542,0.2754518388074513,0.21416933226085297
Exc L5-6 THEMIS C1QL3,0.5599116482060273,0.3611797874647582,0.49643868124737994,0.1093544911626625
Exc L5-6 THEMIS CRABP1,0.6563674744317756,0.2820861678004535,0.5028447111172363,0.20319731897699328
Exc L5-6 THEMIS DCSTAMP,0.532100524646912,0.1849056603773585,0.3684164428192267,0.33337965626735433
Exc L5-6 THEMIS FGF10,0.45364234891967486,0.1888888888888889,0.3188710509662082,0.20355017846457205
Exc L6 FEZF2 OR2T8,0.6722751322751322,0.18947368421052632,0.41319759261247135,0.7016807582380927
Exc L6 FEZF2 SCUBE1,0.6480064362338706,0.24615384615384614,0.4682341095942307,0.23004894289313868
Inh L1 LAMP5 NMBR,0.5391735255686819,0.2711425206124853,0.426669433108137,0.18756098837949017
Inh L1 SST CHRNA4,0.3723292333716562,0.14358974358974358,0.2381208747040496,0.09876469114427426
Inh L1-2 ADARB2 MC4R,0.48923043977719327,0.2542056074766355,0.3328636531218072,0.11459590838337931
Inh L1-2 LAMP5 DBP,0.7203174603174602,0.07936507936507936,0.2477436581245304,0.24843285253932573
Inh L1-2 PAX6 CDH12,0.4838551713893126,0.2059259259259259,0.3359296010600925,0.12002031035228142
Inh L1-2 PAX6 TNFAIP8L3,0.8244444444444444,0.12916666666666668,0.36488095238095236,0.48066449000990585
