software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget,fold
4.1,cluster_id,Inh L1-2 PAX6 CDH12,90,0.30141843971631205,0.3541666666666667,0.18888888888888888,15482,31,73,17,3,"['GABRG1', 'COL16A1', 'ELN']","['GABRG1', 'CTPS2', 'COL16A1', 'FGD5', 'ELN', 'HSPA5', 'BROX', 'ABCG1', 'CTSD']",0.07278609307714576,fold_1
4.1,cluster_id,Inh L1-2 PAX6 TNFAIP8L3,16,0.25,1.0,0.0625,15587,0,15,1,3,"['C20orf203', 'HSDL1', 'ARL17B']","['C20orf203', 'TRIM4', 'HSDL1', 'PLOD3', 'ARL17B', 'FNTA', 'HSPA5', 'GOLPH3', 'ARHGAP28', 'GABRG1']",0.2742662397983243,fold_1
4.1,cluster_id,Inh L1 LAMP5 NMBR,283,0.6795422031473534,0.9134615384615384,0.33568904593639576,15311,9,188,95,2,"['NPNT', 'COL5A2']","['HS3ST5', 'NPNT', 'COL5A2', 'DNAAF1', 'MEGF11', 'HSPA5', 'TMCO1', 'ABCG1']",0.21374885367287855,fold_1
4.1,cluster_id,Inh L1-4 LAMP5 LCP2,356,0.4625,0.5260663507109005,0.31179775280898875,15147,100,245,111,2,"['SOX13', 'RUNX2']","['SOX13', 'MYRFL', 'RAB11FIP1', 'RUNX2']",0.2548024886658499,fold_1
4.1,cluster_id,Inh L1-2 LAMP5 DBP,21,0.3448275862068966,1.0,0.09523809523809523,15582,0,19,2,4,"['UQCC2', 'HS3ST5', 'PYY', 'SOX13']","['UQCC2', 'HS3ST5', 'ZNF783', 'PYY', 'SOX13', 'PPP1R3E', 'PAGR1', 'HSPA5', 'CBFB', 'RUNX2']",0.2131873042556658,fold_1
4.1,cluster_id,Inh L2-6 LAMP5 CA1,256,0.4166666666666667,0.76,0.1484375,15335,12,218,38,2,"['MYRFL', 'ITM2C']","['SOX13', 'MYRFL', 'RAB11FIP1', 'SEMA5B', 'PAGR1', 'ITM2C', 'LMNA', 'RUNX2']",0.12314626221166468,fold_1
4.1,cluster_id,Inh L1 SST CHRNA4,52,0.3787878787878788,0.5,0.19230769230769232,15541,10,42,10,3,"['MEGF11', 'COL5A2', 'ADRA1B']","['MEGF11', 'COL5A2', 'COL16A1', 'DNAAF1', 'HSPA5', 'ADRA1B']",0.06968177842733028,fold_1
4.1,cluster_id,Inh L1-2 ADARB2 MC4R,107,0.49382716049382713,0.7058823529411765,0.22429906542056074,15486,10,83,24,3,"['MEGF11', 'COL16A1', 'ADRA1B']","['MEGF11', 'PPP1R1C', 'COL16A1', 'SEMA5B', 'ELN', 'ADRA1B', 'ARHGAP28', 'SORCS1']",0.08551018597494295,fold_1
4.1,cluster_id,Inh L1-2 SST BAGE2,108,0.1377952755905512,0.14,0.12962962962962962,15409,86,94,14,3,"['DPRX', 'MEGF11', 'GLIS3']","['DPRX', 'MEGF11', 'ASAP3', 'GLIS3']",0.07639623245207942,fold_1
4.1,cluster_id,Inh L1-3 VIP SYT6,29,0.20408163265306123,0.4,0.06896551724137931,15571,3,27,2,5,"['ZSCAN23', 'DOK7', 'ZKSCAN8', 'ZNF367', 'ARL6IP6']","['ZSCAN23', 'DOK7', 'ZKSCAN8', 'ZNF367', 'ARL6IP6', 'CTPS2', 'DTNBP1', 'A2M', 'GABRG1', 'FGD5']",0.25224911499111563,fold_1
4.1,cluster_id,Inh L1-2 VIP TSPAN12,42,0.30701754385964913,0.3888888888888889,0.16666666666666666,15550,11,35,7,2,"['FGD5', 'COL16A1']","['ZNF783', 'FGD5', 'ELN', 'MEGF11', 'ARL17B', 'COL16A1', 'PPP1R3E', 'SEMA5B', 'SERPINB6', 'RPSA']",0.10738685097153744,fold_1
4.1,cluster_id,Inh L1-4 VIP CHRNA6,25,0.1724137931034483,1.0,0.04,15578,0,24,1,2,"['ADRA1B', 'FBRSL1']","['ELN', 'PPP1R1C', 'FGD5', 'ADRA1B', 'GABRG1', 'FBRSL1', 'N4BP2', 'CFAP70', 'ARHGAP28', 'A2M']",0.07551294205387657,fold_1
4.1,cluster_id,Inh L1-3 VIP ADAMTSL1,72,0.22321428571428573,0.5,0.06944444444444445,15526,5,67,5,3,"['ELN', 'IKZF5', 'ARHGAP28']","['ELN', 'DPRX', 'IKZF5', 'MEGF11', 'SEMA5B', 'ARHGAP28', 'N4BP2', 'RAB11FIP1', 'ZNF384', 'C2orf80']",0.07092128963651824,fold_1
4.1,cluster_id,Inh L1-4 VIP PENK,17,0.30303030303030304,0.5,0.11764705882352941,15584,2,15,2,2,"['HSDL1', 'NPNT']","['ITGB3', 'CERCAM', 'DNAAF1', 'HSDL1', 'NPNT', 'DOK7', 'ADCY7', 'MEGF11', 'IL12RB2', 'USP50']",0.24758109933599282,fold_1
4.1,cluster_id,Inh L2-6 VIP QPCT,37,0.21897810218978103,0.24,0.16216216216216217,15547,19,31,6,3,"['ELN', 'FGD5', 'CCNG2']","['CFI', 'ELN', 'MYLIP', 'FGD5', 'CCNG2', 'PPP1R1C', 'SEMA5B', 'TMEM219', 'ADCY7', 'UBAC1']",0.1852739171844902,fold_1
4.1,cluster_id,Inh L3-6 VIP HS3ST3A1,80,0.4605263157894737,0.7777777777777778,0.175,15519,4,66,14,2,"['TMEM158', 'CCNG2']","['MYLIP', 'FGD5', 'TMEM158', 'CCNG2', 'PPP1R1C', 'ELN', 'KDM7A', 'DTNBP1', 'SCARA3', 'BTBD3']",0.13720090238819913,fold_1
4.1,cluster_id,Inh L1-2 VIP PCDH20,61,0.30864197530864196,1.0,0.08196721311475409,15542,0,56,5,2,"['CCNG2', 'BTBD3']","['ELN', 'CCNG2', 'HSDL1', 'BTBD3', 'SERPINB6', 'FGD5', 'COA5', 'SCARA3', 'CD63', 'ADRA1B']",0.13174744691571613,fold_1
4.1,cluster_id,Inh L2-5 VIP SERPINF1,55,0.22988505747126436,0.5,0.07272727272727272,15544,4,51,4,4,"['MEGF11', 'SULT2B1', 'CCNG2', 'ELN']","['MEGF11', 'SULT2B1', 'CCNG2', 'ADRA1B', 'ELN', 'N4BP2', 'ARHGAP28']",0.05678230440993169,fold_1
4.1,cluster_id,Inh L2-5 VIP TYR,62,0.3813559322033898,0.6428571428571429,0.14516129032258066,15536,5,53,9,2,"['COL15A1', 'CCNG2']","['COL15A1', 'PYY', 'APAF1', 'CCNG2', 'SERPINB6', 'BTBD3', 'IL12RB2']",0.0605137580556361,fold_1
4.1,cluster_id,Inh L1-3 VIP CHRM2,175,0.31868131868131866,0.4142857142857143,0.1657142857142857,15387,41,146,29,2,"['LRP4', 'CCNG2']","['GMPR', 'LRP4', 'CCNG2', 'RGS17', 'SERPINB6']",0.05064429499100943,fold_1
4.1,cluster_id,Inh L2-4 VIP CBLN1,67,0.14018691588785046,0.3,0.04477611940298507,15529,7,64,3,2,"['CCNG2', 'ARHGAP28']","['CFI', 'CCNG2', 'MEGF11', 'ARHGAP28', 'ASAP3']",0.030944258693148097,fold_1
4.1,cluster_id,Inh L1-3 VIP CCDC184,64,0.23148148148148148,0.45454545454545453,0.078125,15533,6,59,5,3,"['SERPINB6', 'FGD5', 'ARHGAP28']","['SERPINB6', 'CCNG2', 'PPP1R1C', 'FGD5', 'ARHGAP28', 'PAGR1', 'ADRA1B', 'CDC7']",0.08473393950031818,fold_1
4.1,cluster_id,Inh L1-3 VIP GGH,68,0.1936619718309859,0.2037037037037037,0.16176470588235295,15492,43,57,11,2,"['CCNG2', 'BTBD3']","['CCNG2', 'FGD5', 'BTBD3']",0.10206434580488451,fold_1
4.1,cluster_id,Inh L1-2 VIP LBH,47,0.1694915254237288,0.6666666666666666,0.0425531914893617,15555,1,45,2,3,"['MID2', 'FGD5', 'C2orf80']","['MID2', 'ADCY7', 'FGD5', 'SERPINB6', 'A2M', 'C2orf80', 'UHMK1', 'TMEM191B', 'ADRA1B', 'SAMM50']",0.09588145936778225,fold_1
4.1,cluster_id,Inh L2-3 VIP CASC6,45,0.23529411764705882,0.4,0.08888888888888889,15552,6,41,4,3,"['PPP1R1C', 'ATP10D', 'DTNBP1']","['FGD5', 'PPP1R1C', 'SERPINB6', 'ATP10D', 'KLHL12', 'DTNBP1', 'ARHGAP28', 'DUSP10', 'EIF2A', 'ADRA1B']",0.09989851515681486,fold_1
4.1,cluster_id,Inh L2-4 VIP SPAG17,33,0.4716981132075472,1.0,0.15151515151515152,15570,0,28,5,2,"['MYBPHL', 'ADRA1B']","['MYBPHL', 'PPP1R1C', 'FGD5', 'ADRA1B', 'ARHGAP28', 'ALPK1', 'GORASP2', 'COL11A1', 'ATP10D']",0.20078629825630767,fold_1
4.1,cluster_id,Inh L1-4 VIP OPRM1,52,0.25735294117647056,0.3333333333333333,0.1346153846153846,15537,14,45,7,1,['PPP1R1C'],"['PPP1R1C', 'FGD5', 'CCNG2', 'CTPS2', 'SULT2B1', 'ADRA1B', 'EMC7', 'COL11A1', 'ASAP3', 'ELN']",0.19591439997746585,fold_1
4.1,cluster_id,Inh L3-6 SST NPY,15,0.42857142857142855,0.6,0.2,15586,2,12,3,4,"['IQCJ', 'SLC16A1', 'PARP16', 'SREBF1']","['IQCJ', 'SLC16A1', 'RSPH4A', 'MAGOH', 'PARP16', 'SREBF1', 'MOBP', 'NPNT', 'FGD5', 'ARHGAP28']",0.33843111535361053,fold_1
4.1,cluster_id,Inh L3-6 SST HPGD,60,0.28225806451612906,0.4375,0.11666666666666667,15534,9,53,7,4,"['RCAN3', 'ATP10D', 'DUSP10', 'MYRFL']","['CLIC5', 'RCAN3', 'ATP10D', 'DUSP10', 'MYRFL', 'STARD10', 'GLIS3', 'AIMP1', 'EMC7', 'RUNX2']",0.08853101066535818,fold_1
4.1,cluster_id,Inh L4-6 SST B3GAT2,182,0.3333333333333333,0.36220472440944884,0.25274725274725274,15340,81,136,46,2,"['RCAN3', 'DUSP10']","['RCAN3', 'DUSP10', 'RAB11FIP1', 'PHACTR2']",0.2664642529061984,fold_1
4.1,cluster_id,Inh L5-6 SST KLHDC8A,63,0.2912621359223301,0.6,0.09523809523809523,15536,4,57,6,3,"['RCAN3', 'DUSP10', 'TANGO2']","['SPATA17', 'RCAN3', 'DUSP10', 'DOK7', 'TRIM4', 'TANGO2', 'PLOD3', 'STARD10', 'ARSA', 'FMO5']",0.07920959965965994,fold_1
4.1,cluster_id,Inh L5-6 SST NPM1P10,79,0.3474903474903475,0.4,0.22784810126582278,15497,27,61,18,3,"['GLIS3', 'PHACTR2', 'GABRG1']","['CDC7', 'GLIS3', 'GPS1', 'PHACTR2', 'GABRG1', 'EIF2A', 'MRPS22', 'RUNX2', 'FMO5', 'TTC21A']",0.0450294502273344,fold_1
4.1,cluster_id,Inh L4-6 SST GXYLT2,41,0.15527950310559005,0.16666666666666666,0.12195121951219512,15537,25,36,5,4,"['CFI', 'RCAN3', 'LAP3', 'SULT2B1']","['ZNF783', 'CFI', 'RCAN3', 'DPRX', 'LAP3', 'SULT2B1', 'PHACTR2', 'DUSP10', 'GABRG1', 'C2orf80']",0.0771731191665706,fold_1
4.1,cluster_id,Inh L4-5 SST STK32A,93,0.20581113801452786,0.2125,0.1827956989247312,15447,63,76,17,2,"['RCAN3', 'PHACTR2']","['RCAN3', 'PHACTR2']",0.0611792128331006,fold_1
4.1,cluster_id,Inh L1-3 SST CALB1,279,0.09718670076726342,0.09069212410501193,0.13620071684587814,14943,381,241,38,3,"['CFI', 'DPRX', 'ITGAM']","['EFCAB8', 'CFI', 'DPRX', 'CATSPERB', 'CHAF1A', 'ITGAM', 'SULT2B1', 'ASAP3', 'ABCG1']",0.2417832125956255,fold_1
4.1,cluster_id,Inh L3-5 SST ADGRG6,132,0.0875,0.1044776119402985,0.05303030303030303,15411,60,125,7,2,"['PARP16', 'LMNA']","['PARP16', 'SREBF1', 'LMNA']",0.054332186391695764,fold_1
4.1,cluster_id,Inh L2-4 SST FRZB,64,0.1282051282051282,0.17391304347826086,0.0625,15520,19,60,4,4,"['RUNX2', 'LMNA', 'ABCG1', 'STARD10']","['SULT2B1', 'RUNX2', 'USP50', 'LMNA', 'ABCG1', 'STARD10']",0.04621224719901752,fold_1
4.1,cluster_id,Inh L5-6 SST TH,27,0.2032520325203252,0.20833333333333334,0.18518518518518517,15557,19,22,5,3,"['MRPL52', 'LAYN', 'PLOD3']","['UAP1L1', 'MRPL52', 'LAYN', 'C20orf203', 'FAM136A', 'PLOD3', 'EMC7', 'PELP1', 'GABRG1', 'HHAT']",0.9435411419720412,fold_1
4.1,cluster_id,Inh L5-6 LHX6 GLP1R,27,0.423728813559322,0.625,0.18518518518518517,15573,3,22,5,2,"['LAYN', 'HHAT']","['LAYN', 'HHAT', 'AGBL1', 'SULT2B1', 'PARP16', 'MYRFL', 'DUSP10', 'RUNX2', 'STARD10', 'GABRG1']",0.17132316895522906,fold_1
4.1,cluster_id,Inh L5-6 PVALB LGR5,52,0.4411764705882353,0.5714285714285714,0.23076923076923078,15542,9,40,12,3,"['HHAT', 'GLIS3', 'RUNX2']","['DPRX', 'HHAT', 'DUSP10', 'IKZF2', 'GLIS3', 'RUNX2', 'MYRFL', 'PARP16', 'SAMM50', 'SCARA3']",0.09322489927128778,fold_1
