,0
AII,266
AII*,891
Astrocyte,277
BB,194
CAI,1835
CAII,1200
DB1,148
DB2,200
DB3a,215
DB3b,214
DB4a,209
DB4b,181
DB5,182
DB6,155
FMB,197
GB,188
H1,360
H2,304
HAC11,308
HAC12,113
HAC13,268
HAC14,96
HAC15,189
HAC17,112
HAC18,399
HAC19,300
HAC2,114
HAC20,113
HAC21,240
HAC23,388
HAC24,488
HAC26,369
HAC27,126
HAC28,694
HAC29,153
HAC3,241
HAC30,311
HAC32,166
HAC33,927
HAC34,619
HAC35,212
HAC37,635
HAC38,333
HAC39,568
HAC4,443
HAC40,619
HAC41,317
HAC42,126
HAC44,211
HAC45,502
HAC46,283
HAC48,159
HAC49,404
HAC5,255
HAC50,172
HAC51,531
HAC52,154
HAC53,199
HAC54,815
HAC55,187
HAC56,255
HAC57,179
HAC59,699
HAC6,192
HAC60,190
HAC62,466
HAC63,1502
HAC64,190
HAC65,320
HAC66,1852
HAC68,1150
HAC71,1054
HAC72,1291
HAC74,383
HAC75,1003
HAC77,686
HAC78,360
HAC79,954
HAC8,156
HAC80,1156
HAC81,1326
HAC82,1701
HAC84,764
HAC86,2234
HAC87,1499
HAC88,497
HAC89,1417
HAC9,530
HAC90,642
HAC91,496
HAC92,1005
HAC93,628
HAC95,692
HRGC10,2734
HRGC11,2792
HRGC3,1361
HRGC4,203
HRGC5,106
HRGC9,1631
IMB,255
MG,333
MG_OFF,1227
MG_ON,1347
ML_Cone,886
Microglia,200
OFF-SAC,166
OFF-SAC*,830
OFFx,114
ON-SAC,228
PENK,163
PG_OFF,2407
PG_ON,1854
RB,330
RPE,361
Rod,346
SEG,126
SEG*,641
S_Cone,981
VG3,196
VG3*,521
VIP,325
ipRGC,1202
nNOS,236
