clusterName,markerGene,score
AII,ENSG00000113504,0.7798465160896486
AII,ENSG00000101463,0.7798465160896486
AII*,ENSG00000113504,0.6173101400084854
AII*,ENSG00000188107,0.6173101400084854
AII*,ENSG00000042781,0.6173101400084854
AII*,ENSG00000162946,0.6173101400084854
Astrocyte,ENSG00000243620,0.8827599220076734
BB,ENSG00000250971,0.8162731945291402
CAI,ENSG00000070193,0.7350427350427351
CAI,ENSG00000180176,0.7350427350427351
CAI,ENSG00000123243,0.7350427350427351
CAII,ENSG00000104313,0.8628097905317271
CAII,ENSG00000075223,0.8628097905317271
DB1,ENSG00000249464,0.8062915336152585
DB1,ENSG00000144227,0.8062915336152585
DB2,ENSG00000163377,0.8459047306714766
DB2,ENSG00000147862,0.8459047306714766
DB3a,ENSG00000267109,0.859925568136828
DB3a,ENSG00000165966,0.859925568136828
DB3b,ENSG00000228933,0.7315444913429235
DB3b,ENSG00000251574,0.7315444913429235
DB4a,ENSG00000265485,0.8430254656024325
DB4a,ENSG00000132204,0.8430254656024325
DB4b,ENSG00000196569,0.6486305625926103
DB4b,ENSG00000186314,0.6486305625926103
DB4b,ENSG00000166342,0.6486305625926103
DB5,ENSG00000082293,0.8533509488349748
DB5,ENSG00000186314,0.8533509488349748
DB6,ENSG00000165025,0.7003003671153633
DB6,ENSG00000286980,0.7003003671153633
FMB,ENSG00000169836,0.7892969099865652
FMB,ENSG00000163377,0.7892969099865652
GB,ENSG00000182601,0.795668549905838
GB,ENSG00000197442,0.795668549905838
H1,ENSG00000157890,0.8678033488798838
H1,ENSG00000205922,0.8678033488798838
H2,ENSG00000136842,0.7321071571371451
H2,ENSG00000244040,0.7321071571371451
HAC2,ENSG00000182463,0.6699732926363984
HAC2,ENSG00000151952,0.6699732926363984
HAC3,ENSG00000146674,0.6780250347705146
HAC3,ENSG00000134853,0.6780250347705146
HAC4,ENSG00000255132,0.6654676258992805
HAC4,ENSG00000187720,0.6654676258992805
HAC5,ENSG00000259867,0.7650098215048253
